block_number,reseve0,reserve1,timestamps
15275793,873750,2000000000000000000000,1622708403
15277523,870948,2006454990645130460747,1622711971
15277687,870573,2007324002318649487220,1622712307
15278124,870197,2008194550339999286520,1622713209
15278707,869822,2009063191545414992769,1622714411
15279142,869449,2009929953606226040752,1622715309
15280451,869078,2010792778068818186031,1622718011
15282007,868330,2012530418544097629368,1622721219
15282010,866387,2017059108689430560538,1622721225
15284088,865842,2018334033086592465261,1622725509
15291359,865466,2019215704059676895731,1622740507
15291878,865090,2020096932490116702070,1622741707
15292703,864714,2020978514716594754218,1622743509
15304748,866662,2016449549542743357954,1622769281
15305807,863541,2023760243471120442619,1622771474
15311634,865493,2019209593721353783783,1622783914
15312140,867453,2014660869354982296083,1622785048
15319703,869418,2010121097985618060476,1622801389
15322908,873087,2001699140487602529810,1622808398
15324029,871064,2006362416752629968027,1622810708
15324785,869781,2009331102004311024590,1622812268
15337130,8,17056043165611763,1622838810
21737434,88,1554789714276369,1637738767
21737471,28,4938912997161643,1637738841
21912727,51,2715233628252460,1638133284
22037744,18,7922644459453658,1638421209
22058409,36,3967273139435983,1638468553
