block_number,reseve0,reserve1,timestamps
24190310,21138669500000000000,20970000,1643209926
24201043,21817355030041342642,20319570,1643234247
24208556,22226078187229584696,19947007,1643250168
24217636,22208914506813969235,19962469,1643269293
24239191,22482671320854870168,19720120,1643316465
24282865,22127989538659056064,20037158,1643413149
24296343,21925403654090044076,20222854,1643442742
24350982,479430587775246,443,1643563902
25698904,8808258430587775246,8138943,1646684856
25698904,14086714170385095808,5094914,1646684856
25699173,2086715657303765,755,1646685410
