block_number,reseve0,reserve1,timestamps
19536431,200000000000000000000,1000000000000000000,1632661942
19536702,233577066333506024615,856617866152388336,1632662630
19552098,241483055877252631768,828654173732821468,1632699140
19580215,248265670876092265428,806081418554563597,1632762403
19610182,255938695046687991326,781985485634708414,1632830178
19654268,262306742694101187625,763056718358309787,1632944103
19732331,271308439051684296591,737812829133762554,1633121986
19845957,259273053872181079833,772164957902970038,1633381917
20123317,235438394167488380093,850570470635138366,1634011798
20717484,241436600301275986793,829500879462776724,1635457266
21084369,359320424790283211209,557912005152788276,1636276493
21084370,314530019252173329767,637600099531007468,1636276495
21711995,298589287897677976230,671741964281919680,1637682857
24332977,208647517286565115698,962181365763976468,1643524792
24332984,210951132523826764835,951705391828128963,1643524806
