block_number,reseve0,reserve1,timestamps
18376531,10000000000000000,10000000000000000,1629883932
18377004,69269716590000054,1447347507181039,1629884915
18736029,71269716590000054,1406849886969579,1630753413
18736104,73321288645962143,1447347507181039,1630753567
18786337,14482211330410844395,285875942098481655,1630876577
18786338,14275932947023844618,290019101765424705,1630876579
18809224,14209764724710549137,291373648596349599,1630930838
18828445,72008855796440162,1476553866382511,1630973837
19239407,61132444948247322,1740046195124533,1631970017
19382293,91132444948247322,1168392152597892,1632308946
19383471,6091132444948247253,78093277900680485,1632312026
19383471,5074002795256149776,93794885015300449,1632312026
19386931,5000026798652790655,95186767243311979,1632320868
19395389,4908586219301935181,96965308583683185,1632340288
19398712,4938586219301935181,96378038238430614,1632347851
19402556,4968586219301935181,95797849183941112,1632357351
19406641,5018586219301935181,94846253393313780,1632367773
19407549,5128586219301935182,92817924822191680,1632370255
19411680,5086306995610684466,93591782562912511,1632380177
19416733,5126306995610684466,92863670168299349,1632392351
19438168,5206306995610684466,91440944271981006,1632442009
19447888,5256306995610684466,90573707795641957,1632463768
19462815,5286306995610684466,90061231746622958,1632496471
19533186,5188511207497097899,91763861097946560,1632654320
19560918,5258511207497097899,90545939260967193,1632720332
19605261,5379511207497097901,88515284954138227,1632818339
19608842,5439511207497097901,87541822566214799,1632826730
19624689,5556499788171061526,85704098322814382,1632865778
19635138,5515428584015735740,86344223047847300,1632889976
19645904,5615428584015735740,84811129208754149,1632923865
19654100,5542607753479642561,85928762089378889,1632943759
19654136,5652607753479642562,84261503729235367,1632943831
19655194,5591020983276593554,85192462298231267,1632946143
19657043,5559639755557176672,85674775657159448,1632950877
19659357,5508015187541352150,86480189554551230,1632956684
19671675,5638015187541352150,84491994703830114,1632986529
19674685,5698706766275183021,83594820616142104,1632993389
19686905,5654612493321978510,84248648668002460,1633020926
19687330,5622825457946300185,84726357431085353,1633021932
19718240,5682825457946300185,83834461088257868,1633091539
19721113,5832825457946300185,81684832048401155,1633097920
19721209,5844368298407123685,81523984565600088,1633098192
19722213,5844513952461800076,81521958960564316,1633100269
19722215,5953972156225413082,80027667770183922,1633100273
19728668,6013972156225413082,79231621787607573,1633114169
19730941,6160382156225413086,77354088021597056,1633119118
19731597,6339813065339201718,75171176617573852,1633120474
19731658,6619907467247389643,71999753803075394,1633120600
19731888,6587440038376851014,72355685836524251,1633121072
19731950,6476678095508233401,73596811508770526,1633121200
19732091,6365701428847080621,74883724698950863,1633121490
19733033,6475701428847080622,73615457978195952,1633123562
19733237,6392967516667360711,74571011292585456,1633124090
19733668,6422967516667360711,74223749657598133,1633125001
19737706,6472967516667360711,73652120083474700,1633133887
19737819,6503374748720192249,73308779919084957,1633134125
19738296,6613374748720192250,72093035250899859,1633135107
19738427,6723374748720192251,70917014047490309,1633135377
19739099,6612740978279806883,72107053843858747,1633136782
19744595,6551180741759119470,72786669369268286,1633148532
19748398,6611180741759119470,72128055230236887,1633156393
19749610,6651180741759119470,71695572810624966,1633159021
19753766,6608162732354253334,72163703120751336,1633168363
19761104,6576583530939195754,72511258852821701,1633185122
19766250,6542986325307765229,72884713124520145,1633196456
19770168,6478761989506071107,73609397480962446,1633205093
19770847,6367914963026491081,74894580257922060,1633206495
19772226,6336301377776351250,75269374714192006,1633209725
19781627,6304381590735201365,75651618684112918,1633232588
19801064,6434381590735201365,74127649285121607,1633276022
19801246,6474381590735201365,73671039583449830,1633276398
19802645,6624381590735201365,72007751879042534,1633279676
19803485,6654381590735201365,71684088296024796,1633281668
19803835,6694381590735201365,71257041727482873,1633282389
19803990,6804381590735201366,70108496678692522,1633282711
19804499,6692465425938446960,71284428598878577,1633284401
19804946,6511345106845153803,73273250872349297,1633285595
19804946,6745577221236487888,70736293428357820,1633285595
19806720,6727016791250567780,70932048337582553,1633289514
19807092,6556345911691095201,72784065090462617,1633290278
19807097,6666345911691095202,71586613940597898,1633290288
19808119,6776345911691095203,70427982666235085,1633293292
19808302,6886345911691095204,69306312754625902,1633293670
19808307,6775724063068973555,70441226448364658,1633293680
19809862,6592467060381613225,72405239461892397,1633297404
19809922,6798334654640637265,70219038614016951,1633297528
19810657,7023648688747773191,67972999589559736,1633299205
19813719,7133648688747773192,66927960220051962,1633306427
19813987,7071921387116726200,67513899076242953,1633307235
19818050,7308973678944814572,65330574177257687,1633316158
19818300,119736612273909451223,1070254453430115720,1633316796
19819073,118923250384705420602,1077596361358220449,1633318533
19820274,118023378718479669929,1085837239501358377,1633321249
19821121,118673378718479669929,1079907616586577730,1633323220
19822031,119938484919651545001,1068550608589141704,1633325352
19822064,119261884079913915853,1074630989741969137,1633325418
19822098,118900282494385510765,1077909010064538068,1633325490
19822359,118688280392175117908,1079840174583525029,1633326028
