block_number,reseve0,reserve1,timestamps
19435157,2000000000000000000,546989000000000000000,1632435157
19435203,1929737541667293462,566965000000000000000,1632435253
19435764,1800004240954605804,607951329844460114900,1632436535
19435768,1861880515417849420,587805756944316915203,1632436543
19435998,1802209974352802405,607326361503937572688,1632437019
19436478,1763470509263614711,620708095496674595330,1632438136
19437088,11763470509263614710,4140517994420746868556,1632439591
19437104,13971176162232582435,4917588415543827395639,1632439655
19437214,13802209310210832196,4977970753209567641602,1632439913
19437324,13563855269600871518,5065710535782265074160,1632440141
19437329,13653276185600053918,5032631998260027391075,1632440151
19437346,13638094091226836601,5038251243943087859508,1632440185
19439778,13478094091226836601,5098240870893890525578,1632445586
19439814,13318094091226836601,5159674064931582575537,1632445662
19439814,13198094091226836601,5206728128600034166981,1632445662
19439817,13431234243282589081,5116615879801498535351,1632445668
19439864,13380830911472884389,5135947302576517988523,1632445762
19439885,13299065942267637729,5167619014516303574418,1632445808
19439886,13173192794433540498,5217145484488892111650,1632445810
19439958,12980428373295834068,5294855257906472906053,1632445958
19440008,12990684590978804226,5290687471334600428238,1632446062
19440009,12981624737936660246,5294390943218854880493,1632446064
19440011,12820553461009405880,5361107277530783543371,1632446068
19440011,12906173929467432648,5325647305752507286984,1632446068
19440121,12382385892123538991,5551605702335173120642,1632446292
19440122,12508375199766800837,5495853800816199344883,1632446294
19440123,12644087288377732822,5437040525909774228922,1632446296
19440124,12777187288377732825,5380571005998126713449,1632446298
19440126,12690022913038957582,5417639916740633228158,1632446302
19440131,12522967224498107480,5490128398337810528971,1632446316
19440132,12603731064368219544,5455052900811318565825,1632446318
19444918,12708000158168203864,5410427389758656246205,1632456942
19451783,12286662545026408720,5596521537137580492045,1632472585
19451792,12372265743530137024,5557914799445074320072,1632472603
19451807,12018852250231251841,5721836653324143256197,1632472633
19451808,12256711421601904080,5611122832355478833634,1632472635
19451811,12086352952704309917,5690450205481141890732,1632472641
19451826,11822476283614291797,5817842749624191806364,1632472671
19451828,11932476283614291798,5764370155575670004198,1632472675
19451842,11686871338456168547,5885875546404032489226,1632472707
19451926,12566122246456168547,5475190442532634829824,1632472879
19451927,12067411453488292205,5702144900518823152205,1632472881
19451929,11953907372660268359,5756450508557179948152,1632472885
19451937,11879970753183196643,5792384365564892338273,1632472901
19460522,1637853469643961,798577456776134006,1632491474
21014695,70559229436098,18590324536366884242,1636122325
21549302,80559229436052,16288731227642786520,1637315152
25656017,1000080559229436051,202212006610738869826731,1646591792
25656017,497878369497481283,406793867160917501109567,1646591792
25656034,1580868130259891993,1291655752847732107450576,1646591860
25656058,1948755586656567405,1592239932109518843089779,1646591956
25656265,3269205465564260813,2671119725933828026479513,1646592524
25656266,3143764463816080197,2778022188432755940079933,1646592526
25656569,3247050673626509514,2869292188432755939824957,1646593148
25658596,2272974178754666428,2008538735961930089393696,1646597458
25690543,2177600283873356921,2096772825305874015646003,1646666541
25698671,1045324325867873176,1006524317774385403479469,1646684374
25718010,1043078742666890409,1008697725315213558079469,1646727101
25719086,1041406989823735437,1010321842887770860079469,1646729322
25719433,1041407004146401942,1010321829034309866350226,1646730041
25728025,1111845146405634710,946495328704916268330742,1646748488
25729232,3111845146405634709,2649062150649032879679927,1646751106
25730033,3221491349693396590,2559160372559770985272562,1646752884
25730870,3221491367184717232,2559160358706309876506886,1646754611
25731004,3221491384676037874,2559160344852848917952294,1646754887
25731118,3221491402167358895,2559160330999387809433530,1646755123
25731209,3221491419658680106,2559160317145926700642217,1646755441
25731307,3221491437150001507,2559160303292465591578358,1646755729
25731399,3221491454641323097,2559160289439004483033974,1646755961
25731632,3221491472132644877,2559160275585543374217048,1646756439
25743978,3063783997111649139,2691288762793609286718993,1646783573
25764708,2297896865592417661,2018518282704563844364363,1646829094
25767285,2430996865592417664,1908315428530138879882810,1646834793
25767285,2247271732403557438,2064798724548884619799770,1646834793
25767681,2295725349654784038,2021347036223781851039954,1646835741
25777039,1148023810092027045,1010815394965605208993803,1646856893
25833787,1044188258200299774,1111634760403712665262076,1647015718
25868393,1016976489642063246,1141468851790294495273266,1647100595
25899783,315179354193117,353761782305751363043,1647180123
