block_number,reseve0,reserve1,timestamps
15248724,34110000000000000000,39550000000000000000,1622652098
15249144,34551220067614326472,39046441242313188103,1622652962
15249155,34822134645069528417,38743566026668523493,1622652988
15249157,35247025725438929816,38277909607111769794,1622652992
15249186,35731616736343177814,37760322168787843702,1622653050
15249188,35373304026297826057,38143965028525799211,1622653054
15249216,35870783308126648285,37616524859721565894,1622653114
15249274,36956359606599931584,36514774321209875401,1622653230
15249276,36976728262866802453,36494720442016160074,1622653234
15249278,36623040380255224681,36848229599247089847,1622653238
15249282,36275210974077287136,37202616627403580761,1622653250
15249284,36607298731004346576,36866131675995387746,1622653254
15249286,36015611567315979907,37473614167497216302,1622653258
15249398,36351201428860374537,37128690630977201575,1622653486
15249402,36196388121985840891,37287969266486486664,1622653494
15249655,35865013462693073541,37633527996858740107,1622654016
15249657,36129484650267435241,37358867483268503586,1622654020
15249661,35680271367336560016,37830629514654000868,1622654028
15249661,35622620809399268095,37892037670688175197,1622654028
15249663,35885671727520700195,37615106774448929932,1622654032
15249680,35444906022919296221,38084266913891843610,1622654070
15249680,35413675007628288416,38117954162954478831,1622654070
15249682,35388445156000421663,38145211764582860646,1622654074
15249684,35580816799782351023,37939590808032394851,1622654078
15270125,36191454562277663523,37301345833098230209,1622696710
15270130,36529321828822628823,36957363435508936319,1622696720
15270132,36330284765928860455,37160445221831848111,1622696724
15270172,37519425609307679755,35986103535642327404,1622696808
15270176,36875263664436702309,36616624595625138223,1622696816
15270226,38081435098393646809,35460218247636709644,1622696920
15278000,38284033609651786579,35273123317878857854,1622712953
15278003,37890560136477980041,35640518275717007264,1622712959
15280671,38092123564430147341,35452490237607094221,1622718463
15280674,37926116232418964381,35608137141419178514,1622718469
15282882,37210544682864980826,36294954295266466299,1622723025
15282884,37701510267255432176,35823705034925864885,1622723029
15282886,37482925706619981361,36033242334654889258,1622723033
15282895,37530067155870679089,35988116658169999194,1622723051
15291949,38024473804385859439,35521572980825260895,1622741853
