block_number,reseve0,reserve1,timestamps
15502085,3343000000000000000,100000000000000000,1623210262
15772200,3146064907376374914,106278563267637818,1623824174
15863752,3316210479967101089,100841226269378958,1624024216
16063231,3155259230979489686,106000662690909469,1624468431
16267870,3208588316626347502,104244051950249072,1624927074
16364988,3245348866003288674,103066766424454116,1625143665
16373467,3325888778255080408,100578202555695115,1625162679
16412542,3266716230389108806,102405535024727462,1625247847
16423053,3195113325088761007,104707361868149704,1625269918
16424385,3276526044176607070,102113281746753598,1625272696
16424877,3206036237365250574,104365160322550316,1625273708
16425552,3119033743464229482,107285087462601486,1625275102
16438648,3174204729907568919,105425858061104777,1625303652
16443525,3260125365008561016,102655475024064278,1625314370
16448809,3204325109132761634,104448500978666142,1625325735
16452754,3150406923156304057,106241481916426704,1625335273
16455347,3098276664794485630,108034433833026172,1625341259
16474199,3165294602166845268,105753766903080182,1625383524
16491127,3098846997575423103,108028235174752899,1625419479
16505156,3037551468501874082,110214724067675782,1625450208
16505158,2976977176013060086,112464075453172031,1625450212
16505169,3053725608425584114,109645814363540962,1625450234
16510636,2992650577937460734,111890236689347194,1625461766
16524605,2934183924442470112,114126474247672696,1625491499
16533904,2979094481552552254,112411074404134106,1625511863
16542866,3039915495460455414,110168625945509736,1625531761
16546991,3085611205873793411,108541929128813271,1625541131
16549804,3114818914296983508,107527154517728647,1625547484
16555358,3188117802430323456,105062214849031032,1625559836
16558276,3158504471321187557,106050215339649319,1625566368
16571097,3187174081890713171,105099097250035688,1625594054
16576558,3234356623638888358,103570452463011206,1625606596
16594964,3283220855286642658,102033567365173330,1625646941
16601506,3235711969491211088,103536200296404544,1625660759
16719532,3172921881393916246,105591280505911653,1625951156
16731540,3083947093861682462,108646855441471952,1625980028
16738658,3083947093009707944,108646855471577164,1625996413
16742655,3017173677220757830,111058566591632339,1626005813
16748558,3077311687064917912,108894601503173657,1626019334
16853822,3000035526350873797,111707994039759865,1626274131
16854021,3119215508117259617,107452136043597399,1626274545
16857664,3032816365969866112,110522452994880977,1626283354
16866657,3141123644607615050,106722631354806131,1626306071
16866663,3053765730227524483,109784791545846721,1626306083
16867119,3012350118841684516,111298721049383826,1626307039
16867120,2930675417604443998,114409827336753607,1626307041
16867122,3019562520249699991,111051743245099418,1626307045
16888384,3185133224780455890,105295433365011078,1626355450
16888400,3107299796753887270,107940870100152508,1626355482
16929166,3066429626808669748,109383863011186294,1626452576
16980527,3080488273449003613,108886150776508977,1626572319
17014084,3095168754389672970,108371242426830072,1626651948
17014209,3109849235330342327,107861188248451137,1626652206
17026574,3171795139056883790,105760830520311908,1626681614
17116152,3119213724508551508,107549033550788074,1626887525
17146086,3177489587385500492,105582369664469698,1626960416
17154875,3242660018026880779,103466631484630265,1626983028
17184942,3311337790678679343,101327018584896718,1627056339
17208109,3384123240061603127,99154083045255462,1627107309
17215638,3305579999635935950,101517153046730005,1627125030
17326479,1046030488178544,32124479568386,1627397330
21137558,884258812345308,38019211096278,1636392898
