block_number,reseve0,reserve1,timestamps
21878762,348000000,177985291111861458499,1638057164
21879889,350729287,176604377264396571471,1638059792
21879923,347317091,178344637778494025598,1638059928
21881845,353572617,175198603309627194655,1638064447
21882218,358234482,172925416855251505995,1638065217
21882492,359722660,172212159163992875199,1638065903
21883569,345233038,179461748047316077315,1638068260
21884813,344588485,179798441451630237693,1638071084
21886389,352912215,175570167615740727182,1638074590
21888423,367360535,168684881680721051004,1638079122
21889031,353098911,175518545639036005853,1638080426
21889088,371564400,166820741182770092132,1638080544
21889270,373062507,166152840841047211419,1638081026
21890348,374035198,165722047737245487695,1638083400
21890834,375183155,165216500518742441800,1638084455
21891197,377602126,164161255878715069843,1638085302
21893292,361720895,171390386621110461439,1638089880
21893635,341940963,181334474899232400333,1638090590
21893916,353935626,175206972857620404797,1638091168
21893919,354987924,174689156744876555232,1638091174
21895379,360870552,171849915630497067796,1638094587
21896173,363119138,170788921666435404515,1638096479
21901154,354659831,174874818041754014303,1638108114
21903111,352691751,175853586093507036997,1638112348
21903392,340390280,182227937235829241743,1638112926
21903393,340089939,182389351102702019303,1638112928
21903469,360456105,172113326132955967657,1638113084
21903666,349096722,177730635598145357636,1638113490
21904530,362390782,171229552119534884588,1638115569
21904972,354564305,175020561940847571962,1638116498
21905916,352238324,176179776055124402137,1638118629
21907078,350054469,177282201093076174914,1638121280
21908457,340643297,182194828855481412012,1638124307
21908666,360535672,172170818806404229666,1638124738
21909231,362584290,171200947600862142691,1638125933
21913651,364902874,170116383683406785170,1638135199
21914027,374311757,165852762108841718255,1638135976
21914328,376928379,164704848873310158827,1638136640
21914751,361786079,171619196925298008059,1638137545
21914765,360561990,172203588250195739591,1638137579
21915100,366143698,169586172261325506428,1638138295
21915148,367148383,169123495759161475924,1638138395
21916430,367977807,168743431531652394447,1638141072
21916927,368810435,168363615957940089703,1638142350
21918049,371910559,166964367554699703014,1638144922
21918641,374145234,165970105443294178393,1638146142
21919126,368920716,168327585207477304776,1638147144
21925593,354639786,175126336914690040257,1638163810
21925681,347944933,178506104843750367642,1638163990
21932438,346179969,179418939110602549234,1638179992
21937067,337350906,184128776103614167132,1638190447
21943608,340056628,182668082524108717111,1638206175
21946077,342658517,181285169217133705866,1638212579
21947642,341518922,181891909652684000307,1638216189
21973591,345828865,179631771087671253020,1638274395
21980673,343203692,181009913177061523282,1638291493
21987663,354751037,175135041325328903808,1638306789
21987664,355117224,174954988170117713425,1638306791
21997156,356528043,174264741615151278249,1638327643
22005079,358259783,173424903437954081804,1638344905
22008305,356257254,174402661489876638453,1638352330
22013442,354331018,175353612806671314655,1638363507
22022407,352303649,176365740294638497362,1638384846
22024507,349582613,177742643879851607027,1638390558
22026325,346644498,179253701260911368346,1638395075
22026369,326827761,190155199714776808338,1638395167
22034885,324556668,191489819103497508611,1638414778
22047601,311510268,199533759916831466908,1638445799
22089308,313741642,198118875334571686793,1638538549
22091856,311474108,199565522916653536949,1638544064
22093425,308229834,201672371637326390803,1638547576
22095727,305805720,203275834492222848433,1638552590
22098939,302126373,205758811961758816697,1638559718
22101016,298232578,208453331859827329443,1638564322
22104088,318519594,195213910376940759834,1638571428
22104219,299370097,207738530830038836085,1638571728
22107284,296624092,209667463012948396759,1638579038
22111103,294345115,211295705157281144228,1638588338
22114201,282846953,219911045954065361687,1638595783
22115474,286013979,217483200721472812647,1638598589
22115958,288987039,215252406108633909672,1638599634
22123338,285642392,217780425980652168573,1638616696
22124870,283201728,219662929431644431608,1638620244
22129260,285154858,218162860454815331442,1638630331
22136020,278209527,223625551547731179320,1638645185
22139512,276063305,225369333689588058798,1638652532
22141909,280725170,221637777760333993702,1638657777
22144324,282801615,220015268968699138335,1638662889
22151170,285213112,218160558023717641472,1638677657
22155643,287272555,216601233985914349855,1638687135
22180553,289810630,214709946122838787750,1638746267
22191640,286651098,217083647890942725606,1638771176
22192906,284652273,218612594386970151311,1638774123
22193189,280518152,221844080493824337371,1638774706
22195226,278481502,223471399644760982255,1638779331
22196931,271860083,228930643001315136254,1638783377
22202758,259064949,240271476073398903884,1638797789
22205010,257001467,242206437682421770738,1638802945
22205682,248330398,250689121718315471141,1638804329
22207860,251161330,247871893718699496592,1638809212
22210069,252744737,246323643873752105284,1638814115
22215207,244227512,254939819180510061950,1638825562
22217499,246133939,252971064509671911853,1638830814
22219161,231838177,268616875295667760618,1638834882
22221139,239105860,260475949229635463028,1638839605
22227399,241106472,258321046854465581049,1638853644
22245332,247818362,251345125317737352718,1638892356
22247398,249397625,249758274782822512166,1638896744
22250002,251964398,247221531033864373515,1638902375
22259397,247202374,251998254293729938977,1638923558
22259714,230879477,269867832464558207421,1638924212
22261005,226101657,275587648231770394047,1638927021
22273623,230459805,270391442584578067394,1638958038
22274277,235393694,264740642264353608840,1638959514
22280974,237489564,262411226094920226425,1638974408
22281226,232780405,267735792575951696040,1638975026
22285032,234801642,265437904252670698661,1638983190
22290779,231889808,268781030773173214279,1638995203
22291171,231248892,269528210905090953435,1638996011
22293576,236140167,263961757353964709792,1639001102
22316503,231778930,268943504540428975365,1639051350
22322201,229542708,271571455861802666542,1639063501
22322942,220413300,282853656349173895542,1639065030
22327437,218575896,285238550063328877627,1639075066
22330052,216779244,287609701707492090523,1639080960
22334889,118681,157458626009861389,1639091346
22946102,128056,145963113060154748,1640437091
23455364,85848,217945213842509602,1641592015
24216242,71943,260198969580961608,1643266289
24548709,78209,239409721291717868,1643996277
24705144,70140,267038388574598961,1644345773
24802606,64206,291793088434001003,1644558428
