block_number,reseve0,reserve1,timestamps
20485678,18714294467646,11000000000000000,1634901875
20495045,26345374440733,7820586424722837,1634925502
20649248,26767648513876,7697576761735439,1635293188
20649279,28879997933538,7136124164697274,1635293250
20649293,31650026621227,7820586424722807,1635293282
20649393,52946895545340,4680554155793922,1635293486
20649409,88467253823039,7820586424722777,1635293522
20649477,108467253823039,6382098797653759,1635293662
20649511,132915136488842,7820586424722825,1635293730
20650154,41352940284148690,25212041219321,1635295312
20650216,84762374230987541,51677884529490,1635295440
20650258,61845452861583714,37705906667331,1635295528
20650299,54623784207005350,42705906667331,1635295610
20650311,45163881599410549,51677884529502,1635295654
20650334,49963626452054293,46726926285276,1635295746
20650346,57165812282533918,40855352883960,1635295794
20650363,69149510694087718,49419881365409,1635295862
20650367,85053559419035359,40201477011441,1635295878
20650458,104556775737325735,49419881365408,1635296068
20650528,100001401186980630,51677884529501,1635296212
20650577,100423097832099030,51461527062524,1635296314
20650603,104423097832099030,49495945106329,1635296366
20650617,104844794413537292,49695826849733,1635296394
20650622,108991642331439028,51661408805927,1635296404
20651327,113638368665443371,49555028490953,1635297858
20651362,113639637353260144,49554476911814,1635297932
20651371,118435085936269155,47553787513175,1635297950
20651403,128706355798898679,51677884529499,1635298018
20651455,128858141419948396,51617194103050,1635298122
20651470,129009650150522128,51677884529499,1635298156
20651539,129611408428102205,51438671529499,1635298298
20651567,130208585165565900,51675672102334,1635298354
20651883,142208585165565900,47327099975631,1635299030
20651904,154946888445070149,51566414726756,1635299078
20652708,163946888445070149,48743661223613,1635300860
20652720,173816003093564003,51677884529499,1635300884
20653187,87422530320,103056634325538781065,1635302370
20654188,88422530320,101894589423799224249,1635304680
20654202,89430934702,103056634324631575738,1635304708
20654386,522109142028,17696341348781784743,1635305472
20654411,2685500177685,3448819370908762133,1635305526
20654424,7015833114186,1322578016294603263,1635305552
20654440,33539157363298,6322578016294474495,1635305584
20654499,53539157363298,3965169787356420616,1635305706
20654597,67041519237943,4965169787356374957,1635305922
20655150,115629096208723,2882429141887084221,1635307304
20655250,135686674472905,3382429141887063936,1635307512
20655344,372371255147213,1234862719508198876,1635307704
20655352,609055813783254,755865185477136937,1635307720
20655361,845740085600000,544790206016953530,1635307742
20655369,1082424335378522,425945115886730083,1635307758
20655419,3309545276488705,1302340126927576157,1635307858
20655476,3329287856810887,1310109035467769117,1635307976
20655509,4675763331964575,1839960992373761039,1635308090
20655515,4830077638038020,1781347515999509367,1635308114
20655531,4929323679409358,1817949761867637971,1635308178
20655561,9885573679409358,907864521656506889,1635308282
20655579,16042170790292088,1473269855971645402,1635308318
20655671,15517128581196925,1523269855971645402,1635308506
20655690,14837342194249637,1593269855971645402,1635308614
20655707,14214695866747678,1663269855971645402,1635308750
20655759,14934936683519297,1583287341121646862,1635309074
20655796,11358651157293050,2083287341121646862,1635309148
20655808,12047664874030564,1964479845376587903,1635309176
20655828,12603913325430977,1878030114278287127,1635309216
20655846,13184831680288829,1795522196442296094,1635309252
20655864,13795149973591347,1716313376512170414,1635309288
20655875,10690201116606919,2216313376512170414,1635309314
20655889,7373334921369603,3216313376512170414,1635309342
20655905,7473334921369602,3259934253778854206,1635309374
20655917,8548434138422213,3728901963744452262,1635309398
20655950,11323628383544903,4939466039321492832,1635309468
20655959,11720249007237184,4772795934265218303,1635309486
20655979,12261648232468570,4562662899482858203,1635309526
20655993,12828625263265475,4361588641828045245,1635309554
20656004,13421180115317261,4169573603879323739,1635309600
20656023,14045150406930284,3984867091929810935,1635309714
20656034,17409750903033771,4939466039321492806,1635309780
20656063,18181401196049203,4730428811372696660,1635309954
20656065,17783897753716569,4836480916582468155,1635309962
20656081,18628767945361553,4617760368526455748,1635309994
20656095,19443711420291493,4424772734581198857,1635310022
20656116,20344438189709989,4229432734345135339,1635310064
20656132,21289599444272610,4042203549635430220,1635310100
20656172,26573886981908224,5045518144531264201,1635310180
20656193,27782250214062715,4826697805872781155,1635310226
20656206,29074523773197220,4612780939118444683,1635310252
20656218,30367414346852100,4416956263258725357,1635310276
20656230,31622426374939363,4242163814616387734,1635310300
20656243,37610882799746045,5045518144531264242,1635310326
20656263,39344727772611633,4823809784880771360,1635310386
20656270,41078688686188427,4620778453049746672,1635310414
20656277,42379157060862034,4479395265547502630,1635310442
20656285,44113116017013223,4303830711494541527,1635310474
20656293,46150516760245873,4114374978119892661,1635310506
20656330,48591709078446234,4332010257112780577,1635310636
20656349,59036245256160708,5263153423524152160,1635310674
20656383,61744462748501782,5032964796983657940,1635310742
20656398,64611733587123108,4810257628160744984,1635310776
20656418,67585098631788958,4599240310512139618,1635310816
20656435,70689640433061557,4397830684387627778,1635310850
20656449,84598623674564023,5263153423524152207,1635310882
20656479,88519507735132147,5030695736298722705,1635310942
20656489,92433592036242798,4818283892676061527,1635310962
20656503,96342222657313554,4623367496327027312,1635310990
20656517,100250565704979069,4443641783509778845,1635311022
20656550,81879605442385541,5443641783509778845,1635311088
20656566,94206149401079998,6263153423524152184,1635311120
20656633,98559180197443939,5987324113035403278,1635311258
20656675,102912172158808865,5734799240768194782,1635311346
20656701,106394504583994439,5547641819180073426,1635311398
20656713,110747378372037272,5330222863969194753,1635311426
20656751,115100409970143653,5129218839719763038,1635311502
20656791,120411104081733707,4903645067106816158,1635311586
20656857,153794413836886649,6263153423524152229,1635311722
20656879,59337701333218335,16263153423524152229,1635311766
20656916,45416564976088569,21263153423524152229,1635311844
20656945,36791136255342994,26263153423524152229,1635311902
20656946,38879008747905711,24856779547156608062,1635311904
20656959,32384360588534237,29856779547156608062,1635311930
20656977,33909793653498493,31263153423524152138,1635311970
20656980,29246374819782484,36263153423524152138,1635311976
20657017,367978014642927832,456263153423524151254,1635312050
20657190,369292801353387934,454643583666473485569,1635312536
20657205,370109310231128165,453643583666473485569,1635312566
20657206,372300620084455529,450981463645863840856,1635312568
20657241,373126154280638827,451981463645863840603,1635312642
20657242,377253825261555318,456981463645863840550,1635312644
20657246,405489812696749505,425248728298460611629,1635312652
20657257,435323347160911824,456536006534032969387,1635312674
20657684,484266458550784808,410519984049120799484,1635313940
20657713,533716871777688319,452439845502837337282,1635313998
20658077,534378175372159093,451881619854705986008,1635315006
20658177,535038295579265865,452439831627255432928,1635315214
20658210,529093502303001618,447412787224648996524,1635315280
20658345,527917109109041699,448412787224648996524,1635315558
20658369,531817109109041699,445134213124609894810,1635315610
20658402,535734134016301463,448412787224648996421,1635315676
20658695,542994134016301463,442435115653090946033,1635316298
20658714,550330442739538203,448412787224648995768,1635316374
20658965,545363600799494814,452508948255844627873,1635317350
20659028,550216993079249650,456535992658451064683,1635317480
20659516,565816993079249650,443985675077438427591,1635318740
20659552,566080229638829456,443779833576040927757,1635318816
20659616,566342798587583483,443985675077438427556,1635318948
20659622,581946364036780498,456218124323467588417,1635318960
20660726,608708088222874654,436218124323467588417,1635321749
20660848,636616515419333876,456218124323467588129,1635322001
20661615,649736515419333876,447032883175384000940,1635323966
20661623,663086733717482420,456218124323467588503,1635323998
20662692,648905817494536696,466218124323467588503,1635326567
20662758,635319609292448412,476218124323467588503,1635326757
20662790,663086733717482420,497031597917132743898,1635326825
20662854,626413063414132983,526218124323467592701,1635326957
20662964,592722958729157439,556218124323467592701,1635327200
20663100,663086733717482420,622248309872950295125,1635327506
20663202,628859019175846140,656218124323467592701,1635327718
20663226,663086733717482420,691934947890421906225,1635327766
20663573,687044431465627234,716934947890421905653,1635328502
20664745,693284882292081948,710500802467591401594,1635331186
20664774,699563123972633255,716934947890421904803,1635331262
20664796,701707558267328686,714750531227655966419,1635331350
20664817,703852113067498163,716934947890421904640,1635331434
20665285,713838463653837225,706934947890421904640,1635332430
20665300,723936117840888186,716934947890421903833,1635332460
20665389,854465215432494983,846201701508301598976,1635332642
20665574,856932359260429324,843772739459603704208,1635333152
20665594,859387665589342992,846190340481401942860,1635333193
20665689,862459002489482880,843185946666219942994,1635333519
20665744,862610372589022871,843038428954529391591,1635333633
20665764,864374452966877891,841323043844768432042,1635333673
20666087,882644452966877891,823959528175702390493,1635334490
20666156,900932669314650100,841031804631339988332,1635334632
20666579,902181560170181368,839871051347943306820,1635335592
20666905,899938188328631149,837782621313115569156,1635336480
20667005,902181560170181368,835705618601729274156,1635336684
20667069,918720308566810638,820705618601729274156,1635336940
20667238,935511718685314636,835705618601729274555,1635337294
20667330,935507496516882429,835701846879995593594,1635337486
20667341,935503287032884429,835705618602636479883,1635337508
20667457,929956081220584071,840705618602636479883,1635337748
20667817,930636534854808874,840092762520148456741,1635338744
20667874,931315443525870860,840705618602636479687,1635338862
20669421,2562650491780464751,2313324321991444051665,1635342427
20669666,2587594567908025171,2291090432916818654408,1635342987
20669675,2576383077121865711,2301090432916818654408,1635343005
20669719,2601276933847808787,2323324321991444050997,1635343097
20670012,2613151027400332644,2312798721710937391194,1635343826
20670132,2625043537945592659,2323324321991444050305,1635344080
20670453,3613474954656071132,3198146669837589243228,1635344873
20672124,3633680427062095996,3180416085061983292628,1635348704
20672159,3653937927067234129,3198146669837589243037,1635348778
20672433,3656597050038100306,3195827909837589243037,1635349471
20672569,3659250124989240974,3198146669837589242969,1635349879
20674042,3548624230584212690,3298146669837589242969,1635353557
20674067,3424404247314376289,3418146669837589242969,1635353651
20674087,3384912000891270683,3458146669837589242969,1635353731
20674100,3619757878566135368,3698073583622225101164,1635353783
20674133,3659250124989240974,3738420269272105593990,1635353875
20674554,3683720689167554454,3763420269272105593148,1635354869
20675594,3684167777787482210,3762964932995588821549,1635357529
20675623,3684346613216145988,3763147593364884806788,1635357587
20677068,3695805613216145988,3751514691921675266808,1635361081
20677068,3803142740852665069,3645943378035653402380,1635361081
20677068,3791083038628484130,3657576279478862942359,1635361081
20677143,3900507856282880822,3763147593364884806780,1635361283
20677829,3909654856282880822,3754369711777179605679,1635363047
20677841,4037847360621847740,3635523239332198391748,1635363095
20677842,4028150667363108493,3644301120919903592849,1635363099
20677890,4159515085782012296,3763147593364884806212,1635363289
20677964,4159655511855946455,3763274637991787910558,1635363441
20678151,4153805246771363006,3768590824021398624897,1635363955
20678237,4154105794818888425,3768863499928619410653,1635364131
20678308,4126316860026258046,3743651647555368219950,1635364277
20678354,4098467993008468462,3769166100168947511329,1635364449
20678762,4044970279437050461,3819166100168947511329,1635365447
20678788,4098467993008468462,3869677387024915009208,1635365503
20680417,4103467993008468462,3864976384769695708086,1635369501
20680425,4108459074549191122,3869677387024915009116,1635369517
20681350,4308459074549191122,3690559719148670499492,1635371685
20681381,4508459074549191122,3861876640363006343899,1635371747
20683696,4508447435332013529,3861886640363006343899,1635376923
20684039,4477239165303796415,3888886640363006343899,1635377633
20684177,4509913080308155843,3917266886951907953885,1635377917
20684859,4567238005281878173,3967058762404465744234,1635379705
20685617,4592506991509893191,3945296253929775820956,1635381575
20685685,4617776209377437289,3967004342948880436872,1635381799
20686078,4650740743200415308,3938969903465271253245,1635382609
20686124,4683704572383791332,3966888796008598942052,1635382705
20688227,4634190262739497486,3924952384961631024025,1635388451
20688254,4585344822653746436,3966888796008598942052,1635388505
20688925,4273921958706005874,3697469609972284214268,1635390275
20689088,4161704158857423659,3797469609972284214268,1635390741
20689140,4347373197331365922,3966888796008598942290,1635390845
20689678,4361623197331365922,3953967199920287381057,1635392401
20689686,4375876093262110463,3966887959111159721730,1635392449
20689949,4377616328050351809,3965315730260892762531,1635393283
20690444,4381902020870503554,3961449100561686264674,1635394689
20690473,4386179039724666925,3965315730260892762483,1635394747
20690479,4396428039724666925,3956099411384585257745,1635394759
20690484,4386240299198797738,3965315730260892762483,1635394769
20690535,4396810299198797738,3955811579378765716196,1635394875
20690535,4444758033884217943,3913264987177833453193,1635394875
20690535,4434021428012119090,3922769138059960499480,1635394875
20690588,4483890230134998276,3966887959111159720897,1635394985
20690618,4486046628793060725,3964986832729611177846,1635395045
20690632,4488197592202183600,3966887959111159721644,1635395077
20690688,4499192592202183600,3957222801813453349513,1635395195
20690749,4488263303235432471,3966887959111159721644,1635395439
20690756,4495653514257849154,3960386493917799677724,1635395461
20690847,4502800130905276590,3966682211316375064862,1635395647
20690921,4513831130905276590,3957017356643599975909,1635395799
20690921,4704146295260315015,3797389602961124429864,1635395799
20690922,4692239756658993677,3807054457633899518817,1635395801
20691637,4888982855669086319,3966682211316375064542,1635397659
20692990,4895171759366957819,3961682211316375064542,1635400961
20693100,4901349907307981596,3966682211316375063996,1635401317
20693243,4897056230296696512,3963207321226114792952,1635401611
20693258,4892779173135899299,3966682211316375064634,1635401645
20693293,4906003054371866625,3956022211316375064634,1635401761
20693328,4919222897377298545,3966682211316375064558,1635401905
20693803,4925214901729507188,3961870815487899213860,1635403124
20693939,4931196206909850422,3966682211316375063897,1635403532
20695395,5023696206909850422,3893859822505756393932,1635406922
20695417,5116825470563976393,3966044183005812828414,1635406966
20695483,5143258072875621132,3945722437524101592124,1635407102
20695509,5169747513823048787,3966044183005812828363,1635407158
20695784,5190960986988125422,3949884901569124919014,1635407806
20695794,5212197605675997935,3966044183005812827693,1635407846
20695873,4573403723614701593,4521671509589940506886,1635408166
20695968,3013578463061062865,2979490266292755951210,1635408360
20696555,3024549677083379700,2968714806256733815222,1635409822
20696561,3035527799368379400,2979490266292755951845,1635409846
20699943,3067756557913424004,2948281722787765649192,1635417746
20700263,3076647037857890975,2939787660636403389167,1635418406
20700965,3085247037857890975,2931617637997336594344,1635419982
20700992,3093845204897038676,2939787660636403388671,1635420040
20704953,6359795174731369822,6043110156014552977871,1635428724
