block_number,reseve0,reserve1,timestamps
22070121,1000000000000000000,500000000,1638494378
22070331,1085378830000000000,460777388,1638494810
22070867,21346083263463,9063,1638495918
22070903,1000021344056213570,424583439,1638495990
22072974,1040021344056213570,408300753,1638500590
22074688,32200083603205,12642,1638504278
22074802,1000032199328977449,392620318,1638504565
22082913,1290032199328977449,304564438,1638522879
22083086,1790032199328977449,219676186,1638523357
22083744,1880032199328977449,209189996,1638524841
22083915,2880032199328977449,136697785,1638525451
22084095,3880032199328977449,101545204,1638525903
22084170,4880032199328977449,80786562,1638526061
22085114,6880032199328977449,57352223,1638528429
22086037,6329847913550720170,62352223,1638530733
22086180,5420911941060013185,72838413,1638531283
22086336,791730426552014670,500000000,1638531653
22086365,565288600918223,356996,1638531711
22087012,100565288600918223,2013,1638533301
22087145,1100522971976963504,22029,1638533575
22087186,100565288601536348,2014,1638533661
22115112,200565288601536348,1012,1638597833
22115151,700565288601536348,291,1638597915
22115409,1700565288601536348,121,1638598455
22115535,102457923768553881,2014,1638598715
