block_number,reseve0,reserve1,timestamps
17722555,10000000000000000000,80000000000000000000,1628349589
17722555,9329156141137166374,85769974784616866099,1628349589
17722561,9276696603902914107,86256461769691123420,1628349605
17722563,9133887932698109881,87609142740641021239,1628349609
17722593,9092283810440282033,88011227537924354139,1628349669
17722624,9325733497980695129,85814500227582620097,1628349735
17722626,9147223358228889172,87494228860588702131,1628349739
17722629,9086266812620053678,88082962852751894241,1628349745
17723409,9553166187700879871,83790300651713551971,1628351867
17723411,9281694160945188546,86248382964005710590,1628351871
17723414,9135177037038165883,87635864523604992685,1628351877
17723432,9106766400777759930,87910087272712379081,1628351913
17724623,38200371211074941331,368758549327541985402,1628355197
17724692,38140252360853672791,369341556695423880137,1628355383
17727534,38883952360853672791,362298265686520872700,1628362857
17727537,38777735812906210539,363293627171495363290,1628362863
17727537,38764037329728839699,363422394622538547912,1628362863
17727550,38515748675658340954,365772217119830952912,1628362889
17727550,38297957760818221462,367858531251778627917,1628362889
17727553,38195051702277012859,368852607086038373876,1628362899
17727554,37620870613181740862,374499086409726085441,1628362901
17727555,37666748147045776305,374044318884819978997,1628362903
17727567,37685616512593742935,373857604606398455829,1628362928
17727883,37938627265044418205,371371797462711426648,1628363604
17730305,38035850707077308607,370425374504783708228,1628368966
17730307,37930917241865768156,371453216221284493696,1628368970
17731010,38457783477553457909,366379417336199325398,1628370420
17731012,38151388682962306115,369330673733247695177,1628370424
17731012,38021560695824029083,370595580756962366423,1628370424
17731061,37857702331949951436,372204445149087531739,1628370522
17732123,38064762014815767273,370185817456892389386,1628372742
17732125,37918605155544957626,371616988255627400477,1628372746
17732679,37796755904545695014,372818612657065993582,1628373908
17735248,37747498137443689532,373306577998210053267,1628379316
17735440,37685525132999411404,373922319553277013091,1628379712
17735871,37610162711642485314,374673831453722747108,1628380598
17738489,37676674756511980652,374014386493022953237,1628386569
17739070,37708870692519364509,373696009184063704817,1628387767
17739817,37818600906091491692,372614978142303547198,1628389309
17741009,37911544789696235513,371704209656055163809,1628392115
17741721,37852105847769558692,372289650941072010415,1628393839
17743276,40418464294306052825,348717654741086318096,1628397434
17743355,40461909909593104438,348344344360970392332,1628397596
17743700,39002355111368236387,361419388941892023022,1628398310
17743700,38817416126064283963,363146491534771536398,1628398310
17743885,38757749026918168120,363707233516739920219,1628398692
17744286,38163061548863473281,369391865659567278985,1628399708
17744287,38671656201187465407,364548150024708196615,1628399712
17744908,38678702210696394809,364481940323877633437,1628401079
17745649,38415274895014640634,366988844404229291842,1628402734
17745649,37917571501324825873,371820409023038760173,1628402734
17745650,37717356128412046417,373800085596708454728,1628402736
17745654,37288603222968912982,378111057562127474267,1628402744
17745656,37345181759794017728,377539929308928266541,1628402748
17745659,37354444776238755729,377446589153219013608,1628402754
17745845,37367271301032199065,377317417050137815970,1628403138
17746590,37298500130610162301,378015210264903963276,1628404978
17747689,37203586128808668507,378982506721611028012,1628407501
17748912,37493736550028446693,376058429168576636053,1628410197
17749467,37593921081359809994,375059264649711486394,1628411471
17750934,37770621081359809994,373309886995841869309,1628414686
17752581,38143817003878943661,369668304625181659349,1628418345
17752590,38076091278236807452,370327810039200341157,1628418363
17753889,38633693939894542332,364998648395208702420,1628421225
17753889,38461111347638168216,366641397566323262364,1628421225
17753889,38458176730614679967,366669458950078928250,1628421225
17753889,38429279693445455972,366946007032679528309,1628421225
17753891,38271441056464388284,368463915258700584518,1628421229
17754923,38082151608830056170,370300896538273453294,1628423869
17755426,38170384636283175782,369447486831511745690,1628425163
17755454,38100173576927173279,370130353838108607699,1628425219
17755475,37997820913715055514,371130353838108607699,1628425265
17756581,38697535003416661954,364439485095541103556,1628427801
17756581,38490484678548031543,366405798783630965458,1628427801
17756583,38159979522996105444,369588803523873100352,1628427805
17756583,38059676497267182011,370565754090945226143,1628427805
17758368,38060884729979040199,370554025868580789596,1628432408
17758780,38165505599645624087,369541286782719422523,1628433512
17758789,38270297851056840948,368532431153947327405,1628433534
17758801,38566616869217376165,365709314242907878796,1628433558
17759063,38644315527448719908,364976216809411899970,1628434098
17759102,38908707201000655291,362503527508043873087,1628434176
17759130,38600056102920802163,365410875178043873087,1628434236
17759799,38630121467149093843,365127332761389195615,1628435874
17760638,38525329977976572504,366123492147090237739,1628437860
17760883,38556197207890740545,365831260489609908238,1628438366
17762197,38747196144469427911,364033329317385892008,1628441356
17762311,38999606144469427911,361684285736741821969,1628441592
17762678,39091369652171026830,360837805201369656813,1628442361
17762688,39313289652171026830,358806984400090189636,1628442385
17763774,39357098799396120424,358408786267270429419,1628444796
17763816,38948267970737248035,362182239546558246716,1628444884
17764026,39983482469088301134,352832365278532687833,1628445472
17764027,40256108817782502646,350449999556853112634,1628445476
17765232,39954416219077598926,353104181998939236149,1628448163
17765232,39435682606778686280,357762860388382968061,1628448163
17765234,39086044305561361020,360972803807987204214,1628448167
17765606,39536035119100900543,356876473162795971990,1628448935
17765608,39279562610218317697,359213678864328060466,1628448939
17767038,39556748986764686493,356704056105160563317,1628452144
17767039,39494112925738260656,357271476529761332299,1628452148
17767040,39485020340174538222,357353996339320245307,1628452154
17767041,39426233726999299579,357888433481512633748,1628452156
17767750,39289904610560873594,359133980567557452819,1628453838
17769277,39327308499503443887,358793434844336894921,1628457219
17770979,39275493263533106691,359268206913718355708,1628460999
17771698,39433993263533106691,357828488065811285142,1628462609
17771700,39379875343018193489,358321714697835545005,1628462613
17773550,39574875343018193489,356561402243482971670,1628466741
17773644,39463778945255351760,357568195918125582283,1628467065
17774150,39532747486316384870,356946253245817301615,1628468160
17774153,39643398855292718045,355952937014859225510,1628468166
17775470,39371359493168954662,358419821189877407870,1628471059
17775517,39320992215705035874,358880311895132727900,1628471157
17776232,39432033572181883290,357872721440645125831,1628472748
17776445,39577619993502581459,356560220137331153403,1628473186
17778467,39427339700047734407,357923365877213241724,1628477396
17784890,40298330789300809843,350210069403712780151,1628492816
17784890,39964592642416618853,353143419709119257630,1628492816
17784893,39630564033212555490,356128866751619240233,1628492822
17787766,39578627308007421249,356597600101399025938,1628500223
17788036,39528638356979669768,357049919721992232801,1628500783
17788347,39477692630012805519,357512076986399315958,1628501677
17788472,39014878954566382382,361765822246742958036,1628502063
17788517,38941237339171342063,362452014697730354641,1628502157
17789152,38817408319921867507,363611729651409718978,1628503723
17790659,38682111934884604265,364887342079454648294,1628507653
17791719,38612678562054615221,365545457356374400807,1628510511
17792787,39254050170768422394,359590439116714798734,1628512978
17792787,39076169656102597595,361232273583863713743,1628512978
17792788,39075771554118977662,361235964873861034246,1628512980
17792789,38761816161715039309,364170637448135267849,1628512982
