block_number,reseve0,reserve1,timestamps
20835162,2000000000000000000,10000000000000000000000000,1635720258
20835205,2300000000000000000,8699056152407463790178766,1635720348
20836140,1779275029154624323,11252593983937810199425862,1635722786
20836140,2183043805147875656,13806131815468156608672959,1635722786
20838913,778169630477359393,38806131815468156608672959,1635729573
20838913,1279488361610966174,63806131815468156608672959,1635729573
20838967,1186769295732819460,68806131815468156608672959,1635729681
20838967,1273009378151318710,73806131815468156608672959,1635729681
21113147,1283009378151318710,73232586249006659402795581,1636338181
21113657,1303009378151318710,72111853706137595624133739,1636339236
21113817,1323009378151318710,71024956212818757743283255,1636339568
