block_number,reseve0,reserve1,timestamps
23272378,30000000000000000000000,1000000000000000000,1641151411
23273620,25168735084495877197762,1192532612632431683,1641154103
23292091,125168735084495877197762,240368715088346569,1641195561
23292122,77129034136438823741832,390532492986555848,1641195635
23292143,21708604400401940927094,1390532492986555848,1641195677
23292946,32064367782051331646752,942348098154195241,1641197336
23292980,41396144771640216055511,730412078047315454,1641197404
23293037,141396144771640216055511,214295324473518941,1641197522
23293554,101813928599511975717543,297857636593822003,1641198947
23293586,501813928599511975717543,60577731486259614,1641199041
23293839,322494241693429501168769,94362726173641543,1641199819
23293872,38410788260185741988350,794362726173641543,1641199885
23293878,63542383596968519247088,480755413932155103,1641199897
23293885,97905728145191810684212,312346839699303267,1641199911
23294322,134547606373375323258907,227470041186219297,1641200941
23294442,634547606373375323258907,48346363298951593,1641201189
23294442,442272705619146511647226,69427843971759888,1641201189
25687410,516918441779194628986891,59427843971759888,1646659640
26532966,454684137034266481317899,67586429213238870,1648631077
26533002,392449832289338333648907,78336468168851229,1648631203
26533241,353254307418506566359051,87054487895127861,1648631693
26533425,323058718251430503569419,95215763590451356,1648632073
26774004,289834750688479422502923,106163258072999388,1649163888
26775493,259641743211040276797451,118545832248088526,1649166977
26775767,232471137154848597530635,132442843762570607,1649167541
26776102,208129130582826184136715,147979474509932019,1649168231
26782849,187001767406598524557323,164748426027349308,1649182319
26784385,176330840112691098830916,174748426027349308,1649185487
26784445,183067624429330436081732,168336367521233268,1649185607
26784743,163679272724971306528987,188336367521233268,1649186223
26784752,177282485974829098250459,173925006245481790,1649186241
26811558,152250403946744909933969,202606739273379526,1649244306
26814076,136332182186795094519185,226334398323031121,1649250055
26846201,1341029154427115258448812,2226334398323031120,1649321030
26848821,1589227327633366794046380,1879516392225928923,1649327044
26848880,1315862249823417631968172,2271153256472910412,1649327264
26848900,1827599523868273855630252,1636593417899683528,1649327338
26850595,1546186703373408334187436,1935356951005779449,1649331600
26853407,1676694371835184590818220,1785132791497312545,1649338322
26856251,1276694371835184590818220,2346114133284472895,1649344955
26857363,1477463967706111385996204,2028132216419442076,1649347379
26958085,1117463967706111385996204,2683477348602241236,1649571197
26958085,1298007553257498562464684,2311189213693267337,1649571197
26958365,1797140986855610665339820,1670677343122924651,1649571773
27044392,1497140986855610665339820,2006458235745166204,1649759085
27047466,1097140986855610665339820,2740181885494753985,1649766065
27048274,1448120611337610383526828,2077557197374287188,1649767733
27048360,1208120611337610383526828,2491517579214678864,1649767909
27048464,1328169365188846769081260,2266932401170549979,1649768159
27048466,1388115819782374105746348,2169314875229804422,1649768167
27052797,1362019283423805415820204,2211004410067357371,1649777587
27052844,1762019283423805415820204,1710244015723903812,1649777775
27052845,1562359388141319155026860,1929460303321645323,1649777779
27052913,1857661371386222901922732,1623519092671726435,1649777955
27080727,1150897435778417677672696,2623519092671726435,1649838027
27080778,1505309558797842983264504,2007251971602914075,1649838133
27080858,1682356456028203015315704,1796581102815135147,1649838297
27081009,1770807405589054883471608,1707098576066705502,1649838607
27081029,2120466527620309072847096,1426308279936090568,1649838663
27081139,2469689256839060647420152,1225143001550257519,1649839003
27081176,1858883256839060647420152,1628921142388251220,1649839081
27081177,2165018240806702085677304,1399184172619584445,1649839083
27083466,2664212576228649816137976,1137658090963562907,1649844317
27083914,1964212576228649816137976,1544313126240633763,1649845241
27083915,2314925889697761193992440,1310944153506616725,1649845243
27084371,1714925889697761193992440,1770983445419663470,1649846313
27084624,2015574179962744981266680,1507493530647534240,1649846963
27085878,4032783411510001084244216,754573485387466761,1649849680
27086123,3032783411510001084244216,1004127744543401315,1649850274
27086123,3532243545902618717036792,862509703743347596,1649850274
27086125,3781758247387803255152888,805762104149117135,1649850282
27087491,3667182378352888990769400,831012740695869994,1649853398
27087614,4667182378352888990769400,653378241170496348,1649853648
27087615,4168320197665367160627448,731809469608291119,1649853650
27089007,4668320197665367160627448,653639108388411207,1649856906
27089007,4419572449865936224231672,690538717893155553,1649856906
27092173,4295267557168622260560120,710583017106066199,1649864078
27092262,5295267557168622260560120,576717663474215549,1649864260
27092265,4734265448912851038216440,645263326719062824,1649864266
27092311,5734265448912851038216440,533014549817456081,1649864362
27092311,5236259898242814105985272,583860561736367835,1649864362
27094126,6326259898242814105985272,483512656952889858,1649868335
27094126,5783347859173262701469944,529039008314351126,1649868335
27117411,6783347859173262701469944,451247735322979705,1649919340
27117411,6285458373868894524907768,487099940829190666,1649919340
27125467,16285458373868894524907768,188345744031282564,1649937075
27125470,11298254232853106156216568,271734300394765225,1649937081
27245836,9532302323271795261524494,322227206651912345,1650201625
27245900,11032302323271795261524494,278529398745888452,1650201757
27245904,10794333824054895198121955,284688247090396865,1650201765
27245943,12494333824054895198121955,246053522431454265,1650201843
27245944,12222020013909877782923093,251552236087748343,1650201845
27246043,14122020013909877782923093,217795888799540438,1650202053
27246047,13817709231855484642709745,222606893817718520,1650202061
27246133,16117709231855484642709745,190922584180180805,1650202237
