block_number,reseve0,reserve1,timestamps
20329844,3900000,21467251302079702949,1634518909
20329900,1,2346150765,1634519115
20330279,1000001,2346153111150765,1634519935
20330312,9472,248448750822498513,1634520041
20331084,164,14418992655394235472,1634522109
20331086,163665,14519711356790468,1634522113
20333905,9114,261481364321322088,1634529079
21874470,12216,195235860171217932,1638047122
22568924,18564,128606466785448198,1639609168
24217554,13364,178800443352532983,1643269125
24561485,15929,150081235486868117,1644024814
