block_number,reseve0,reserve1,timestamps
20209244,400000000000000000000000,175839000,1634214084
20209311,381292433782746996847559,184492248,1634214222
20210561,381292433782746996847559,184492248,1634217140
20215135,398217389079043726300509,176673523,1634228327
20216006,390939755752447150935504,179972328,1634230765
20216013,364315401712509681923544,193164373,1634230779
20216029,359838836435398763158412,195574660,1634230811
20216040,346046037864362836530225,203393385,1634230833
20216049,345842216742600169912659,203513615,1634230851
20216056,344084230900461079104336,204556530,1634230865
20216061,343715744894504393775085,204776488,1634230875
20216070,339715744894504393775085,207194895,1634230897
20216073,335492587435135272019085,209810898,1634230903
20216094,329373484722990679131494,213720495,1634230945
20216103,328733111494738558674803,214138076,1634230963
20216107,327937398194079175575378,214659228,1634230971
20216110,325281342323017996118622,216417283,1634230977
20216114,297839370222158388409368,236417283,1634230985
20216128,296614242578062221433732,237396713,1634231017
20216130,294036806608581295648208,239483921,1634231021
20216135,273694024293197275511211,257337539,1634231031
20216148,290186685700623303475502,272844566,1634231057
20216150,290093638409096534147988,272932344,1634231061
20216150,289003654496908899858645,273964812,1634231061
20216165,289001342815813684495721,273967010,1634231091
20216166,288855835010418070770885,274105433,1634231093
20216171,279381773363937160498337,283428539,1634231103
20216188,281776671149100903328590,285858126,1634231137
20216193,281722686423076552696898,285913068,1634231155
20216194,281724829545974909310321,285915243,1634231159
20216210,281554228296609129939798,286089008,1634231223
20216213,283673331008753722827389,283958224,1634231235
20216218,282321300089805055886908,285322186,1634231255
20216225,266177647324833086693491,302679024,1634231283
20216236,266169967063630899869793,302687784,1634231327
20216244,263357366626411395070010,305930152,1634231359
20216317,263249868958528692100964,306055454,1634231531
20216323,262395096049429411278983,307055454,1634231547
20216356,260671004231148071362241,309092446,1634231613
20216362,260525307209994361125220,309265824,1634231625
20216367,260089284534270749119505,309785848,1634231635
20216373,260426658362128380878574,309385734,1634231647
20216375,259007742830221719685544,311085734,1634231651
20216385,258971241226039425848998,311129713,1634231675
20216431,258886453909561019763301,311231917,1634231767
