block_number,reseve0,reserve1,timestamps
15790440,100001609,1958012249520274362,1623864861
15790532,1,139927866,1623865053
17629561,22381931,3131855841789246,1628122833
17629561,1198356,58660916045651002,1628122833
17630068,284,13898139458996,1628123879
17633736,1198356,58644080315227502,1628132611
17633780,285,13898139459425,1628132699
17633804,1198356,58438311614170895,1628132751
17635405,286,13898139459826,1628136821
17667031,14063241,683401720059887048,1628221236
17667155,287,13898139976218,1628221532
17786574,13913747,673781244366716484,1628497091
17786574,14695144,638055502649751538,1628497091
17786631,499,21643347774027,1628497209
18080453,523,20652997237172,1629198170
18082985,549,19677691101907,1629204072
18177368,1289214,46209025239078198,1629421404
18177368,1368209,43548641062348750,1629421404
18177530,50954255,1621819883946377422,1629421865
18177741,150021604,4775028511136692918,1629422397
18177979,248552607,7911165814107370549,1629423185
18177991,249118000,7893264553967236165,1629423213
18178018,497760044,15771448548798707447,1629423267
18178265,645850789,20463680465510707417,1629423933
18178795,704794865,22331314242496295695,1629425254
18178992,1224437677,38796114891474111112,1629426044
18179087,1225323341,38768157115375620689,1629426370
18179134,2721396117,86102589191968556176,1629426840
18179209,7392809883,233902028577883109518,1629427046
18179271,7396303759,234012571785517982292,1629427390
18179296,7510275472,237618536945815416884,1629427440
18179357,7770782083,245860737914516803671,1629427566
18179397,7777942293,246087280692068090890,1629427650
18179402,8330259953,263562127656796691032,1629427660
18179493,8331835958,263611991090665162818,1629428074
18179570,8829379949,279353847150441705242,1629428388
18179576,9313536763,294672144658670509855,1629428400
18179670,9403536763,297519665851619548794,1629428608
18179747,9401134890,297595907154507627751,1629428824
18179825,9252611600,292894355273190156823,1629429000
18179835,9695726035,306921283295787325943,1629429020
18179876,9697085341,306878389116518199283,1629429106
18179876,9698440759,306921283295787325943,1629429106
18179920,9698542199,306918082743268228301,1629429198
18179920,9698643335,306921283295787325943,1629429198
18179988,9698794436,306916516003630045009,1629429338
18179988,9698945086,306921283295787325943,1629429338
18179990,9684992297,307364783295787325943,1629429342
18180026,13149920347,417328408104620248496,1629429414
18180035,13156128273,417132075639299052594,1629429436
18180059,13156294205,417126830400097976130,1629429484
18180226,13116119656,418408330400097976130,1629429848
18180384,14078247135,449100498741216824267,1629430538
18180398,14080047094,449043259038759387767,1629430566
18180398,14081841882,449100498741216824267,1629430566
18180408,14141841882,451014028956246191506,1629430586
18180411,14141884695,451012667657068544481,1629430592
18180411,14141927379,451014028956246191506,1629430592
18180440,14141413813,451030457481212374161,1629430654
18180501,14150129524,450753480143177336224,1629430781
18180684,14164030461,450312425144513964894,1629431241
18180763,14204010296,449048728667291256097,1629431505
18180822,14209585588,449224987202679622747,1629431627
18180842,15207252848,480765461040288670272,1629431667
18180846,15203172279,480894887988182596967,1629431675
18180888,15180734447,481607811806580213351,1629431763
18180961,15170417936,481936310525302174951,1629432117
18181048,15165554314,482091333497645681851,1629432475
18181136,16179709585,514329882570574493118,1629432659
18181140,16194619598,513857770193309468376,1629432667
18181211,16183825035,514201543121187533719,1629432813
18181310,16183555568,514210130698506207388,1629433015
18181380,16183192382,514221705423115610937,1629433183
18181506,17549078882,557622813748932204437,1629433838
18181563,18507657562,588081696772938144093,1629433952
18181628,18493006219,588549014686507107292,1629434086
18181634,24982703555,795086822954179762462,1629434102
18182040,24933166954,796671235085849182529,1629435088
18182109,24909403904,797433529686194727679,1629435464
18182194,24900785125,797710371737169357579,1629435638
18182263,24896647979,797843328405095301776,1629435780
18182296,24896249857,797856125326652217958,1629436050
18182297,24903267206,797631976300294496239,1629436060
18182297,24910265474,797856125326652217958,1629436060
18182297,24888683697,798550053793087038422,1629436060
18182332,24848471631,799846228954832325609,1629436410
18182362,24849322109,799818936019720980784,1629436498
18182362,24850170064,799846228954832325609,1629436498
18182382,24824224462,800684721893136343226,1629436538
18182418,24815082465,800980585637956138203,1629436690
18182426,24324366605,785141271868881596934,1629436738
18182436,24275540482,786725201868881596934,1629436798
18182525,24266088835,787032553592680063134,1629437088
18182540,23632148274,808208502244770846601,1629437122
18182540,24266088835,829888975191096766805,1629437122
18182540,24770811049,813029117896266362826,1629437122
18182540,24837028583,810868001801421240856,1629437122
18182544,24846388937,810563440439160696640,1629437130
18182546,24867349247,809882276770799020733,1629437134
18182607,24884990282,809309870262388397126,1629437260
18182757,24886039548,809275849827284763231,1629437696
18182757,24887377898,809232460554909757722,1629437696
18182800,24903642924,808705520532437398459,1629437786
18183253,25327393768,822466143756151058681,1629438732
18183321,25378233768,820823437366927781826,1629438872
18183450,25922498302,838426911667326743034,1629439192
18183576,26234090398,848504921757818770177,1629439526
18183646,26234673473,848486120006212129462,1629439670
18183657,26272453775,847269635622694014808,1629439692
18183794,26288707299,846747364621877305658,1629439974
18183819,26295693726,846523069488349222842,1629440028
18183836,26317129278,845835635223658590050,1629440062
18183958,26316499579,845855935223658590050,1629440314
18184098,27036126871,868985949703889407784,1629440602
18184260,27026738011,869288736448448955649,1629441109
18184356,27022084273,869438895669064040616,1629441305
18184435,27014096576,869696750371504917616,1629441467
18184464,27003641812,870034476470201370847,1629441529
18184573,26988896729,870511240432929226943,1629441751
18184610,27009896728,871188583276271488181,1629441829
18184664,27259865877,879251193473308344315,1629441941
18184874,27201262203,881151193473308344315,1629442373
18184915,27318855165,884960471841283664023,1629442459
18185121,27340655798,884256945688700530636,1629443011
18185177,27498903799,889375034115673763813,1629443127
18185306,27518903799,888730597950048557895,1629443393
18185353,27563347206,890165910052832342684,1629443491
18185358,27670134227,893614626419172985461,1629443501
18185361,27678391745,893348826715257820137,1629443507
18185361,27686626947,893614626419172985461,1629443507
18185802,27682044841,893762988240354353395,1629444466
18185917,27677407519,893913187960338024105,1629444736
18185953,27669213256,894178717780554330714,1629444812
18185954,27662440525,894398302703417380881,1629444814
18185963,27646733085,894907982495835213250,1629444832
18185985,27637801599,895198052940024073266,1629444880
18185994,27649108536,894833064878629412095,1629444898
18186007,27647905714,894872111754564964695,1629444924
