block_number,reseve0,reserve1,timestamps
24421026,10000000000000000000000,117326134631657041,1643719332
24421031,3920835914249120344018,299784929799227192,1643719342
24421034,3406509922902338791029,345183633491213324,1643719348
24421748,3269868220701387766803,359651618520713248,1643720820
24439424,3804924788714743708418,309207091627654570,1643758713
24439522,7931331784604288647441,148568856591702687,1643758913
24439676,10495012973548262646069,112359370900915439,1643759229
24439680,6153419541379915923894,191873950258784843,1643759243
24439681,9798273177018105373671,120633500210222143,1643759247
24439714,50789251221353678764515,23329125985118157,1643759379
24439714,77901650459252830599888,15225701243975458,1643759379
24439718,39854867040102629563828,29804398827158028,1643759395
24440675,28030642860314563303403,42414681009635120,1643761675
24440690,20924537766026375706414,56862317297180780,1643761705
24440935,713644076656300460615625,1672111712470143,1643762211
24440958,56907340634997109837504,21027110567781479,1643762257
24440960,943317019300847762033297,1272085296092192,1643762265
24440962,77391926916398447099937,15551032042160424,1643762269
24441456,70283936552282118527290,17128479164885727,1643763413
24443487,61491779994541958216533,19584895594578964,1643767731
24443487,54690252454828307217009,22027890915396399,1643767731
24443487,49271854075877753498694,24457574875409540,1643767731
24467156,11224271923756603638878,107612335432400644,1643818365
24467369,158950405854133553505083,7620284164057673,1643818803
24475726,48887802614586415518603,24827684856187171,1643836436
24482160,36308468397788467172432,33455300561147815,1643850605
24594669,42289222949849145669274,28736075733795079,1644100093
24650690,29746666335750066991337,40888979787766599,1644225050
24650725,26315998068747120937561,46236703276959825,1644225120
24650731,26229438158054255502673,46389749405099435,1644225132
24650734,24627759223885911000106,49415808693916204,1644225138
24654480,32590744628008358225414,37369301188672645,1644233378
24654680,37494027272971686937122,32495078236232411,1644233790
24654996,26738722507971230098601,45605132690519171,1644234442
24654998,33951862111917896331731,35939138949381606,1644234446
24656002,1357879467575339488650,901203304553298214,1644236774
24656002,26119779799821323129327,46984152372797373,1644236774
24656005,29731520287752198603302,41291636155814147,1644236780
24656018,22496722901998225417095,54610710636242840,1644236806
24656032,18103344343068238704362,67903694686018310,1644236834
24656049,14715018585447666509514,83597064049098308,1644236868
24656209,13486289295042133347488,91236470313033562,1644237200
24657512,16366796190168066762727,75218840863240565,1644240145
24657607,13906860537888189586300,88564072786335361,1644240343
24657612,18471110652497168743609,66729171731179900,1644240353
