block_number,reseve0,reserve1,timestamps
15988214,10000000000000000,1310000000000000000,1624301224
15988216,11000000000000000,1191233972901700464,1624301232
15988216,10005449331540479,1309999999999999999,1624301232
16029980,3446979256888371,3809999999999999999,1624394720
16029980,5708776669544782,6309999999999999999,1624394720
16030381,4092289779588478,8809999999999999999,1624395546
16030381,5253552486622665,11309999999999999999,1624395546
16030538,5553552486622665,10700773867417451017,1624395872
16030620,6467523515630615,9192469749759393598,1624396040
16067175,5087947640986931,11692469749759393598,1624477093
16067175,6175816104596090,14192469749759393598,1624477093
16067894,5253235969805751,16692469749759393598,1624478707
16067894,6040003303902832,19192469749759393598,1624478707
16095555,18088196074987169,6421573787331627685,1624541479
16258433,13030482868599029,8921573787331627685,1624906058
16258433,16681879802372622,11421573787331627685,1624906058
16289897,13693568396027286,13921573787331627685,1624976335
16289897,16152623781074373,16421573787331627685,1624976335
16296249,14024028152918703,18921573787331627685,1624990521
16296249,15876943284416389,21421573787331627685,1624990521
16296328,14222131917338831,23921573787331627685,1624990687
16296328,15708460956951452,26421573787331627685,1624990687
16296421,14354333578596484,28921573787331627685,1624990877
16296421,15595131683511856,31421573787331627685,1624990877
16297692,14448974310472430,33921573787331627685,1624993627
16297692,15513855203164719,36421573787331627685,1624993627
16298089,14520171419112369,38921573787331627685,1624994476
16298089,15452827142288602,41421573787331627685,1624994476
16298268,14575746782158918,43921573787331627685,1624994846
16298268,15405392985909193,46421573787331627685,1624994846
16298561,14620384929039405,48921573787331627685,1624995452
16298561,15367518749416693,51421573787331627685,1624995452
16298598,14657063430569661,53921573787331627685,1624995526
16298598,15336618124595171,56421573787331627685,1624995526
16298700,14687766021555348,58921573787331627685,1624995790
16298700,15310957370558031,61421573787331627685,1624995790
16298763,14713865697555018,63921573787331627685,1624996124
16298763,15289331257371659,66421573787331627685,1624996124
16298795,14736343223655906,68921573787331627685,1624996188
16298795,15270876259317831,71421573787331627685,1624996188
16298807,14755918050061702,73921573787331627685,1624996212
16298807,15254957684029509,76421573787331627685,1624996212
16298825,14773130042867389,78921573787331627685,1624996252
16298825,15241098727915289,81421573787331627685,1624996252
16298928,14788392324033562,83921573787331627685,1624996476
16298928,15228934358001767,86421573787331627685,1624996476
16299116,14802026476375410,88921573787331627685,1624996894
16299116,15218180449082205,91421573787331627685,1624996894
16356549,14814286621036445,93921573787331627685,1625124720
16356549,15208612600245990,96421573787331627685,1625124720
16356659,14825376267389906,98921573787331627685,1625124944
16356659,15200051267488027,101421573787331627685,1625124944
16494070,14835460347284563,103921573787331627685,1625425824
16494070,15192351120937690,106421573787331627685,1625425824
16494070,21756718120937690,74379723735744006693,1625425824
16494070,21051279702727577,76879723735744006693,1625425824
16494070,21735832100934886,79379723735744006693,1625425824
16498492,21074111201714610,81879723735744006693,1625435338
16498492,21717558389864893,84379723735744006693,1625435338
16498617,21094447665182641,86879723735744006693,1625435669
16498617,21701449125308830,89379723735744006693,1625435669
16571478,21112687258605613,91879723735744006693,1625594968
16571478,21687152613968673,94379723735744006693,1625594968
16571478,21129147173340272,96879723735744006693,1625594968
16571478,21674388900881053,99379723735744006693,1625594968
16572011,21144083265504108,101879723735744006693,1625596066
16572011,21662932416497776,104379723735744006693,1625596066
16572011,21157704236894905,106879723735744006693,1625596066
16572011,21652599421345571,109379723735744006693,1625596066
16572122,21170182050388635,111879723735744006693,1625596424
16572122,21643238770219117,114379723735744006693,1625596424
16572122,21181659697703597,116879723735744006693,1625596424
16572122,21634725016064412,119379723735744006693,1625596424
16572122,21192257073414368,121879723735744006693,1625596424
16572122,21626953190698051,124379723735744006693,1625596424
16572122,21202075473254623,126879723735744006693,1625596424
16572122,21619834805656165,129379723735744006693,1625596424
