block_number,reseve0,reserve1,timestamps
14721825,100000000000000000,1000000000000000,1621514354
14721868,99999999999900301,1000000000001000,1621514444
14721870,99999999998903302,1000000000011000,1621514448
14721872,99999999998908227,1000000000010951,1621514452
14721874,99999999998913152,1000000000010902,1621514456
14721876,99999975073919366,1000000250010902,1621514460
14721876,99999999998913152,1000000499260964,1621514460
14721879,99999999983958160,1000000499410964,1621514466
14721882,99999999784558261,1000000501410964,1621514472
14721882,99999999983958160,1000000503404963,1621514472
14721891,99999999983962108,1000000503404924,1621514490
14721893,99999999985932108,1000000503385284,1621514494
14721893,99999999987896107,1000000503404924,1621514494
14721895,99999999987935587,1000000503404531,1621514498
14768205,199999949635443421,2000000503404531,1621619176
14768253,199999949635343722,2000000503405531,1621619272
14768254,199999949634346723,2000000503415531,1621619274
14768257,199999949634351648,2000000503415482,1621619284
14768258,199999924709367305,2000000753415482,1621619286
14768258,199999949634351648,2000001002665513,1621619286
14768263,199999949434951799,2000001004665513,1621619296
14768263,199999949634351648,2000001006659512,1621619296
14768272,199999949634355596,2000001006659473,1621619314
14768277,199999949634395076,2000001006659080,1621619324
14768307,299999874118676623,3000001006659080,1621619384
14768351,299999874118576924,3000001006660080,1621619476
14768355,299999874118581849,3000001006660031,1621619484
14768360,299999849193602743,3000001256660031,1621619494
14768360,299999874118581849,3000001505910051,1621619494
14768365,299999873919182033,3000001507910051,1621619504
14768365,299999874118581849,3000001509904051,1621619504
14768376,299999874120551849,3000001509884411,1621619526
14768376,299999874122515847,3000001509904051,1621619526
14768378,299999874122555426,3000001509903657,1621619530
