block_number,reseve0,reserve1,timestamps
16115446,10000000000000000000,10000000,1624585613
16115448,10001000000000000000,9999004,1624585617
16115448,10000007885403142334,9999999,1624585617
16115652,9739891965050852234,10267865,1624586051
16115689,10544407668050852234,9486621,1624586199
16117405,11147404494222727178,8974918,1624589913
16117991,10673143916691375841,9374918,1624591249
16118002,10872946057081466604,9203152,1624591271
16119170,11214946853081466604,8923318,1624593683
16131044,11403995568976797758,8775829,1624619934
16135664,11468969462434480204,8825829,1624629869
16139369,11083680619671675603,9133554,1624638522
16152018,11268551143671675603,8984153,1624668379
16152954,11179470805920230604,9055956,1624670819
16158791,10154563899974495802,9972730,1624685421
16162599,10320257612923289725,9813089,1624694198
16188628,10219778422003622593,9909860,1624753811
16192894,10143880559068486319,9984230,1624763119
16214300,10270925236802861327,9861098,1624809058
16227809,10083428846275616598,10045012,1624838460
16253941,9913144232842000884,10218081,1624895998
16266942,9812271161882644044,10323442,1624925030
16266942,9720068320426364621,10421663,1624925030
16284910,9618538798416502946,10532001,1624965281
16287447,9445636760388258504,10725369,1624970899
16301534,9525501262341383496,10635712,1625002217
16308541,9598773967419508488,10554766,1625017073
16312117,9676685344372633480,10470038,1625025004
16329800,9771259318982008488,10369002,1625065335
16351993,56759109040913689,60232,1625114239
16363609,44978630548495429,76055,1625140549
16376866,57216179376620429,59827,1625170169
16376987,62129509454745429,55109,1625170419
16377294,71498405939120429,47907,1625171181
16377395,84102165704745429,40746,1625171408
16377526,103724968439120429,33057,1625171678
16377956,116633903985995429,29409,1625172566
16401641,135633903985995429,25300,1625223668
16417288,145633903985995429,23568,1625257897
16424262,155633903985995429,22058,1625272442
16481125,140943510972418091,24364,1625398067
16544489,146994170697373564,23364,1625535363
16546737,153586751637178024,22364,1625540511
16546737,141355162506691043,24305,1625540511
16546767,147171050698696434,25305,1625540575
16613443,141592405061611789,26305,1625687124
16626526,285719768061611789,13056,1625715916
16626528,144377417192674052,25876,1625715920
16628390,164377417192674052,22736,1625720016
16628390,145267032972854871,25736,1625720016
16764639,136693704328690090,27355,1626059590
16765651,124670708242836874,30001,1626061934
16787942,86956483443036195,43052,1626113045
16794148,90730780566264518,41267,1626127604
16803277,83528447245800220,44836,1626148128
16848763,78530666380440294,47698,1626261625
16914790,84054348021065294,44573,1626419110
17116850,73476702984260885,51009,1626889016
17130766,83476702984260885,44915,1626922111
17137368,72975123695841046,51398,1626939695
17153410,82975123695841046,45220,1626979250
17164410,72215152247539319,51978,1627005963
17164410,76640201075664319,48986,1627005963
17285824,69684952587028256,53890,1627294058
17318999,84608048290153256,44409,1627380267
17319002,77778795428894520,48320,1627380273
17821756,74707472042185277,46412,1628577367
17821790,74856301246288976,46320,1628577439
17821791,77427265400520910,44787,1628577441
17865352,69334909140095834,50030,1628679842
18124713,74502000061655102,46570,1629300970
18202216,69609526550022452,49853,1629481255
18257034,65401826269523205,53070,1629608958
18480525,115418056993782580,30112,1630141602
18480527,68791752962882601,50583,1630141606
18878052,75205207522864536,46282,1631096006
19035766,70155987909639377,49623,1631476892
19077367,76269921933556603,45657,1631576793
19164671,69221465914289922,50320,1631779683
19327210,77045364641875364,45224,1632178608
19703912,78872719641875364,44180,1633059534
19772084,72051752456490306,48375,1633209429
20030654,73148149924646406,47653,1633801585
20252382,75431704845726203,46215,1634323468
20260330,66300614627969950,52599,1634341792
20787838,64259219238524601,54275,1635614793
20903743,58917119604094175,59211,1635872694
20959351,55087210832942973,63340,1636001161
20987702,58873764120069116,59278,1636063821
21196468,58986156488334659,59166,1636521321
21455790,65023080872208504,53688,1637106702
21806644,58366920049394110,59829,1637894756
22081022,54549909802726701,64028,1638518200
22083050,56929540456707734,61360,1638523281
22261988,52572990809253207,66460,1638929241
22311785,52669963237047549,66339,1639041226
22470653,57559900515460979,60719,1639387218
22543274,61211419798065141,57108,1639551522
22578236,57293486564334643,61025,1639628788
22689689,53768294444560714,65038,1639875030
23036137,48903009670109842,71528,1640636300
23163773,54636390931276605,64043,1640914932
23225167,56294419923156115,62163,1641047637
23234272,46886330052079684,74674,1641067862
23246506,54177667074857355,64651,1641094654
24169723,67969554022602695,51564,1643165126
24211890,62046708154120388,56501,1643257185
24217586,59785918782617310,58644,1643269189
24217597,67186456739696635,52202,1643269211
24666142,61180475352369595,57342,1644259368
24838974,64109216858107868,54730,1644638992
