block_number,reseve0,reserve1,timestamps
14184953,10000000000000000000,586000000000000000000,1620355069
14187020,11000000000000000000,644600000000000000000,1620359500
14188073,10738136953551423268,660366686062565893738,1620361860
14188134,11130734582029696610,637141985871295167018,1620361986
14188255,10964973914498492345,646802827231861243213,1620362236
14188279,10601637543630268961,669036574928537025934,1620362284
14188521,10164927201581785886,697866526066604696977,1620362784
14189384,10311466370591626321,687978278377144053230,1620364728
14189653,10460475252915832951,678207049515193360569,1620365289
14189721,10613382051648780408,668465024798161445160,1620365429
14190765,10770786627205464723,658724938193906893324,1620367667
14191586,10359089028485914546,684983184363287904237,1620369495
14193091,10098115107759400761,702739037538783277303,1620372642
14194285,10329332202853458733,687054702936164320599,1620375215
14194562,10188115105650940446,696606599161666759398,1620375833
14195172,10220314278810103874,694418498405101683056,1620377089
14195409,10250759217009974312,692362232030439908000,1620377579
14195411,10298279576950113242,689176937591545979672,1620377583
14195986,10262654540486008081,691576495223330780160,1620378796
14195988,10207481615282633044,695325814891054101528,1620378800
14196008,9954866920468413290,713023495240849482492,1620378840
14196306,9972766286924398517,711747575503545247210,1620379456
14196307,10000656752449627815,709768547087554570409,1620379458
14196318,10179716457601429152,697320620740975490176,1620379480
14196411,10200766496741224799,695885955896482283186,1620379670
14196418,10220554355178127890,694542695857077376318,1620379700
14196470,10236396696240719970,693471007841932457178,1620379804
14196710,9088778467352845496,781297405711944164130,1620380325
14196716,9180203585015816963,773539620850759476899,1620380337
14196717,9282343257773465751,765053115371847799111,1620380339
14196721,9306546585278448581,763069412342566503024,1620380347
14197177,9167544416798291147,774674206448368013747,1620381291
14197195,9474834187810273579,749622749019687760337,1620381331
14197201,9457814628040002200,750975771848180839031,1620381343
14197208,9724904022299685829,730410796747527462898,1620381357
14197212,9704205469755232090,731973411854656544376,1620381365
14197233,9777620409555082011,726493778239195381046,1620381407
14197237,9809649501275309531,724128825618955203888,1620381415
14197242,9828708452594040110,722728864195782497093,1620381425
14197307,10216991592538997857,695341794166518250925,1620381559
14197312,10191218882546487856,697105544598532760435,1620381573
14197355,10216350550541468321,695395834693202934659,1620381659
14197375,10236740209734562320,694014884155905917940,1620381699
14197433,10265203293210598489,692096295167950975979,1620381819
14197435,10294642714977952832,690123039288187182071,1620381823
14197457,10316077683241527824,688693379728057104316,1620381871
14197458,10349949694463116561,686446250357608151739,1620381873
14197472,10366562810941003465,685349468873842250872,1620381901
14197635,10514182121293801167,675755612590049106990,1620382256
14197916,10467088409892537482,678805132890528375282,1620382843
14199306,10508753065990887799,676121877219172915425,1620385841
14199631,10532518666878302147,674600840674266880075,1620386522
14199910,10552208987540186602,673345811352684549948,1620387106
14199933,10574036757478208750,671959998570843708633,1620387152
14199936,10588947432842916466,671016622326221264175,1620387162
14199944,10605264006986905120,669987331893761126078,1620387178
14199954,10636508437630721025,668025150727873937935,1620387198
14199970,10652426907000322296,667029876720498760158,1620387230
14200047,10683498435727494402,665095712412888012259,1620387388
14200599,10703471960821336390,663858307655023901588,1620388528
14200808,10721399644484872400,662751568112694506765,1620388958
14201005,10742705760953353764,661441061784749610399,1620389368
14201079,10967969071431130605,647896114618582061706,1620389520
14202418,10948185923483225916,649070372414186518322,1620392344
14202592,10834477363598619546,655902906706433234511,1620392704
14202596,10792642782748215424,658452976203040943218,1620392712
14202596,10725439259277533710,662591129382541390237,1620392712
14202600,10703099480855476451,663978267666973735967,1620392720
14202626,10768524945900653589,659956216983860097080,1620392776
14202630,10796211002327536620,658268874040008049152,1620392784
14202633,10848123030472014730,655128234399945896497,1620392790
14202767,10863575361574193620,654199172709872542066,1620393066
14203577,10888239266412863071,652721724451421625401,1620394734
14203708,10872659801631990654,653659825547761491168,1620395004
14204203,10950762558872662302,649011695740331869055,1620396026
14205173,10918249525118143992,650950178060506599700,1620398026
14205174,10858715611806369598,654529811557408192850,1620398028
14205211,10802196689506784793,657964727114778670561,1620398106
14205211,10732018584757213019,662280192854123706014,1620398106
14205269,10653882847074456107,667151981154387244856,1620398226
14205269,10555029443874095617,673419011503311645383,1620398226
14205325,10495216038907050761,677268449757474489212,1620398370
14205325,10417437258105119545,682340294190242843086,1620398370
14205348,10355105867497882969,686459923437985356297,1620398462
14205349,10274610179099727997,691854126539716381686,1620398466
14205636,10231268806147123529,694793755700617000236,1620399112
14205637,10180851629997471886,698244836737621296345,1620399114
14206160,10135295099629772448,701392779424990296098,1620400192
14206182,10115750422370435374,702752020624704392289,1620400236
14206498,9734007381313613491,730395098824992365042,1620400888
14206508,9768605601717322634,727815935715158640466,1620400908
14206593,9543080928210508356,745067634152667767711,1620401086
14207097,11009347664612561176,646094844902737985103,1620402122
14207099,10690346394849042587,665432408348413038262,1620402126
14207149,10712542800493342133,664057759130889478705,1620402230
14207198,11287318249250189946,630338750028221739139,1620402332
14207200,11263794004883561397,631659163147202020293,1620402336
14207204,11201093392190299025,635205655344229922702,1620402344
14207303,11228939233392265611,633635168308015997445,1620402550
14207306,11211671868026530820,634613981502515552484,1620402556
14207445,11173060810718131913,636813633662913743420,1620402844
14207447,11116675249235738097,640053373864494377143,1620402848
14207463,11073473279615530466,642557987369656848957,1620402880
14207467,11055939092206109036,643580119816293530288,1620402888
14207467,11023055329911956309,645505812475193870246,1620402888
14207506,10982701710641362204,647884724068279674662,1620402970
14207510,10966529218457731598,648843043582448091698,1620402978
14207510,10932630912759815218,650860935030961387357,1620402978
14207532,10898996881269480779,652875519333346161971,1620403022
14207708,10935738331837888946,650688573087096681584,1620403394
14207709,10999556902490541944,646924588989038106416,1620403396
14209371,11037631843484897036,644699657482213338114,1620407009
14209859,11467631843484897035,669815629517553951439,1620408017
14210339,11493110374005273230,668335191863146630610,1620409106
14211673,11578813224471498952,663403109162608901919,1620411924
14211673,11735300041756924074,654583007424488116137,1620411924
14213127,11702026092086405751,656449872202718982826,1620414937
14213972,11665892275376474554,658489271593750110503,1620416857
14213974,11638850551329028229,660023810239966194513,1620416865
14214583,11621007023280879647,661040296257075531851,1620418159
14214636,11602305904020082441,662108996883816793016,1620418269
14215175,11581768941429040578,663286591052711090859,1620419442
14215177,11528595955025872347,666355052657888320860,1620419446
14215796,11504959680167575880,667728159930614908760,1620420848
14216733,11485548345585470864,668860060282236877223,1620422986
14216736,11453317935372215545,670747941308943533647,1620422992
14218092,11419444185283513356,672743582700336999609,1620425961
14218569,11447457726338114549,671102211264483300773,1620426958
14218660,11383502759686044930,674883953040647605590,1620427144
14221149,11359874454575231795,676291921681655588919,1620432545
14221735,11388824141192648868,674577973648937777991,1620433767
14222113,11151703190179508147,688964823940858261271,1620434548
14222119,11100158809237274277,692173708004705415312,1620434560
14222233,11067492084322784963,694222870108978571251,1620434796
14222294,11149930912220143140,689105305429922643620,1620434922
14222299,11172974421893382499,687688326931995445337,1620434932
14222319,11228540618022267218,684295352308077760587,1620434972
14222917,11770236366165766870,652892510085468635029,1620436336
14222927,11707580787753115020,656397115345270781438,1620436356
14222956,11676031645651172246,658176065568687104574,1620436414
14223004,11789528826427080824,651858665049080856211,1620436514
14223015,11892972938856995543,646205713272261054379,1620436536
14223026,11730690361213197947,655172234085356707753,1620436558
14223278,11689077721157761952,657511638737463038032,1620437078
14223792,11651849119836829230,659618763031036998812,1620438148
14223899,11621879083125756578,661324879851880759017,1620438370
14226220,10961140290247280661,701309573480221846579,1620443214
14226226,11089886191445334415,693191997283561112760,1620443226
14226237,11119624913635110978,691343646699698423256,1620443248
14226253,11158170916719462890,688962533855983357088,1620443288
14226257,11342183871311696584,677817956141672582535,1620443296
14226261,11387647729417887272,675119932858954891949,1620443304
14226263,11438030144665216288,672155036107703842999,1620443308
14226279,11500658216281342292,668505664803275100241,1620443340
14226695,11528433789973218830,666899847559071596499,1620444200
14228014,11553753709300852031,665442719088489729091,1620446936
14228015,11598583353975322014,662878404988209356344,1620446938
14230025,11629711475867258860,661109451171431060902,1620451167
14230810,11670761312788598133,658791067251569145992,1620452796
14231515,11732800232150871758,655318007161179503582,1620454270
14231516,11784513691855796463,652450893526985500068,1620454272
14232477,11835220083724419135,649663906541446617373,1620456254
14232778,11811528159685066320,650970943363682457677,1620456894
14232962,11781753524900064592,652621015594967608516,1620457274
14233363,11748462912995584023,654475856325611251364,1620458100
14235110,11710541101191482763,656601598493448058380,1620461703
14235175,11856788745501365393,664801598493448058339,1620461837
14235359,11889720802937002497,662965744960072823229,1620462217
14235481,12299720802937002497,685827169541757348272,1620462489
14236153,12354684452994145788,682785167166513439132,1620463891
14236397,12280420686596820916,686926619302021575678,1620464395
14236398,12130127548727826304,695463298715742525864,1620464397
14236489,12207718369810431559,691056192662164845705,1620464587
14238438,12251699884499123875,688582834383246539349,1620468757
14239432,12284083887623909671,686772984541101811831,1620470809
14239733,12310104622089860972,685325650015051056086,1620471427
14239735,12363522435635311263,682373477987800115656,1620471431
14240582,12399152128773480564,680418503319601409776,1620473200
14240925,12293211780616810452,686299852835876438542,1620474034
14242346,12437182054342164705,678378944543868998600,1620477189
14244106,12407236473458540672,680021177955961897534,1620481005
14245100,12323262737472509384,684668952439153173770,1620483064
14245981,11997377904177697363,703322579344047322300,1620485010
14245983,12046755474239142969,700448394615025453867,1620485014
14245985,12103888445070971348,697151998850526958459,1620485018
14246127,12129235590571307285,695699482652690406495,1620485310
14246421,12155701227285008628,694189325983073071345,1620485918
14246824,12219612917428090193,690569374431896439121,1620486748
14247763,12149109147603484102,694588948737341945717,1620488692
14248303,12178968886615602212,692891089396273774064,1620489804
14248305,12215853240567362770,690805242425595070617,1620489808
14248697,12245039813246466255,689163606730598999330,1620490616
14248770,12745039813246466254,717304128004571259853,1620490770
14248858,12788955838158767843,714848339865172923615,1620490950
14248877,12712390589855875798,719166743390431709321,1620490988
14249171,12912390589855875798,730481165147804491860,1620491600
14249312,13039913440647312030,723358701738790027079,1620491900
14249472,13099026718236938163,720104078207364076079,1620492232
14249792,13031147509098687095,723866385158634688317,1620492892
14249943,12994882053151019233,725892593276707750245,1620493252
14250773,12787914517029277950,737676239946990839891,1620494968
14250773,12755204489189682101,739573662792306222788,1620494968
14250784,12798419318124086836,737083902950439883714,1620494990
14250878,12931666262703036422,729511594757195809538,1620495182
14251661,13159153375417721948,716937442030452170167,1620496804
14251661,13127410917657556465,718676233793384391081,1620496804
14251661,13157890347785575919,717016448013358833179,1620496804
14252084,13125584045096979601,718786567489815576206,1620497709
