block_number,reseve0,reserve1,timestamps
18659285,5404536265237360,1000000000000000000,1630578890
19251821,1688613089490503,3207198624960950687,1631999617
20270440,961343336746801,5640790259557493046,1634368833
24312012,16465413355386,330315048899519249364,1643478215
24884598,24698120033079,220430463062742241818,1644738240
24888152,49149258865827,110934642689211125262,1644745839
25718092,49150413908212,110932043528584054035,1646727273
25719159,49151569004805,110929444367958029102,1646729472
25730961,49152776004571,110926728546825647407,1646754801
25731079,49153983004337,110924012858869806823,1646755045
25731188,49155190063295,110921297170911514583,1646755373
25731373,49156397240644,110918581349782152517,1646755905
25731595,49157604417993,110915865661839112877,1646756365
