block_number,reseve0,reserve1,timestamps
15323250,60149224174838426,1530756434067721087604,1622809102
15323254,84443612144954062,1091300419254438752772,1622809110
15323353,6074908086675,78508599685907155,1622809316
15397702,6059031660805,78714934062856444,1622973052
15439362,6037059596080,79002281537224351,1623070729
15663099,6037058931264,79002290263331766,1623581819
15663100,6037058266171,79002298993088445,1623581823
15663100,6037057600826,79002307726152342,1623581823
15663102,6037056934972,79002316465889706,1623581831
15663102,6037056269101,79002325205864597,1623581831
15663104,6037055602977,79002333949155253,1623581841
15663108,6037054936316,79002342699495219,1623581849
15663112,6037054269546,79002351451264176,1623581857
15663116,6037053602477,79002360206959733,1623581865
15663119,6037052935300,79002368964084491,1623581871
15663121,6037052267585,79002377728263863,1623581875
15663126,6037051599881,79002386492309503,1623581885
15663129,6037050931913,79002395259816695,1623581891
15663133,6037050263681,79002404030786000,1623581899
15663137,6037049595074,79002412806692162,1623581907
15663141,6037048926329,79002421584409418,1623581915
15663145,6037048257172,79002430367536179,1623581923
15663149,6037047587793,79002439153572086,1623581931
15663153,6037046918002,79002447945020075,1623581939
15663157,6037046248073,79002456738278583,1623581947
15663160,6037045577768,79002465536480323,1623581953
15663163,6037044907318,79002474336581743,1623581959
15663166,6037044236759,79002483138114453,1623581965
15663169,6037043565781,79002491945149988,1623581975
15663172,6037042894420,79002500757220958,1623581981
15663178,6037042222905,79002509571310667,1623581993
15663181,6037041551006,79002518390442153,1623581999
15663205,6037040878836,79002527213134395,1623582047
15663426,6037040206252,79002536041260067,1623582505
15663552,6037039533221,79002544875262765,1623582765
15664999,6037038860253,79002553708428833,1623586003
15665020,6037038186595,79002562550662193,1623586045
15665611,6037037512573,79002571397673404,1623587395
15669699,6037036842528,79002580192483077,1623596467
15669703,6037036172201,79002588991004189,1623596475
15669706,6037035501824,79002597790182339,1623596481
15669717,6037034830897,79002606596580706,1623596503
15669727,6037034159539,79002615408628429,1623596523
15669731,6037033488035,79002624222602880,1623596531
15669742,6037032815723,79002633047186559,1623596553
15669750,6037032143144,79002641875270316,1623596569
15669754,6037031470350,79002650706178339,1623596577
15669757,6037030797424,79002659538821949,1623596583
15669768,6037030124053,79002668377314786,1623596609
15669772,6037029450467,79002677218626032,1623596617
15669776,6037028776391,79002686066376345,1623596625
15669781,6037028102100,79002694916939045,1623596635
15669781,6037027427630,79002703769861499,1623596635
15669792,6037026752854,79002712626801659,1623596657
15669796,6037026078067,79002721483887749,1623596665
15669801,6037025402857,79002730346527956,1623596675
15669806,6037024727680,79002739208736380,1623596685
15669810,6037024052481,79002748071234356,1623596693
15669814,6037023377118,79002756935890253,1623596701
15669815,6037022701623,79002765802277197,1623596703
15669878,6037022024275,79002774692993022,1623596833
15669881,6037021346520,79002783589051439,1623596839
15669886,6037020668766,79002792485095962,1623596849
15669890,6037019990794,79002801384009697,1623596861
15669892,6037019312822,79002810282922647,1623596865
15669893,6037018634834,79002819182050166,1623596867
15669895,6037017956553,79002828085027243,1623596871
15669901,6037017277832,79002836993777624,1623596883
15669903,6037016598890,79002845905423756,1623596887
15669905,6037015919400,79002854824265291,1623596891
15669908,6037015239666,79002863746309748,1623596897
15669911,6037014559655,79002872671997399,1623596903
15669912,6037013879112,79002881604672192,1623596905
15669915,6037013198648,79002890536308875,1623596911
15669919,6037012517726,79002899473960883,1623596919
15669923,6037011836459,79002908416140544,1623596927
15669927,6037011155051,79002917360179445,1623596935
15669931,6037010473184,79002926310235867,1623596943
15669936,6037009790927,79002935265422852,1623596953
15669938,6037009108608,79002944221418691,1623596957
15669939,6037008426074,79002953180244929,1623596959
15839086,3454534741062,138240151194031157,1623969969
16025910,1453208752961,329194200228507755,1624385649
16026754,1402474247884,341138633524630991,1624387521
16495407,779030421481,614967140535910570,1625428710
17431803,376142358203,1275643717231884752,1627665734
20718955,152113086507,3160040805415553255,1635460812
21914770,152089701961,3160528139373475103,1638137589
