block_number,reseve0,reserve1,timestamps
16750191,10000000000000000,9121659664932644013999769207,1626023342
16788979,1406159816331881,65037041648416718696439642666,1626115439
17262899,1001406159816331881,91598467857940967198737530,1627236779
17262899,3842900731125086,23940826742632666892778626676,1627236779
17262917,1003842900731125086,91924737164837363941432086,1627236819
17262917,10450340914987709,8856435587740855867906976954,1627236819
17693933,12618246189877,10693687939943171714772361,1628283262
19112321,195066492809488,693687939943171714772361,1631655521
19112492,700140410231502,193687939943171714772361,1631655961
19113727,8336975990076940,16310763248195053326409,1631658843
19177264,2016738135581,67629760672663066398001191,1631812800
20678759,77153897347328,1772965058480494912140872,1635365441
