block_number,reseve0,reserve1,timestamps
21863113,2534274121250000000,40000000000000000000,1638022179
21863116,1796166532158213060,56486858240848788755,1638022185
21884635,1731792333114882143,58592906350599707212,1638070716
21887708,1664725417951438444,60960545990482610578,1638077568
21892957,1683103588797137919,60296879833855043291,1638089190
21944423,1622689932426754941,62548521416055050873,1638208269
21947621,1565083556274839415,64857686153764375764,1638216147
21994935,1521522598159631081,66720139098038238610,1638322764
22024919,1594086506271770045,63691690598039489703,1638391412
22028707,1670864939431216368,60773351810666285365,1638401074
22033125,1591470404405734121,63814307374712046448,1638410881
22105319,1652974784697895909,61446744521814632364,1638574253
22207090,1707883888541602026,59476945391402820966,1638807368
22223030,1660373151180912209,61183969152148104558,1638843904
22261965,1584974986609898055,64103283421848267728,1638929195
22277528,1506706294014560339,67443269015880143832,1638966741
22293820,1418749523961319138,71637062091945101616,1639001730
22321588,1357973838467247046,74852803152939806405,1639062107
22324121,1329064878115046367,76485852102126893616,1639067596
22325244,1273567031819799612,79828882092458366573,1639070235
22326233,1231566062280891880,82559534946769565571,1639072451
22327722,1286353576472541400,79053315217484836306,1639075653
22357407,1345304042933992820,75599181551008315537,1639140103
22369210,1402818255425859950,72508605455964035453,1639165570
22406512,1466004352875033681,69392392398424293707,1639247625
22406717,1519429923431322745,66959508821987445225,1639248175
22406906,1591573023969677828,63933050394410891841,1639248565
22436250,1571108628298369296,64768312883853402331,1639312595
22441337,1656577212790416479,61436199303798907282,1639323482
22471926,1588793132157124391,64065192961989319238,1639389972
22503955,1520625343280309974,66945799640089400385,1639463802
22520696,1456395627874741775,69907116002583543101,1639501605
22558046,1503402516635902244,67727683025517150896,1639583813
22569885,1547980073819333967,65782995637006522365,1639611154
22624284,1572925266499267359,64742816252774533813,1639728670
22640622,1598044219815825085,63728157581203420752,1639765651
22644155,1615887178583145713,63026546006534029651,1639773889
22649389,1643771412858649283,61960543888630185530,1639785592
22732732,1667350505438470205,61086910975750197466,1639967996
22738552,1697970113668220835,59988571972422275804,1639980945
22760038,1719920133941989780,59225251421268620243,1640027256
22771964,1741885921022673527,58480612792068832414,1640053433
22775401,1710621669855464449,59552652367766409532,1640060910
22820797,1670120972168541931,61001159125575566923,1640160106
22822587,1618528876371842083,62951478106078857710,1640164057
22823961,1568456292115307009,64967235951331537358,1640167025
22854494,1680180143067202758,60659329722162667743,1640233819
22861246,1652371180583685220,61683281780279944573,1640248151
22868726,1684309652543842837,60517064336298637129,1640264868
22874218,1741693889001768651,58528971233081967852,1640277278
22928676,1781742700927911020,57217254726143694430,1640399021
22934457,1817038888258254400,56109072812526344446,1640411664
22981564,1872553235997958725,54450487000410852890,1640514694
22994035,1909683730034321597,53394906061316642554,1640542533
23010667,1872807295232242930,54449439858213264015,1640579934
23035715,1842992097404969848,55332951914756583422,1640635432
23054481,1896335687502008377,53780984236849153785,1640676581
23065914,1961491794406516058,51999689369151609885,1640700712
23085283,2032492842960064943,50188444529663487657,1640742935
23106097,1977469778544083323,51589139266381723367,1640787982
23155311,1883454098925487766,54172043908895093380,1640896970
23159667,1763519721900615647,57867290510465033455,1640906306
23160035,1812537021865673641,56306926080640547791,1640907066
23160189,1915369258511631344,53292506506476632605,1640907382
23164729,1880128960340135899,54294403155080321559,1640916904
23232295,1769247791475860385,57707346180611838952,1641063621
23457720,1671497970663377716,61092247877756143725,1641597512
23618671,1600248437961861094,63820506618568249905,1641959966
23678178,1524283278812674222,67010676831144373390,1642092895
23695866,1448037715447626719,70549701176974707076,1642133011
23714538,1391312704254686525,73434728029805829055,1642177047
23723626,1323385025765971442,77215381640986706488,1642196564
23726780,1260191165900381610,81099094526244407760,1642203196
23731798,1189598988709322573,85926089395925338807,1642213804
23734929,1249008362035562778,81850674701968018851,1642221030
23750122,1280952852323511932,79815448278986797638,1642256844
23752852,1211352403905339319,84415188778187972776,1642262732
23757534,1161452652787145930,88052850473623006612,1642273028
23758351,1097612221609646842,93189679828909816766,1642274714
23765473,1056654454892691939,96812743288841832517,1642290043
23773976,1002071676254775507,102101994835762093301,1642307965
23776115,953877356854594153,107276184938273651121,1642312375
23780531,973921110932048599,105074878117674570692,1642321743
23787108,939914168329852036,108888021436647191849,1642336535
23790990,901910941370748086,113489970082466299830,1642345315
23800097,924065124503202292,110777049759767477786,1642365422
23804449,963991038269602418,106202158390167197138,1642374782
23810027,939939962977686292,108927823958711060597,1642386673
23823741,898735301159354980,113936906902289217468,1642417273
23834469,938819608535588605,109086173038943121163,1642440896
23838889,917701746497621064,111603982944992631932,1642450396
23842296,871713818887287712,117509452625227976858,1642457678
23842992,893042810147352248,114711134290114793624,1642459114
23864999,974414427815777132,105158155980010095895,1642507161
23886785,911844310642758348,112395747677161997737,1642553091
23917802,867642901164528160,118138893225171758797,1642620274
23935289,826941567006077925,123971081858949087577,1642658740
23937749,788559042299467154,130023439107362055328,1642663960
23949405,725668441428294649,141325925639659778711,1642688943
23956719,760327122472810966,134902185856859657271,1642704441
23957706,701094860634160795,146333742214675287498,1642706479
23958873,734325447687135823,139730639760363130524,1642708887
23966992,694584892030238924,147749360549164819091,1642725843
23980840,740269805558232003,138656847073995835548,1642755583
23989372,680199612314469511,150938839103556581125,1642774641
