block_number,reseve0,reserve1,timestamps
17676447,9000000000000000,1920800000000000,1628242880
17676449,10000000000000000,1729238771631490,1628242884
17676449,9041004350894183,1913214175356607,1628242884
17676449,10041004350894183,1723188900794875,1628242884
17678346,8925836649457421,1939126852831766,1628247066
17856291,8956354227582421,1932539292260816,1628657991
17884660,44235068149288,392480278944686029,1628728909
17884662,9413131552524288,1849903664580000,1628728913
17891605,135887281125066,128533623529389332,1628744787
17891607,9077537671750066,1929802124295658,1628744791
17896610,77971995127788,225352450666058180,1628757092
17896624,9080657542002788,1940784234443565,1628757120
17909085,38010585684592,465067443785744092,1628786642
17909087,8918625820059592,1988024941577964,1628786646
17935859,260647531948581,68227398426952456,1628850432
17935893,7066067453823581,2524011269001713,1628850565
17947050,7096585031948581,2513189638406011,1628879557
17950757,443993604664103,40285270414900112,1628888072
17950759,7493554151539103,2393660582048508,1628888076
17961990,308916378980298,58235282222490291,1628916871
17961993,7480547238355298,2411818541483081,1628916877
17963589,332263779166820,54458723284909443,1628920432
17963591,7503894638541820,2418302976002404,1628920436
17967541,1000820640815967,18180061312415757,1628929720
17967543,7195889000190967,2535071822535199,1628929732
17971223,7226406578315967,2524398033838407,1628939070
17973623,7256924156440967,2513813884682978,1628944032
17983563,7287441734565967,2503318250031942,1628966949
18017690,7317959312690967,2492910023601141,1629052484
18077197,7348476890815967,2482588117470068,1629190295
18082986,7378994468940967,2472351461702352,1629204074
18093720,7409512047065967,2462199003975618,1629228523
18097606,6394513173153187,2854199003975618,1629237721
18109731,6425030751278187,2840682622157633,1629266261
18327678,1522005197845483,12019264306704239,1629770928
18327679,6196124397678565,2959087803870765,1629770930
18458505,6226641975803565,2944628227614852,1630087294
18499830,20361949348608,903161870409267796,1630186817
18499830,6010641656310809,3068771307463716,1630186817
18628522,8540758874078945,2161598544064560,1630509794
18669194,221996014891251,83406000584928504,1630600903
18669195,7757626635368819,2393762441707179,1630600905
19279595,5096175224963514,3647654292424656,1632068496
19489316,5096175224963492,3647654292424672,1632554907
19804976,966890572142875,19272509782965902,1633285655
19804979,3886324224433649,4805697279795755,1633285661
20359830,103886324224433649,180298875296512,1634596912
20359832,2516154702973582,7614676493393007,1634596916
20359852,102516154702973582,187443013544667,1634596956
20359854,2548422403080171,7712961901483318,1634596960
20359875,102548422403080171,192236559175038,1634597006
20359877,2326715456074759,8497613477621252,1634597010
20504267,102326715456074759,193787759703416,1634948153
20504267,1823979331146567,10904437731727707,1634948153
20718955,943139126324223,21119228745490169,1635460812
21138731,2987816860699223,6680244714153481,1636395472
21138737,983848108734259,20606489614858582,1636395484
