block_number,reseve0,reserve1,timestamps
15148790,428520805768327631,40000000000000000000000000,1622445451
15148804,125754159412190189,136594078737051429383366173,1622445483
15148804,73813170245544738,233002078563495577508252584,1622445483
15150166,76751020509872081,224109036918156822237678998,1622448291
15150172,79742395569770428,215726316233731054863022636,1622448303
15150180,82779635136143138,207834051708969962902714152,1622448319
15150433,88547521980528774,194333949422205508074988397,1622448841
15162509,84646387330552289,203317252077953952644308600,1622473827
15163616,82585229655098257,208406901960157873611591906,1622476109
15178183,79424916048171603,216724354970276777941079430,1622506316
15178900,76368222755684125,225425005815690234719643385,1622507794
15185888,78785461118303280,218528793548985625889687321,1622522206
15189876,81258201991962504,211898162315079179579095071,1622530430
15191444,82044211750184105,209874142211586939834682602,1622533666
15193299,84690913083123937,203334365324423270517783384,1622537492
15203135,82479732311753061,208801913677191371898754515,1622557776
15209723,85494381559804729,201460582918102487915807342,1622571364
15214018,88675650194256889,194254023852380486341376269,1622580226
15215684,92187854316053417,186874627045817447072807818,1622583662
15217749,86871835615873611,198344607617782216972718086,1622587932
15219928,65238079379799761,264316053806697366854458379,1622592426
15219930,83208728772906074,207365879188242794727597071,1622592430
15220800,86286845767627909,199989903693614800406090362,1622594226
15225497,87059904815538333,198219349279577842960699418,1622603930
15225782,87575153517125035,197056603240555769825559786,1622604516
15231060,88819834477146886,194303309827558175084446187,1622615404
15246175,91945582186955277,187716991666018268477502883,1622646837
15258332,90321611412818350,191102274502477456556381370,1622672170
15261128,93515208644632342,184594935877716542567497963,1622678130
15271090,87707586149651256,196854805290682445495035436,1622698701
15271435,90661158909207933,190460254605359462720325479,1622699415
15283047,93752147571827691,184199038927157082437598143,1622723363
15283306,95872324892589103,180137503390934966355254421,1622723897
15284200,98854274770184410,174719447434048852891813057,1622725741
15284672,103508823408060629,166885237624693739748781279,1622726717
15289348,106761470846566361,161815619822422604404871283,1622736361
15289856,110042281605342569,157005276880378191422625253,1622737409
15290533,113619332300894384,152076680086617496946818381,1622738803
15290719,117242959177435782,147390113927100809675470261,1622739187
15291000,119645929911018472,144438631289642888097487137,1622739765
15300925,124534344493493862,138785246314865074355054756,1622761395
15301117,125668152872978829,137536815026158512677610032,1622761791
15302748,124092322181905362,139288630860799088524017922,1622765157
15303214,122527814961816468,141072501650433391687391569,1622766117
15304252,117607317827440321,146992503565382569699171667,1622768257
15304907,116053734620939062,148966177592281708357433914,1622769611
15305796,111250948302382519,155416509452161567137443741,1622771452
15306684,112832164534582672,153244964057864581347998483,1622773408
15307573,116331556259084101,148648587654696130759021113,1622775370
15307574,119830947983585530,144320285604299670575950050,1622775372
15309381,122978510575659981,140637291428383974191093153,1622779102
15312231,119447514740478080,144807189338888523808862099,1622785234
15313311,121051715747890596,142893857122336196488790457,1622787590
