block_number,reseve0,reserve1,timestamps
15832604,1000000000000000000000,2000000000000000000000,1623956214
19374184,1000089054694885390565,1999822440703450042600,1632288301
23103723,1000288815310435474461,1999424268158699028888,1640782571
24111083,1005350503508018150461,1989417406201162690888,1643040019
24111165,1010514915012415760461,1979310475624050988888,1643040187
24111210,1015784944520147039461,1969102475741168168888,1643040281
24116474,1021163595614789404461,1958792395859456521888,1643051408
24116512,1026653985939388468461,1948379215178927758888,1643051488
24122807,1037925895162491493461,1927344590204259658888,1643065009
24122827,1049680326069616501461,1905889272730098195888,1643065053
24123225,1068187031536983298461,1873062636994631155888,1643065875
24123248,1087941613049792398461,1839251202187100105888,1643065921
24123364,1109065092521594128461,1804425424335343123888,1643066161
24123373,1131694570088860098461,1768554873148033428888,1643066179
