block_number,reseve0,reserve1,timestamps
22188438,50000000000000000000,496001000000000000000000000,1638764138
22188441,50200000000000000000,494030805149065526679601749,1638764144
22188441,50400000000000000000,492076223496372763154244055,1638764144
22188441,50600000000000000000,490137070088127275481011640,1638764144
22188442,50800000000000000000,488213162881042692223514235,1638764146
22188442,50799980041250055011,488213355271763400681839984,1638764146
22188443,50999980041250055011,486304513576777112668721315,1638764148
22188739,50489982760706178250,481441492468930222641370837,1638764760
22190898,51489982760706178250,472118802688828220967593957,1638769466
22202965,56489982760706178250,430445266613996141873271467,1638798343
22227589,57489982760706178250,422980029960325533301367933,1638854036
22227661,58489982760706178250,415769688958536560682618379,1638854184
22227676,59489982760706178250,408801401769402611436276565,1638854214
22227696,60489982760706178250,402063175146717356925204034,1638854254
22227713,61489982760706178250,395543795472789877307805928,1638854292
22227749,62489982760706178250,389232766412600465207946383,1638854364
22227787,63489982760706178250,383120252457164128144821289,1638854444
22227811,64489982760706178250,377197027717107926090949647,1638854492
22227853,65489982760706178250,371454429405499573342854092,1638854608
22227876,66489982760706178250,365884315516436853882122972,1638854700
22227902,67489982760706178250,360479026264384500821558935,1638854804
22228098,71489982760706178250,340366674163526716573893781,1638855214
22228181,73489982760706178250,331130768286021852859582455,1638855384
22228228,74489982760706178250,326698619691122398237579753,1638855492
22229001,77489982760706178250,314087066033962241067714674,1638857220
22229412,77985607760706178250,312096886595711747712946778,1638858066
22231261,74965410980210898714,324708440252871904882811857,1638862271
22231380,79965410980210898714,304462495862902283713451647,1638862517
22231544,75050188948074404191,324462495862902283713451647,1638862853
22234900,80050188948074404191,304253315836777255159081135,1638870162
22245258,81537063948074404191,298721424658831650866812440,1638892204
22257926,82537063948074404191,295112911444551673637648619,1638920139
22262332,81022847094106866317,300644802622497277929917314,1638930071
22264400,91022847094106866317,267703436593513822430691486,1638934843
22266095,95022847094106866317,256466811115609288939370864,1638938911
22274899,94300596997933833066,258437005966543762259769115,1638960928
22278951,94373850906446335003,258237005966543762259769115,1638970003
22288948,95173850906446335003,256072808258121895998852633,1638991297
22290963,95273850906446335003,255804838199900760375523843,1638995583
22303873,105264060906446335003,231593316878416960312121949,1639023499
22303915,105764060906446335003,230501727685848022572882325,1639023667
22305806,104727634929809658530,232789727685848022572882325,1639027865
22306276,104503848558202373460,233289727685848022572882325,1639028961
22307661,104503848559202373460,233289727683644620850434539,1639032075
22307661,104503848558228145240,233289727685848022572882325,1639032075
22307661,104503848559228145240,233289727683644620850435082,1639032075
22307661,104503848558253917020,233289727685848022572882325,1639032075
22307661,104503848559253917020,233289727683644620850435626,1639032075
22307661,104503848558279688800,233289727685848022572882325,1639032075
22313342,100207205224308138610,243322727685848022572882325,1639044564
22313661,100451103786235775712,242733700249260218921534718,1639045225
22313661,105451103786235775712,231257294613143323519720460,1639045225
22313661,105183997006103642841,231846322049731127171068067,1639045225
22313698,115183997006103642841,211773134049897306659702615,1639045303
22314599,115463501648131228305,211262025110438566320949736,1639047289
22314599,120463501648131228305,202518527426655831991712145,1639047289
22314599,120161153048433831569,203029636366114572330465024,1639047289
22315939,120661153048433831569,202190828436774004507529929,1639050058
22320896,119661153048433831569,203885607577277812916909871,1639060683
22321343,124661153048433831569,195731567288703495798216709,1639061601
22321421,129661153048433831569,203582111042805349525494920,1639061765
22321447,120236312611463083711,219588111042805349525494920,1639061817
22336172,125236312611463083711,210846414356196924159972690,1639094162
22339362,125979750111463083711,209605868598280655931802688,1639100888
22339396,125837695437167686744,209843198823984168431802688,1639100970
22352610,126846986183128479000,208178496593844913532297055,1639129668
22352645,127856541397027720064,206539611755082017437078834,1639129742
22353489,129856541397027720064,203367965480767287753905022,1639131630
22355031,134856541397027720064,195849590227724002345650590,1639134810
22358587,135156541397027720064,195416174264974551898578047,1639142535
22359817,135489139255973061291,194937903506656462846339687,1639145225
22359818,145489139255973061291,181576550566562279286566278,1639145227
22359818,145108072731009957723,182054821324880368338804638,1639145227
22388469,144907934424024213671,182307021324880368338804638,1639207488
22413862,144868668173310348729,182356583824880368338804638,1639264201
22422309,146851168173310348729,179902044548778223793142049,1639282519
22427798,156851168173310348729,168464663963976671533823491,1639294483
22433146,157851168173310348729,167400608093605893156730621,1639305935
22443655,157194520159019915051,168101994114576479227131954,1639328394
22454189,158194520159019915051,167042533481264672058958033,1639351069
22462072,144394946594292205122,183054533481264672058958033,1639368619
22468263,127090147494014656424,208054533481264672058958033,1639382161
22468286,113493580109081458161,233054533481264672058958033,1639382207
22471784,113787642392814673764,232454051047445897715325102,1639389680
22471784,123787642392814673764,213727394300164545672854403,1639389680
22471784,123441864083911966073,214327876733983320016487334,1639389680
22474904,122870301985011032847,215327876733983320016487334,1639396634
