block_number,reseve0,reserve1,timestamps
22028666,92503919763185357,480000000000000000000000000000,1638400988
22090142,92529632278016729,479867015667815318273459096311,1638540272
22130875,93289177531888808,475971642615462594103483427824,1638634072
22269760,93293097307446152,475951704322139436677488555345,1638948528
22319551,93292706457586835,475953704322139436677490555345,1639057772
22391524,93292315611007349,475955704322139436677492555345,1639214063
22483026,93342463389306684,475700766170017553954481722729,1639419046
22611931,93417365430893530,475320492641848750038282953106,1639702461
22631024,93416973540688661,475322492641848750038282953106,1639743600
22807192,93436690214287808,475222492641848750038282953106,1640130251
22807385,93441161410339312,475199821275547024805252064917,1640130649
22807480,93441162410339312,475199816255955364023827212026,1640130843
22807480,93441161436111092,475199821275547024805252064917,1640130843
22811701,93440769346540063,475201821275547024805254064917,1640140070
22814894,93456550046302559,475121821275547024805254064917,1640147179
22815117,93654258228313937,474121821275547024805254064917,1640147641
22854675,93660764093842736,474088986611366622085405732873,1640234193
23069870,93675291971143477,474015681824611910147786837866,1640709035
23094107,93742463561452346,473677041969706815820334620996,1640761672
23192609,93748303510922032,473647623285291125655224617374,1640976428
23286349,93747908843407526,473649623285291125655224617374,1641182312
23310991,93747517632518220,473651605785291125655226599874,1641237783
23388993,94374168327207459,470515900690313118446816072245,1641436834
23521677,94368098023675403,470546258074850524343334644421,1641740305
23614769,104368098023675403,425583331954213896179595761463,1641951529
23614856,114368098023675403,388473515603193935295305183997,1641951711
23614960,124368098023675403,357323924189737020384999409489,1641951923
23615049,134368098023675403,330804868340488441930152023080,1641952237
23615141,144368098023675403,307954875285891817191970703988,1641952425
23615193,184368098023675403,241298879603248416935741469705,1641952533
23615402,250968098023675403,177406059052546560440020976554,1641953091
23930946,251003626422926296,177381023370020186658138749876,1642649452
23930993,251213291622791747,177233423103989455499026074962,1642649546
23934131,251219856175355788,177228805762604515339827159646,1642656293
24004416,251217029734387940,177230805762604515339829159646,1642808943
24125185,251222800487363133,177226746867463063452197930831,1643070047
24210281,251219973980433615,177228746867463063452199930831,1643253867
24259547,251238571691342146,177215667022439393055959194367,1643360765
24399568,251235769565002153,177217649522439393055961176867,1643671823
24417021,251235779565002153,177217642489762880940926504860,1643710298
24417024,251235769624912151,177217649522439393055961176867,1643710308
24431456,251295273736473474,177175812083304029811754963094,1643741244
24619364,246935278752166749,180313517178282037020167490723,1644156483
24784485,246932548044516508,180315517178282037020169490723,1644516492
24838780,246929817397350943,180317517178282037020171490723,1644638592
24950508,246927086810668044,180319517178282037020173490723,1644884431
25357185,246924364475954097,180321511178282037020175484723,1645885592
25425115,246921634010049066,180323511178282037020177484723,1646061786
26330370,246929211919358548,180317993905119932312705244930,1648178943
