block_number,reseve0,reserve1,timestamps
15511272,3446423577511735710118142,100000000000000,1623235134
15511274,985380988527594464031267,350506957361839,1623235142
15518693,1150554055322042013255086,300317663217164,1623256827
15532733,1256763592188634654177668,275007433923219,1623297552
15544290,1068938798426193277661377,323474792912797,1623323394
15544735,1155252855462412203534325,299373661175441,1623324312
15569222,1145252855462412203534325,301995566750242,1623377387
15622350,1094784979084023252343586,315958980597565,1623493772
15643848,1130181482480315553200795,306092123344970,1623539275
15672737,1185115323293051036414884,291944383652953,1623602995
15677983,1285115323293051036414884,269289878742787,1623614199
15680121,1250348558036901323373602,276800192141666,1623618735
15705142,1249295296693554119165200,277034260262787,1623673630
15807033,1328421008891187031954939,260579629273150,1623901584
15814703,1390502906651869418480261,248978857648776,1623917708
15837405,1071979270297789051740256,323182049976714,1623966375
15849822,968113206712480674222133,357959649413438,1623994204
15850002,992606890116256059457168,349152442529277,1623994576
15852293,932371000266045397028846,371777333737225,1623999686
15912277,791458725381377685648112,438168195373543,1624134816
15928578,727662543105117776141781,476699202689631,1624170461
15936155,762817682743105691023372,454792969414149,1624186662
15936155,750527662101783669456111,462262692338120,1624186662
15936155,713592428917572406311598,486261203403113,1624186662
15936177,748592428917572406311598,463591370835197,1624186706
15936177,714520008225058011762914,485764591547953,1624186706
15936222,754520008225058011762914,460085519835705,1624186800
15936222,723067915739532001291452,480158592627210,1624186800
15936294,823067915739532001291452,421974734495232,1624186948
15936295,722932048431721771763479,480599818233368,1624186950
15978603,698552487678734998188832,497423276570141,1624279743
15989162,643493758735178594314584,540111962654800,1624303306
16040630,659836882103440174941489,526773379574546,1624417417
16064352,716754328519138947901603,485057871695210,1624471001
16064362,688160903883610277786668,505272910383935,1624471021
16071793,727659983770262048052055,477923347541070,1624487395
16077147,777659983770262048052055,447281324451677,1624500243
16077147,728565793490120966829824,477511935902888,1624500243
16077201,778065793490120966829824,447218316642950,1624500355
16077202,726615806195957012638046,478980098247262,1624500357
16089757,785096382929965842778854,443400719705321,1624527845
16089760,744963602181968710855282,467359540193739,1624527851
16100341,805162935291062513721644,432513647129449,1624552091
16139413,750725068373774703845730,463971192990149,1624638614
16139414,780249947965365230296211,446465074393244,1624638616
16140958,725741765112594482639301,480098563284987,1624642180
16141031,742321841703629070028828,469406809247754,1624642462
16142799,753072815104585172126946,462725309428550,1624646367
16150770,782669450230291290872885,445277872375254,1624665290
16178031,751845295525631073014464,463588306647016,1624729648
16178291,783865633652185813985344,444705560896178,1624730184
16199945,863865633652185813985344,403634853688148,1624778817
16199945,789356483897472799767974,441849507433529,1624778817
16229238,821155791027258721590511,424788208672719,1624841624
16240917,859169892908438421542404,406047286991802,1624867141
16267874,881075336776808405328663,395981605631294,1624927082
16269115,791327185628623935670683,441026884376200,1624929896
16269121,855308396452840461566820,408127527015659,1624929912
16269129,819469901440481078618319,426030183819513,1624929928
16269134,870405933065531413523039,401169387075764,1624929938
16269432,887787038625591456879015,393338390233609,1624930656
16270006,868776874861396419389613,401971132668500,1624931968
16270996,895513240636732773009117,390004849188844,1624934233
16271226,878134224008697296292269,397746599208529,1624934791
16276223,844706963244081828698355,413533832685227,1624946247
16276269,818008733795133175810132,427071393129833,1624946343
16282595,862145124850709407352898,405270274069763,1624960062
16282601,826851336083515570921736,422621111529860,1624960074
16288972,846444769667645961781821,412866983995038,1624974301
16289684,808256258098783347581630,432432830953827,1624975897
16289700,838764827444588202267815,416749336245828,1624975929
16297964,855764239996153208254795,408495122017209,1624994218
16308266,854283823310145853318529,409205146796193,1625016507
16308317,852808627716564337547020,409915123257384,1625016613
16337517,869350053626360836456969,402138480487507,1625082923
16338820,907661628431334450998220,385213358167923,1625085762
16351427,878621130775051633616596,397983878451293,1625113073
16364761,857568042017052282086989,407783686176509,1625143199
16384579,806807389911163644963255,433516780642948,1625186612
16384589,868870276439987718675712,402637215523218,1625186632
16418718,873082552572747718675712,400700450728994,1625260847
16422392,884638808900577873097631,395481500106339,1625268552
16438787,896571264567906128620809,390233622645836,1625303942
16457242,908666947670272548545880,385054420564443,1625345425
16471414,944398656137396633327209,370527786671147,1625376913
16471556,1024398656137396633327209,341671616694173,1625377294
16471558,931805843253944271404533,375725417594727,1625377298
16471606,1031805843253944271404533,339409749216131,1625377394
16471607,929334310587384868769299,376946823096605,1625377396
16471608,1029334310587384868769299,340425593555406,1625377398
16471609,924977326514480369424932,378948360851609,1625377400
16474748,957584629165432351832717,366081954394289,1625384654
16512926,926859983065724592006424,378253785574943,1625466634
16517174,902730055195084592006424,388394913160128,1625475788
16521343,853638320088727900551440,410798257531179,1625484642
16550939,874242409790211032040224,401144952711932,1625550010
16551352,854359811419756295411394,410508458914304,1625550932
16552116,828664266892783371567692,423275967714173,1625552636
16559446,818706020087850946149876,428439933483264,1625569036
16577815,801414907974824063350721,437711653204019,1625609324
16579715,784366933339271522202281,447253808151941,1625613372
16581476,801143688855129205170373,437915374236195,1625617136
16601909,840141280242768120847359,417646422318559,1625661653
16621891,801207489497386504051400,438002556137225,1625705590
16623469,818894047425214217760324,428570300761097,1625709098
16634488,795164911857045796405416,441398084313016,1625732977
16654332,819064133049987954955687,428556179082449,1625787327
16675074,799662957586563540786125,438984962964062,1625845386
16745822,808946279940598717282383,433962190515741,1626013115
16758537,838976616395425946257637,418473880589542,1626045082
16774684,817355776435328400921216,429576734458784,1626082701
16852745,847781276344178793091259,414204515089881,1626271273
16887593,822400095807875942043386,427026295547628,1626353558
16908062,838755915286346086324420,418723737954873,1626404082
16980318,863853556294629781990833,406593945429451,1626571889
16998563,850094871613712598588752,413207688934148,1626615211
17023810,851118399066685992906218,412712267678002,1626675375
17057136,837651354675629312076583,419367469289475,1626753583
17076401,856270353705590912008084,410275380886029,1626797170
17096728,871584441878305761866744,403087925161831,1626842307
17108771,888128855798404031240191,395601152866349,1626869983
17128721,909042522909546187029081,386526528137013,1626916869
17146611,919706622909546187029081,382058000312846,1626961626
17146697,887602872930709233094845,395918254825105,1626961806
17146697,907602872930709233094845,387219371018417,1626961806
17146858,927602872930709233094845,378895061184942,1626962392
17147134,947602872930709233094845,370921630392666,1626963216
17147148,936511814589140114946868,375336509426010,1626963248
17147154,915091654890857582885100,384166410533072,1626963260
17147242,945091654890857582885100,372007260038917,1626963440
17147242,915972198851741759875817,383869241006160,1626963440
17147268,946025073308193119943696,371710090512005,1626963496
17147268,913581798867529305702726,384950043227015,1626963496
17147310,971295150387275646030796,409268344215324,1626963580
17147363,991295150387275646030796,401035372674248,1626963690
17147367,969934606681124379667413,409911621082088,1626963698
17147384,989934606681124379667413,401654375498447,1626963732
17147417,1030577103313175068974623,418144592623164,1626963802
17147432,1018454667924487882580573,423146683518080,1626963832
17147493,1038454667924487882580573,415021117074047,1626964034
17147538,1068454667924487882580573,403402161501696,1626964180
17147549,1021049380062836850918950,422187676462819,1626964202
17147627,1068800968013894416829019,441932198479203,1626964362
17147962,1088800968013894416829019,433838328314888,1626965308
17147962,1058731118637141709828995,446197186081399,1626965308
17149848,1077936152824889353049375,454291056245714,1626970110
17194924,1082654774603050393651595,452316996939588,1627079067
17196974,1096797942068432844492107,446501659449169,1627083439
17202951,1097975431536981959051671,446024257660353,1627095905
17203436,1099152940171880005607899,445547869446993,1627096903
17205089,1101503556618424484384959,444599913453783,1627100569
17209711,1103854300115196044797813,443655937793974,1627110869
17221709,1131882955672799181724677,432701894138380,1627138889
17223328,1181882955672799181724677,414448879090224,1627142742
17223331,1135331990097454574661873,431493275635023,1627142748
17223348,1183358768427672498926520,449746290683179,1627142782
17274919,1238649251137399485930295,429728186405934,1627266105
17302936,1195559517676236412167753,445262829818280,1627336831
17345390,1230678741044015193130086,432593635819724,1627440985
17355317,1224534000927107350050888,434775309119108,1627463196
17400554,1254939497752332824155736,424272126543116,1627584812
17445082,1290816005850630375983258,412514444904877,1627699797
17480198,1317485441872992780325590,404188592639171,1627783783
17510189,1353367866899354042219862,393503465816124,1627850959
17519185,1315620087881185131016043,404827842618028,1627871277
17527212,1348812930638674374496767,394894616449444,1627890210
17616449,1389773402096034387080027,383289868193146,1628089991
17628032,1414631340069915802260308,376574540389515,1628118915
17653610,1454221617098782653530279,366352454418731,1628183568
17708750,1499364218604954327340126,355354474221695,1628318277
17724022,1539364218604954327340126,346147659435147,1628353352
17724034,1580308136217639721328061,355354474221695,1628353416
17732937,1542437277469229262836754,364105606936128,1628374440
17739044,1513776040056923383952781,371020182357042,1628387715
17797124,1595271278913009981613540,352120393729631,1628522231
17797146,1541777247435768453676052,364374445677030,1628522275
17797382,1589857416522245866550896,353387163400204,1628522763
17847221,1619412780868769697135062,346956608321359,1628637567
17850344,1655913889159774071298502,339331125541850,1628644441
17935887,1701273157365184015464234,330310314530395,1628850553
17960288,1755029119616194851307300,320222443620246,1628913230
17978702,1704107284430982941150686,329820067424790,1628954650
18106186,1653951106356327801318974,339851978793456,1629257973
18176434,1709924803136803672231115,328759347147666,1629419092
18245277,1754276335950135467221632,320471975081578,1629580973
18379272,1698874260107650729580775,330954350263291,1629890604
18396533,1749954309322179568104557,321322141606758,1629934550
18447358,1774942549482487748463057,316811840620086,1630059197
18512469,1838036169144603913326515,305968260838640,1630219829
18583836,1893541107109766253613966,297025603026477,1630399144
18592854,1828998344556110389541354,307538755562388,1630421627
18610298,1893393985704695859024928,297109464126868,1630465404
18640572,1949276506723256606986911,288616651568727,1630537342
