block_number,reseve0,reserve1,timestamps
22127437,12203116406950321014,123716019417475728155,1638626182
22128134,315,3185,1638627750
22128483,12236639283047050037,123726019417475728155,1638628596
22128602,12237641270850813990,123715919425638919583,1638628842
22129102,12238643422515750762,123705819433802777449,1638630007
22197250,12253695191732871054,123554321270799982127,1638784282
22197423,12263750305586767636,123453322088247575316,1638784637
22197767,12273821910124592473,123352322906363930337,1638785381
22198090,12283910045926961960,123251323725150142315,1638786399
22198255,12294014753707716865,123150324544607309085,1638786739
