block_number,reseve0,reserve1,timestamps
16724832,64000000000000000000,84089510021441297951,1625963569
16725817,64052200069210260862,84021185740571709386,1625966253
16726231,62517769361545434846,86089599676184641902,1625967217
16729407,62104465657254125764,86664247806793453060,1625974977
16730743,60962299196031440173,88292841988421404195,1625978254
16734102,61467724072284889423,87569004873134919460,1625985832
16734203,62227282405596054435,86503288165811117692,1625986038
16734286,62935888199477266252,85532222100835095440,1625986212
16734324,63568323644281971147,84683797370837455492,1625986288
16741193,62783287531908017021,85745861517626409435,1626002539
16748414,63225231253517319724,85148284377083565298,1626019034
16749583,147802767892584435456,199052686130550510925,1626021706
16752159,150306475282804138943,195746777969179695162,1626028427
16753550,142441129691459366190,206588090495101163993,1626032215
16754029,142461876233525257190,206558095576291395054,1626033457
16754787,152822602456502603902,192593501219919443406,1626035405
16754790,150857870282806861113,195109334482871504766,1626035411
16754899,150825278189298241082,195151622859321851155,1626035637
16755630,152174498340055600728,193426500844263378474,1626037749
16755758,153748588515939186982,191452065376472159633,1626038047
16757072,154548126383054659365,190464565050965888845,1626041548
16757191,155347664250170131748,189487214498417867636,1626041794
16758942,148484844674622907572,198271474983013213188,1626045917
16759089,151675292586737790814,194113138585160750702,1626046547
16759836,152317995104684559923,193296529186174822717,1626048203
16759839,154430484657163626765,190660206466231371094,1626048215
16760796,163995827555821903772,179571038507458196430,1626050640
16761120,164016493936651449993,179548480095635418319,1626051308
16761229,164032486692838427229,179531027080468730995,1626051790
16761418,166283838411552514992,177107512586690101943,1626052202
16761931,142049883857161749762,207413276202811594797,1626053366
16761933,146842739671908253834,200663084253053310039,1626053370
16762013,159448565043168084494,184842725427523631808,1626053534
16762145,156460575458391108041,188383362082616259720,1626053874
16762157,154216099166978320881,191133362082616259720,1626053922
16762262,152623849894669568006,193133362082616259720,1626054176
16762974,153777378040320616854,191688927171974430223,1626055900
16763074,155841833783557435161,189157117980949968887,1626056108
16763177,170408079587461471591,173032602192298921666,1626056318
16763199,180911975286995612553,163014583547471755832,1626056362
16763220,180807556008150029746,163109010378328852463,1626056408
16763773,180674763733078963696,163229252909696765962,1626057670
16764042,167915945914681105522,175669280126536188782,1626058232
16764084,167372121738771216282,176241780866160644168,1626058316
16764161,155496898428432244856,189741780866160644168,1626058482
16764162,155818576540306011560,189351243045108091906,1626058486
16764334,156247610069096002295,188832867211682658149,1626058960
16764768,156447535142652929749,188592279772214701810,1626059984
16765046,155788669134712801339,189392279772214701810,1626060556
16765262,154326338947817900858,191192279772214701810,1626061004
16767387,163990422611086476238,179956984441590460765,1626065829
16767917,159570159363752004040,184956984441590460765,1626067085
16767917,161808016525255546266,182406537796645896752,1626067085
16773819,157766927775602114405,187092811626350766158,1626080659
16774965,150992252636043112535,195512494877260640106,1626083413
16775644,150588861812350463749,196037801073118125723,1626084946
16775958,153280404454304334596,192605601867194904608,1626085594
