block_number,reseve0,reserve1,timestamps
17397778,1000000000000000000,35000000000000000000000000000,1627578448
17397778,1196181240000000000,29274183514921061892989435485,1627578448
18192321,1212325038828125000,28885510882746642282110610631,1629458730
19110843,1245312894501595512,28122579769255703343800300245,1631651925
19114168,1267006139138326396,27642494458082567592742451736,1631659881
19201368,1547633036778894993,22642494458082567592742451736,1631875577
19201370,1471912087484159134,23810818436087322852225873193,1631875581
19216127,1518605638288560342,23080820827788321448599791979,1631910203
19676925,1509556556087533268,23219595827788321448599791979,1632998410
21325830,1447640080892825685,24215700835335607420601487528,1636815776
21326943,1401761627981239768,25010644735796049568296903505,1636818582
21510480,1601761627981239768,21895954455211730821313847855,1637226947
21510481,1548756702405236938,22647580383019752334216479253,1637226949
22778861,1648756702405236938,21277836330359764166703336636,1640068478
22779347,1623652223129897445,21607818528848848409541094725,1640069611
23930951,1886209250023994828,18607818528848848409541094725,1642649462
23931240,1815729947456562193,19332272245649987433578059998,1642650057
23936101,1572448039092932534,22332272245649987433578059998,1642660492
23936101,1623006559481544982,21638618492079991166278852197,1642660492
24325276,1578747504514854308,22247067000908653341429695379,1643507502
24325296,1532709728678794842,22917309595714951023056597230,1643507542
24762200,1514147265173172077,23199106339094258530866877645,1644467611
