block_number,reseve0,reserve1,timestamps
17548046,200000000000000000,1000000000000000,1627939388
17548050,725704023242301,276420710549392945,1627939396
17552722,3151158340419899179,1200276420710549392945,1627949967
17553677,3072246079201761159,1231198921248944004227,1627952165
17554674,3026291194826745738,1249951199194482696470,1627954347
17555274,2978553460230049112,1270044639706927021627,1627955609
17555588,2905279241194496526,1302172895212503201059,1627956363
17555828,2825763679791681553,1338925640414316818240,1627956961
17556364,2791906897427960070,1355211326160389792561,1627958091
17556601,2634761559680057319,1436283542605485838626,1627958577
17556696,2559969382621181524,1478372331553481748203,1627958775
17557349,2445139317954125515,1548009430105278450168,1627960249
17557498,2354976524651305529,1607454962283759035758,1627960555
17557582,2253330730390496357,1680184048264275810095,1627960731
17559346,2187300508737316451,1731058061664217201478,1627964495
17561491,2169163516964129754,1745575481651427538253,1627969050
17562700,2144850290894728240,1765422217022987275152,1627971688
17564314,2094985267071601128,1807569393635502810028,1627975144
17567629,2057777444274902732,1840351411033323349099,1627982245
17568318,2036809536236907452,1859353891016294199840,1627983663
17570794,2017483572378024637,1877218686738944930271,1627989283
17571148,1993660974304399920,1899717391995517870621,1627990015
17571958,1893303928317910151,2000717391995517870621,1627991940
17571959,1963021782613417795,1929866377287080063960,1627991942
17573243,1686657257100420344,2247033043953080063960,1627994838
17573249,1943636392237422883,1950713870125199716077,1627994862
17573435,1674850067205735322,2264713870125199716077,1627995242
17573436,1766010818205735322,2148142931765295675968,1627995244
17573436,1943006630610177681,1952994195774272830463,1627995244
17574487,1773348487410203726,2140401457486830600305,1627997544
17577174,1622222122710268554,2340401457486830600305,1628003629
17577175,1733773524967624185,2190242231439082845484,1628003631
17577198,1525456783794582926,2490242231439082845484,1628003677
17577198,1679876648794582926,2261954638250809617350,1628003677
17578130,1483687509308815489,2561954638250809617350,1628005729
17578130,1646457622308815489,2309362676780099103043,1628005729
17578218,1727099732135341137,2201841847705407246337,1628005909
17578581,1520547336542603080,2501841847705407246337,1628006787
17578581,1718966965542603080,2213821924118607037532,1628006787
17578581,1719318191070716855,2213371036899917402187,1628006787
17578624,1497995790426876669,2541371036899917402187,1628006877
17578624,1718584940239076449,2216026406470172558044,1628006877
17578754,1484781536284296453,2566026406470172558044,1628007145
17578756,1717463170402846866,2219283566139615881739,1628007149
17579983,1483568934502418694,2570220782805615881739,1628009811
17579983,1699630582611896170,2244343268898888358242,1628009811
17583396,1707764687599250358,2233685350500878164295,1628017105
17583396,1474997192757826978,2587241158833878164295,1628017105
17583396,1712567042757826978,2229262953183865588191,1628017105
17585324,1696117431343518720,2250948274728306447812,1628021353
17587537,1665054344292962293,2293068099728226447812,1628026047
17588488,1640732154017405482,2327162792928253721334,1628028137
17588984,1696222303923287024,2251253022826761263191,1628029295
17589486,1489142914061969659,2565253022826761263191,1628030331
17589486,1693555987061969659,2256442733568949734870,1628030331
17592776,1642518756849555597,2326767114411719940161,1628037645
17593388,1447731748356230657,2640767114411719940161,1628039033
17593388,1628567815356230657,2348318772900000404505,1628039033
17593388,1628841518486006541,2347925355684742512897,1628039033
17594095,1613191829807725526,2370771284341013434407,1628040619
17594486,1422914826163175778,2688752817674013434407,1628041425
17594486,1614591638581411302,2370400793183572356072,1628041425
17595775,1419250565125369201,2697636826516572356072,1628044219
17595775,1594390115331745240,2402100127136839319137,1628044219
17598964,1638322076440212108,2337875364174528878355,1628051109
17600560,1444394197905281550,2652708697507528878355,1628054508
17600560,1636804305790057251,2341702511138666018586,1628054508
17604674,1569961829572910472,2441702511138666018586,1628064166
17604684,1508371745466836052,2541702511138666018586,1628064186
17604684,1611237039409479642,2379889850841696891406,1628064186
17604695,1546451997328993730,2479889850841696891406,1628064208
17604695,1610912889632550360,2380942551716213771555,1628064208
17604703,1597832232876207508,2400492793382213771555,1628064224
17604703,1614648357561309066,2375566534694622535440,1628064224
17606598,1614277033867512874,2375020221228665329843,1628068533
17613630,1593497749240742869,2406083785865532034064,1628083661
17616536,1538795468350950966,2491874468744515314407,1628090169
17619375,1515085936979093628,2530987070415040331359,1628097050
17623849,1497491927369619278,2560813076573976598665,1628108311
17623987,1714031892334425363,2931111148802500119310,1628108595
17629336,1658109267355248209,3030265443848173292063,1628122037
