block_number,reseve0,reserve1,timestamps
18624600,1000000000000000000,2198878406,1630500631
18755571,946812044963402902,2322773918,1630800023
18810402,1001213375162671710,2196923178,1630933276
18927767,984118903668145563,2235199290,1631212610
19166700,956683943833058878,2299491290,1631784501
19396958,957710159440800013,2297034700,1632343686
19406931,956690085729328130,2299491290,1632368511
19772108,916934188838249464,2399491290,1633209481
19922106,939130284393183847,2342946074,1633558886
20095656,939630284393183847,2341703074,1633948299
20241507,834611025283384756,2637246634,1634297257
20499288,751092840749721978,2931379132,1634935578
20501357,851780625418339535,2585781930,1634940868
20616281,850549482881022364,2589536027,1635214480
20616286,850044645982256052,2591078566,1635214490
20616305,849815112944092087,2591780516,1635214528
20631895,784472678727512710,2808311749,1635252361
20640342,830401633805637710,2653426196,1635272605
20669674,765044187898628194,2880789518,1635343003
20701145,792638733318601375,2780789518,1635420354
20713705,728914415214556557,3024627647,1635448208
20713708,776491319511431557,2839825724,1635448214
20720781,711633660541334706,3099423709,1635465009
20822779,774227391683764267,2849536652,1635691169
20828082,828011631542344053,2664961753,1635702433
20918084,798446831340200694,2763936584,1635904678
21250838,880344974577353912,2507508480,1636644988
21525819,775553868005351781,2847336911,1637262563
21533081,838206455895976781,2635100729,1637279354
21777390,754986404855088553,2926434553,1637828606
21901435,764986404855088553,2888293096,1638108692
22032567,694966794620516433,3180171349,1638409729
22125974,695966794620516433,3175615608,1638622778
22126813,696966794620516433,3171072921,1638624766
22137844,636116228307009575,3475328969,1638649092
22148808,637116228307009575,3469890528,1638672483
22194742,557083519653899037,3969888013,1638778202
22198855,632891727802314056,3495628212,1638788236
22230512,534916485983748123,4137813628,1638860596
22248097,587620343405623123,3767705575,1638898317
22325094,588620343405623123,3761323836,1639069911
22369936,527480240888460904,4198609797,1639167326
22372771,585555192060335904,3783320319,1639173517
22448074,586555192060335904,3776889570,1639337764
22575037,587975518558136516,3767793338,1639621791
22659499,571390640538846917,3877484358,1639807773
22705081,586592490267940443,3777291004,1639907679
22726692,563541540438788410,3932261198,1639954355
22740723,578133664068706622,3833300980,1639985877
22780533,546796522517358363,4053650139,1640072311
22802040,565181961104409603,3922167169,1640118704
22815659,549301710101874544,4035897775,1640148979
22835802,516484725182308872,4293106795,1640193538
22837882,517484725182308872,4284835532,1640197959
22874238,538926202997983884,4114852110,1640277318
22914366,559416344403767317,3964570127,1640367524
22953253,544629104700073004,4072536177,1640453328
22977575,529072557309442751,4192643026,1640506000
23067105,553859004741263221,4005550508,1640703189
23088683,537571887370572644,4127274092,1640750209
23099303,521514311398321377,4254736438,1640772538
23138621,502106195103738045,4419691372,1640861453
23235451,533602021207886377,4159555917,1641070490
23475135,506477834830003852,4382989312,1641635618
23475556,547583171662458884,4054885329,1641636616
23476521,510801145918247996,4347750145,1641638606
23588786,450692905651886394,4929347887,1641891983
23588787,506101236077277519,4391121535,1641891985
23598772,438839384758869335,5066183312,1641914514
23598772,503938228655286711,4413443100,1641914514
23650289,450139179902915386,4942509468,1642031198
23654101,511327892822956274,4352620273,1642039846
23656452,466830044456881922,4768756797,1642044963
23656475,504717700692725930,4411773948,1642045009
23686189,517204105762786002,4305576197,1642111514
23702428,432605208763544269,5150094522,1642148212
23735011,470022498002342525,4741240980,1642221198
23735378,520166500536588413,4285425132,1642221956
23735483,409067958771209462,5452803520,1642222170
23735846,487689422793515169,4575958401,1642223048
23736861,423898621423028306,5266648075,1642225458
23736978,487628733596587024,4580124961,1642225768
23741482,525237171084828832,4253088916,1642236720
24211886,545628985019480544,4094597137,1643257177
24249265,526828041005191706,4241160963,1643338020
24348077,540671880088941137,4132884008,1643557524
24503091,524281621940766664,4262476314,1643896851
24503651,539349207665381526,4143744484,1643898135
24533816,551345097648615912,4053851576,1643963649
24587565,539416794780439268,4143765485,1644084630
24640099,556610698839330999,4016135264,1644202690
24640100,541481514403279154,4128685149,1644202692
24640111,556823752040247924,4015258847,1644202714
24664042,539950973015538847,4141108111,1644254643
24719697,520990967427083250,4292265603,1644376805
24720426,505948697734043665,4420262169,1644378307
24727531,537087388874777877,4164713203,1644393738
24728006,550545839256369473,4063202069,1644394848
24836386,532119849925870273,4204324035,1644633400
24836954,511060880318440036,4378090314,1644634572
24837402,525869139314777388,4255164560,1644635624
24837405,554012120381982660,4039624232,1644635630
24903458,518464849543457391,4317424561,1644779714
24916066,547209504015579479,4091277045,1644809405
25303667,484313809512144299,4624191862,1645741742
25341571,536925471910482771,4172308133,1645845041
25518240,667681594600420738,3357192189,1646279561
25518240,526918339598846909,4256745760,1646279561
25518722,676172297766519459,3319336933,1646280685
25518722,556053787361519505,4038536330,1646280685
25574144,753574738637796926,2982332775,1646404812
25574144,526168309741078263,4275155548,1646404812
26112047,555326622241078263,4051319832,1647695255
26269760,556326622241078263,4044059372,1648045100
26433309,628658027478397907,3579998396,1648409187
26437980,711073284236886099,3166168104,1648420038
26552591,646378064678883493,3484019697,1648673944
26564396,675751809380507653,3333010119,1648700594
27292185,657978071500343375,3423314501,1650301988
27432384,596083328320622492,3779846432,1650609725
