block_number,reseve0,reserve1,timestamps
13844832,1000000000000000000,9801000000000000,1619633228
13845817,999999999999899293,9801000000000990,1619635283
13845820,999999999998892223,9801000000010890,1619635289
13845824,999999999998897148,9801000000010842,1619635301
13846240,999999999998796441,9801000000011832,1619636227
13846242,999999999997789371,9801000000021732,1619636235
13846245,999999999997794296,9801000000021684,1619636247
13846769,999999999997693589,9801000000022674,1619637406
13846774,999999999997698514,9801000000022626,1619637416
13847165,999999999997597807,9801000000023616,1619638222
13847166,999999999996590737,9801000000033516,1619638224
13847356,999999999996490030,9801000000034506,1619638619
13847358,999999999995482960,9801000000044406,1619638623
13847359,999999999995487885,9801000000044358,1619638625
13859622,999999999995387178,9801000000045348,1619664537
13859627,999999999995392103,9801000000045300,1619664547
13859699,999999999995291396,9801000000046290,1619664695
13859704,999999999995296321,9801000000046242,1619664705
13859800,999999999995195614,9801000000047232,1619664905
