block_number,reseve0,reserve1,timestamps
21822491,100141000000,100141000000000000000000,1637931391
21822740,100241401163,100041000000000000000000,1637931912
21822882,100141600906,100141000000000000000000,1637932274
21823052,99140185398,99139590500752756379622,1637932812
21823087,100000690561,100000090500752756379622,1637932882
21833665,100500690561,99504066156314203274615,1637957933
21848844,100001701458,100002066156314203274615,1637991070
21869560,100026066691,99977779829989053014859,1638036443
21915805,100027701223,99976151014813108560742,1638139750
21964844,100026076484,99977779829989053014859,1638255716
21989345,100016102663,99987779829989053014859,1638310721
21989368,99519935154,100487779829989053014859,1638310813
21998228,100261935154,99746322992908407101608,1638329990
22002787,100262214075,99746046339528961652707,1638339899
22002829,100262215075,99746045357580377654190,1638339987
22002829,100262214101,99746046339528961652707,1638339987
22003425,100396459154,99613070578191657236750,1638341471
22004418,100895459154,99121883589457690304366,1638343543
22016457,101395459154,99613094415101313948548,1638370458
22017006,101637270393,99376808312563913927854,1638371588
22017014,102378270393,98659674742902862864190,1638371604
22017015,102134396291,98895960845440262884884,1638371606
22037275,102378833987,98660545468990826082468,1638420098
22037275,103861833987,97255978541160116451595,1638420098
22037275,103611786303,97491393917609553254011,1638420098
22042108,104111786303,97024586442635507967266,1638431243
22049166,104173577969,96967207828405007577364,1638449158
22049622,104235369635,96909897141370318425495,1638450119
22049774,104297161301,96852654260919968585654,1638450431
22051561,104358952967,96795479066727931978813,1638454167
22053156,104393952967,96763123920253197270116,1638457458
22053241,104455744633,96706054509942830892070,1638457632
22054984,104517536299,96649052478384196642560,1638461231
22056667,104579327965,96592117706262435720944,1638464831
22058351,104641119631,96535250074544305099923,1638468433
22060013,104702911297,96478449464477347028206,1638472032
22061640,104764702963,96421715757589061470749,1638475633
22063241,104826494629,96365048835686081474442,1638479233
22064914,104888286295,96308448580853351447194,1638482833
22066520,104950077961,96251914875453308338404,1638486431
22068227,105011869627,96195447602125065708881,1638490209
22069822,105073661293,96139046643783600678318,1638493632
22071442,105135452959,96082711883618943738492,1638497232
22073091,105197244625,96026443205095371420405,1638500832
22074306,105161917672,96058798351570106129102,1638503490
22074771,105223709338,96002557826051971488175,1638504503
22076419,105285501004,95946383216335182889583,1638508031
22078022,105347292670,95890274406546388756948,1638511631
22079322,105341816318,95895274406546388756948,1638514311
22079769,105403607984,95839225446896175397133,1638515233
22081272,107633607983,97866873995502033821953,1638518716
22081328,107695399649,97810889937533745455088,1638518832
22082761,107757191315,97754969989720687410829,1638522431
22084157,107818982981,97699114041947223628306,1638526031
22085633,107880774647,97643321984349816240746,1638529640
22086994,107942566313,97587593707316304439774,1638533265
22088600,108004357979,97531929101485185813944,1638536833
22090220,108066149645,97476328057744900151609,1638540432
22091841,108127941311,97420790467233115698262,1638544034
22093451,108189732977,97365316221336017858552,1638547632
22095137,108251524643,97309905211687600333208,1638551246
22096529,108517398508,97072203847021631234932,1638554374
