block_number,reseve0,reserve1,timestamps
19564942,1,138810919439909,1632728782
19565799,11,12653684543292,1632730711
19568993,290,481356639599,1632737956
20448948,1266622,110540769,1634814145
20448949,1272161,110060912,1634814147
20449113,1887237,74263187,1634814487
20531098,1405,100074263187,1635012113
20531099,2188,64330645551,1635012117
20531100,2324,60583645550,1635012121
20531403,50892,2774515647,1635012841
20590613,17466,8100733730,1635153887
20849442,45,3179408353493,1635752187
21750904,1,168574816309579122,1637770059
21751581,51831,3262180021244,1637771460
22009113,1,709404472857261843,1638354010
22009170,192133,3703367349618,1638354128
22205687,2,517658672361810287,1638804339
22205688,18358,56565655421964,1638804341
22488612,115395,9021696063080,1639430995
22490288,126709,8218339376637,1639434451
22591237,120806,8621161342902,1639656918
22592902,94586,11018302181173,1639660805
22644243,913682,1143710345411,1639774073
22644245,891612,1172106192091,1639774077
22644246,855142,1222245731187,1639774079
22657470,403316,2595622251005,1639803331
22657645,291332,3596355169172,1639803693
22657788,170430,6155292568944,1639803987
22658000,171295,6124302548763,1639804427
22733718,63679,16505400058172,1639970168
22877643,490,2154096063679661,1640284941
22880915,21071,50240095173430,1640292091
22916391,21190,49958795690864,1640371831
22995974,3312,320463323199569,1640546663
23000555,59087,18013923641585,1640556878
23036572,23571,45239618822408,1640637326
23315669,423571,2524659731050,1641248255
23363674,5230,205091245030331,1641368003
23660024,12480,86097743383592,1642052330
23663854,48310,22291366931458,1642060486
24172905,243046093,4444159897,1643171946
24172905,243076093,4443613053,1643171946
24172910,241826609,4466642258,1643171956
24172911,241833521,4466514977,1643171958
24172912,241651527,4469888947,1643171960
24172914,241618376,4470504081,1643171964
24173186,241618386,4470503897,1643172656
24173310,241618396,4470503713,1643172908
24173383,241618406,4470503529,1643173062
24173440,1523,711571213106627,1643173180
24173442,1553,697865914677215,1643173184
24173443,1555,697378468085568,1643173186
24173674,21169,51369749002971,1643173660
24214267,18237,59654360201059,1643262215
24226866,54,20307640560742761,1643289615
24226959,18218,60374493202531,1643289809
24243698,16860,65252144270905,1643326143
24499263,17094,64361549913157,1643888183
25334083,16,69149832133369282,1645824893
25362926,3632,305537385377336,1645901851
25362938,49401,22525956056330,1645901899
25622771,274649,4061727671474,1646516191
25626806,274903,4057986036632,1646525601
25654588,1,14175287139771479406,1646588806
25663501,1000001,14217926701951,1646608071
25718199,1011045,14063080137728,1646727491
25718199,994587,14296500662672,1646727491
25768523,20966434,301377996670848,1646837733
25768569,4866705,1301377996670848,1646837825
25768636,20966434,5606515265719116,1646837963
25768645,17608559,6678870521758098,1646837985
25768715,13200003,8916201868729879,1646838129
25768867,15369822,10381848825219631,1646838441
25847343,15370010,10381722219427715,1647050896
25871813,13591891,11743967515985983,1647108723
26460273,15590566,10242356808104501,1648470148
26499675,16024056,9966084766962837,1648556348
26514648,16129373,9901205006678345,1648590448
26514748,16295261,9800708694513962,1648590652
26514814,18146846,8803403462589318,1648590788
26516022,23481483,6808043692845956,1648593411
26516063,18171579,8803403462589318,1648593497
26538096,18834263,8494552141524699,1648642183
26580010,19831256,8068715489289980,1648735723
26580886,18541335,8631745564189832,1648738043
26597192,18990674,8428107784535666,1648773852
26597284,18478004,8662648369915764,1648774040
26607452,2613620,61402185169538575,1648795928
26607692,5719581,28104130390251055,1648796424
26607862,11719581,13736934368236440,1648796772
26619226,13382171,12034754421183987,1648822167
26678219,1542481,104688462251041335,1648951840
26678221,2312562,69897128506522543,1648951844
26678223,3467105,46668065766471868,1648951848
26678225,5198053,31158760162703571,1648951852
26687278,8195049,19785455527263101,1648971363
26687291,13189188,12307594299459776,1648971415
26687364,15181066,10696949482884107,1648971577
26687421,17172879,9459544962275652,1648971691
26696031,18840966,8624333776165532,1648989719
26744067,18191456,8933185097230151,1649097927
26793001,15310981,10618854108527857,1649204221
26795469,13147789,12371220689730834,1649209441
26879152,14671543,11089828371292351,1649396391
26879790,16584493,9814060353385221,1649397865
27024790,16685204,9754999851345229,1649716174
27025211,15044402,10822120532301202,1649717168
27255012,15073236,10801480593156476,1650221077
27320419,12765201,12760338354348235,1650364821
27324903,14180544,11490184832068274,1650374512
27448780,14209105,11467158144006117,1650645796
27448880,14627975,11139754644567820,1650646000
27449416,16021750,10173332529624504,1650647108
