block_number,reseve0,reserve1,timestamps
20357265,1000000000000000,1000000000000000,1634589958
20357266,200333781772069,5003680399979168,1634589960
20412880,40098202020,1001521489498,1634727675
20502686,14004533592566416181,349787288127187060211,1634944250
20502687,30372092703852507073,161547651552365835199,1634944252
20503206,29551391705643367072,166047651552365835199,1634945451
20503310,29901396455604530663,164109777204435389853,1634945727
20503754,29631014288600666588,165611780287354251741,1634946861
20504959,29112109578364454585,168572586634491180873,1634950089
20504990,29589506241022657389,165860866967785257417,1634950155
20505231,28990201097044665213,169299972876030545712,1634950653
20505317,29376194393950581120,167082014477135507321,1634950829
20505366,29636894259118461665,165616654120943373477,1634950931
20505873,30335924712531718457,161811536843626192368,1634952361
20505905,29803362945242009029,164711677341450478812,1634952425
20505995,30297408905564695511,162033726143118654556,1634952613
20506690,29933541311824117716,164009310325179428821,1634954303
20506743,29311231865553871506,167501884725852452939,1634954409
20506822,29607244261759640334,165832179545352880228,1634954703
20507228,29223437290569980149,168016695456796563034,1634955597
20508218,28756300016894863929,170754287917987780012,1634957963
20508312,29136507345178578267,168532683291472057924,1634958209
20508321,29775990786946769983,164923820601620513809,1634958245
20508347,29347961497773259338,167336412005085441938,1634958349
20508384,29547528048742542367,166209575238046928271,1634958435
20508404,29367642991052590758,167230718977563546361,1634958475
20508943,29233734250749578579,167999044975183015577,1634959590
20508984,29113153642016069238,168696955703315260670,1634959672
20509257,29690993630308928193,165423468691287716408,1634960241
20509355,30765974161723598824,159660215024045213750,1634960529
20509397,30451690448549917553,161312983499769673989,1634960657
20509402,30005417650636768800,163719422762581339250,1634960667
20509421,29536090081544947684,166328747362581339250,1634960705
20509780,29900231380460026829,164309108445858007690,1634961447
20510128,29651590912982429513,165691051968790022166,1634962234
20510580,28745544659285302332,170929271843983527876,1634963294
20510655,28904549432662997841,169991790300532525725,1634963448
20510731,28501254433583075027,172404425451661776113,1634963608
20510801,28690488425166488829,171270685711635758132,1634963753
20511059,28920009335153228424,169915457719384829665,1634964541
20511424,29127025361123905361,168711406001819286865,1634965295
20511493,28631463972546561355,171640296889455783367,1634965449
20511586,28804962251861407000,170609554529185731552,1634965755
20512144,29111356890012418300,168819233418487263695,1634966907
20512597,29467612020229340254,166784305557689615979,1634968097
20512678,31509734980961645340,156005468064154329358,1634968341
20512682,30929262684817200346,158942147842289258731,1634968357
20512713,30419987901543481921,161611077052289258731,1634968465
20512732,29840876597174456190,164756843182289258731,1634968503
20512773,29409750902634763008,167179326888802796853,1634968589
20512866,29799039530539648701,165001796611590704419,1634968919
20512934,29407509588885289712,167205231629220328718,1634969253
20513056,29628122302025278891,165963919129745431208,1634969555
20513326,29331149344905581689,167649332154692190429,1634970299
20513873,28630049559492511443,171767124138216823155,1634971707
20513903,29011184288713720937,169517212896854265542,1634971887
20513965,29018726045610131879,169473288734629169575,1634972079
20513988,28646002521751975653,171685002274198549545,1634972129
20514195,28817901094917322662,170663956495879303745,1634972683
20514760,29243911032669805865,168185163705508099978,1634974105
20515040,30161087640255247784,163085653877220900199,1634975131
20515058,28906691943917352580,170183993295954917421,1634975203
20515069,29387086058478601366,167410185780442838816,1634975247
20517274,28823143190896922388,170695527049078725650,1634980697
20517869,29173031277694567798,168654350718344168570,1634982307
20517916,29699814855950534735,165671755597505921780,1634982405
20519466,30146504703353974367,163224202882186760404,1634986242
20519534,29615721289563461064,166158367170971049663,1634986382
20520725,29198028082384539951,168542502745442264301,1634989097
20520829,29378285375965691831,167511454489005293227,1634989309
20521082,29873918315473787069,164740500867876808136,1634989831
20521184,29492713100217227302,166876245537931467446,1634990043
20521737,29313733632712642734,167898199746195477206,1634991185
20521741,28990949020329645622,169773199746195477206,1634991193
20522009,29392905072265525049,167458374715946617087,1634991745
20522449,30047717881726621925,163819759783044123024,1634992785
20523176,29644664892935101347,166053778086667273930,1634994283
20523909,29358758954698616947,167675734149124710679,1634996053
20524301,29746707944348412661,165495424972574854321,1634996861
20524336,28934256562580637457,170156390465769944555,1634996931
20524337,29172380501306361039,168771596234681022343,1634996933
20524403,29637962123878738250,166128198737152584248,1634997069
20524904,29323321558600994398,167916125596567963231,1634998103
20525226,29679774384305522211,165905437634745861764,1634998767
20525370,30170627952852853714,163214246276527001915,1634999191
20525370,30308312248843594133,162475012509989664413,1634999191
20525399,29977574004148810900,164272969730402202665,1634999253
20525508,31736345014265626320,155195059874637025836,1634999479
20525508,31178316053607711348,157981096477800087952,1634999479
20525509,31743412024238425604,155177005623117430767,1634999481
20525526,31192290027525356401,157927005623117430767,1634999515
20525545,30610475102081838294,160937764881467277812,1634999553
20525589,30249064325321301881,162866408391669411779,1634999645
20527045,29935546792850102781,164577254704092806043,1635002931
20527644,30384162086729738778,162154491215645672756,1635004295
20527662,29766794877538619191,165527716193365363086,1635004331
20527786,30208842518065042786,163112700603540886587,1635004587
20527833,30715576477775506284,160429669105464135674,1635004685
20527847,29831810012238741205,165196694255464135674,1635004713
20527978,30278260552754485296,162768082162016228731,1635005111
20528038,30492980178985744545,161625347370036454767,1635005235
20528097,30691718429849854772,160581893331742048973,1635005357
20528149,31211244444544515857,157916817110939143311,1635005465
20528201,30838894339654175605,159829248684891318367,1635005593
20528234,30283961057959875168,162766825234891318367,1635005725
20530439,29782288862952317134,165516825234891318367,1635010589
20530604,30211154651888583725,163174161897290773498,1635011039
20530638,29959910496901291802,164546659794719064155,1635011111
20531529,30107581983997365273,163742001689435624348,1635013205
20531967,30484294297833090882,161724541260493844533,1635014105
20532205,30099900312881408033,163796076356327949988,1635014725
20532331,29653211565420647491,166270884931158089818,1635015113
20532335,29440635389053692784,167475056758377877805,1635015121
20532409,29762761044149217825,165667834817133612935,1635015273
20533700,29947002128045288435,164651645799941063689,1635018195
20533754,29333187957224835795,168107445505573455204,1635018303
20533794,29554343924338576925,166853238576917887716,1635018457
20534600,29136311919200501851,169254361742424214761,1635020307
20535090,28959494039113196911,170290887074871067305,1635021443
20535295,28464716216843238566,173259814734836477482,1635021865
20535340,28640894601421679223,172197221460046954945,1635021959
20535799,29112940348068662666,169413406002985633131,1635023033
20536103,28935057533061913264,170458035437834664774,1635023789
20536892,29452830639469849363,167470259736131104509,1635025543
20536975,30024327486015943251,164291935478750722237,1635025749
20537072,29830277113752433278,165363894738227282953,1635026043
20537199,29416195027599237082,167698672137041550950,1635026305
20537289,29930808312792119928,164823858264653983762,1635026493
20537355,30109594648003588746,163848077204621163543,1635026653
20537402,29811209988152222556,165492990758737625540,1635026841
20537472,30390111837381249463,162349789275435474747,1635026999
20537509,30240210368413220696,163156982767301539098,1635027073
20537711,31021761267991901339,159058487242028318441,1635027490
20537738,30613203458081196575,161187638072887900358,1635027548
20537807,30256190276006886603,163095322710678469128,1635027690
20537870,30959470011451062043,159401289050649122361,1635027820
20537897,30512685514619710976,161742358690474851124,1635027874
20538142,30159741744966999433,163640840828215215276,1635028442
20538345,29782057621622206354,165722312829122557448,1635029010
20538790,29584963110595151751,166829674086146172453,1635029972
20538944,29873286869693074735,165224291835975907757,1635030292
20539184,30061495821226934297,164192939864152278984,1635030882
20539801,30243364404391330001,163208509380839951363,1635032314
20540139,29687557156443915888,166273275816396792383,1635033226
20540144,29835235835201877454,165452711960060833305,1635033246
20540675,29980456329711258483,164653678378999995315,1635034502
20541501,29687144242614282635,166285368997738553773,1635036458
20541868,29475886132013952579,167480747390411657021,1635037216
20541927,29034034675488047371,170037205211695900708,1635037338
20541956,29486978235372302499,167433013513487568850,1635037400
20542065,29224195291031702129,168943095574965134035,1635037622
20542788,29706450581648614443,166208563674110071259,1635039372
20542790,29280395274971150273,168634320610359866156,1635039376
20543432,28951417551576256229,170556294426700737112,1635040956
20544876,29494389393068951415,167425714515825805054,1635044190
20544911,29287585803742216658,168611487362113694298,1635044264
20545182,29459362558867961133,167631250649204436519,1635044884
20545342,29704621769164937547,166251304306744901052,1635045278
20545380,29165539345498018553,169333463477617352514,1635045358
20545792,28929732706866691040,170717855983130861837,1635046212
20546068,28649897496944539638,172390344232778561607,1635046906
20546209,27766344864932663135,177892482375879195002,1635047196
20546237,28120550077405023473,175658394245039438691,1635047252
20546320,28429983511035311018,173752192440748325709,1635047426
20546320,29204880495402635360,169155467047991950520,1635047426
20546321,29102002394166906324,169755245623353739165,1635047428
20546348,28830837286132060117,171356663219768640846,1635047482
20546886,28226118309361595944,175038870889768640846,1635048594
20547138,28695696079339173535,172182979102820486952,1635049120
20547798,28917133043849884987,170868389359678132619,1635050602
20548485,29219334434939993090,169106427516243911190,1635052148
20548745,29593033628748313879,166977286631639882620,1635052684
20548853,29191019580807088120,169283790600581692638,1635052904
20549383,28321738425780942948,174495264586063097167,1635054128
20549452,28609866672768859389,172743152326287688550,1635054270
20550150,28991784542870648397,170474289739339168984,1635055710
20550306,29967058426072959985,164942331001840097744,1635056030
20550364,29603065721908921753,166976527765094056975,1635056208
20550773,29241507111701104019,169047332852871058926,1635057120
20551692,28554936606123396385,173124111269044748973,1635059018
20551742,28693068338587427836,172293160194680336897,1635059118
20552311,29014906918731994680,170387723304198471446,1635060532
20552371,29547344547863640611,167326413931868042021,1635060672
20552709,30054464672631119264,164511380899819221553,1635061500
20552763,29866167700614221197,165551695339010638802,1635061608
20553183,30290896248756125957,163237252872079581563,1635062476
20553588,30878387918577815063,160140644246150905737,1635063438
20553622,30594602577468643978,161630525155056470615,1635063510
20553898,30168821742551059132,163918524975331367704,1635064078
20554102,30013917848026196737,164767065379097171899,1635064626
20554175,29649106242546702502,166800509712262055305,1635064776
20554772,28948880611620281196,170847278982729576584,1635066138
20554842,29162110177199312906,169601786166483102310,1635066282
20556503,28896714634852270126,171164143672872028453,1635070092
20556969,28804337781191131878,171714726807966996515,1635071054
20557988,29407087821651715604,168205474154729382035,1635073156
20558018,28965404680120780071,170778097402727933026,1635073226
20558306,29296879937472461930,168851584970710848100,1635073940
20558469,28995571360735035786,170611492325887234037,1635074278
20558961,29485633244619307500,167784233549479375655,1635075290
20559134,30274278871999131889,163426222362395269071,1635075674
20559135,29700201033911836926,166594607564417654745,1635075676
20559137,30048733628307418574,164668021406588390365,1635075680
20559216,29711437905914373257,166543021406588390365,1635075842
20559965,29140361834042566154,169816656777469558493,1635077427
20560322,29583379689626792206,167281128844756816051,1635078293
20560605,29486677744444852793,167831380248104627303,1635078875
20560803,29016356908161188710,170559914078104627303,1635079283
20561697,29343673606002871845,168663031979170923775,1635081255
20562286,28938860642317117666,171029484134061678683,1635082471
20563650,30212495556670510369,163840302963016731105,1635085415
20563651,30378621504497318690,162947013040793488374,1635085417
20563689,30215415103946923911,163829808045914436727,1635085493
20563690,29840576501886702908,165893927677758002374,1635085495
20563797,29727835733518135438,166524962069310486674,1635085761
20563855,29502006502722324154,167803497553853556736,1635085965
20564418,29966316410486276510,165211163619073045037,1635087511
20564440,29520544213502511383,167713426019180836903,1635087555
20564531,30219379665123629232,163846351837242524837,1635087741
20564560,29812395247280092416,166089833525041145564,1635087803
