block_number,reseve0,reserve1,timestamps
17005442,990000000000000000000,75600000000000000000000000,1626631343
17005533,997000000000000000000,75070788853125291505638535,1626631529
17005546,998000000000000000000,74995793060065226279359176,1626631555
17005669,1009067581993318705374,74175670337193316086442662,1626631809
17005696,1008227450503544935824,74237665109193316086442662,1626631869
17005764,1008222605146735687798,74237308336546469530744683,1626632135
17006075,1019222605146735687798,73438477033307571140853487,1626632773
17006092,1024222605146735687798,73081038945393168944570408,1626632811
17006101,1027222605146735687798,72868244462930637284887561,1626632829
17006104,1042222605146735687798,71822602539172647212051137,1626632835
17006114,1048622605146735687798,71385558695873451651660727,1626632855
17006132,1052046605146735687798,71153921372296569802310018,1626632891
17006151,1054498905146735687798,70988943957933801279021776,1626632933
17006185,1059852305146735687798,70631443336726331979807333,1626633001
17006214,1053039964216886790696,71089748176726331979807333,1626633063
17006306,1044562614923115877155,71668426769984751811929226,1626633321
17006616,916878590125788946364,81678965379250693746103207,1626634019
17006633,902370289659408084,83241678965379250693746103207,1626634053
17006711,452084404705207858,166401678965379250693746103207,1626634213
19022673,1134965840818280315,66401678965379250693746103207,1631444385
19036434,1336800432385732689,56401678965379250693746103207,1631478656
19036643,1625760429305111587,46401678965379250693746103207,1631479086
19438054,1738473975785554032,43401678965379250693746103207,1632441773
21369899,1779597467439798581,42401678965379250693746103207,1636917129
23094107,1879597467439798581,40152196131452251133850706708,1640761672
