block_number,reseve0,reserve1,timestamps
19564746,10000000000000000,1523102182183347,1632728378
19564836,110000000000000000,138842496096933,1632728562
19564902,25017068766266,31576657024,1632728698
20448948,420060175710699970,1886236,1634814145
20448950,127568460404534271,6224052,1634814149
20531403,13774569630639,57815353955,1635012841
20531405,15194631949644,52426736569,1635012849
21712006,15555964838411,51212540597,1637682883
22644246,744647074635532,1073001501,1639774079
22946110,20933234382903,38280948954,1640437107
24172905,27003066256247963458,29766,1643171946
24172907,139411261839791398,5782742,1643171950
24172907,24098147328657910,33537261,1643171950
24172907,1599176388242425211,506875,1643171950
24172907,30096753144200067,27012073,1643171950
24172910,204641811382931124,3982868,1643171956
24173451,165629595986,4935795784323,1643173202
24243698,14101793967226,58144715949,1643326143
25718199,1015077808116349,810162194,1646727491
