block_number,reseve0,reserve1,timestamps
14950667,3170000000,50000000000000,1622029780
14950936,2865188210,55335233772307,1622030350
14951890,54643919674,1055335233772307,1622032318
14952016,55243919674,1043907331646754,1622032578
14966581,53946987680,1069079277813736,1622067099
14986954,53262431802,1082860973819408,1622109295
15048694,51151027573,1127693640137808,1622238962
15187295,53068132123,1087073131675646,1622525108
15462757,50688329503,1138264479353228,1623122086
15599823,50160276410,1150283406289778,1623443371
15603868,52658225106,1095873356905548,1623452097
15621478,53458225106,1079522125066275,1623491538
15621502,54258145106,1063653930117008,1623491634
15623409,56743891106,1017192751612223,1623495954
15625062,55541257488,1039284278312359,1623499364
15625147,55981213488,1031140860981454,1623499538
15625190,56861213488,1015229773342549,1623499628
15625213,58181213488,992264045144581,1623499674
15625234,56969306186,1013435980955209,1623499720
15625249,57849306186,998065204195285,1623499750
15625277,57045974103,1012162436885107,1623499806
15625311,55364305261,1042998979622040,1623499878
15625697,58004305261,995664016556167,1623500674
15625733,55339331343,1043756445205996,1623500750
15625797,54654592685,1056872469055507,1623500882
15625826,56854592685,1016094528373039,1623500940
15625885,58614592685,985673400583854,1623501062
15625896,56353403558,1025342707788884,1623501084
15625918,54304628416,1064142673227460,1623501128
15626515,56771181945,1018041260212048,1623502362
15627286,56029971398,1031549271395471,1623503963
15627564,55437823104,1042600718078547,1623504535
15639713,55836189059,1035184390226214,1623530361
15639768,56500088059,1023056616868116,1623530475
15639816,57031207260,1013557430729190,1623530575
15639871,57591207260,1003731175650383,1623530685
15639924,58791287260,983302679531152,1623530795
15640293,57980979934,997086076971123,1623531685
15640367,58569013534,987105052411111,1623531837
15640707,57985645820,997065758096611,1623532541
15640790,58564979820,987231924214785,1623532711
15640916,57491816823,1005715401958262,1623532971
15640950,57955284024,997696652483567,1623533039
15640989,58534618024,987851492063033,1623533121
15641095,58998108399,980114009444370,1623533341
15641137,58194504310,993689064621714,1623533425
15641191,58650568299,985985187323873,1623533537
15641320,58001904665,997045121147180,1623533803
15678155,56852388626,1017265345682261,1623614555
15680140,64901329274,891437676277469,1623618777
15680140,58839734617,983548785731756,1623618777
15680284,57015165086,1015118509398832,1623619073
15680560,58832005086,983860942090257,1623619769
15680631,59286215086,976345719877265,1623619915
15680716,60648845086,954473973073421,1623620093
15682417,59416052489,974337444756948,1623623727
15685165,56955232181,1016561555373157,1623629651
15685988,58755232181,985509188080393,1623631349
15686018,60555232181,956300274938533,1623631419
15686038,61155232181,946945790585553,1623631499
15686145,60394155770,958914940504894,1623631803
15686378,61194155770,946416025464420,1623632281
15698453,61794155770,937253952593464,1623658979
15698976,67794555770,854525832864401,1623660141
15698978,65876461727,879481527899834,1623660145
15698979,63375320104,914295187753730,1623660147
15698979,64284562433,901401623933726,1623660147
15699150,63523274546,912236881027225,1623660629
15699234,67523274546,858349575447507,1623660801
15699236,66711728851,868822785680948,1623660805
15699354,65755576262,881494362516509,1623661049
15701392,66955656262,865741445788179,1623665543
15701422,67355616262,860615973972738,1623665663
15701663,68155616262,850544148481747,1623666195
15702044,68934290387,840964994132832,1623667039
15702326,69713042387,831598592645368,1623667689
15702386,68777033680,842950139223703,1623667813
15702433,69945161680,828913874182175,1623667911
15702485,69397195274,835478746241915,1623668019
15702597,70565401149,821688255990206,1623668251
15703054,69412861334,835372723776531,1623669193
15703102,68755922605,843378434334017,1623669289
15703305,67548209400,858502804817926,1623669716
15703375,65926524679,879684114142902,1623669860
15703548,65435596986,886303764534227,1623670214
15703610,64412158248,900428536198465,1623670342
15703794,65678579593,883117462656378,1623670722
15703864,67578401593,858362900036661,1623670866
15703870,66696470882,869747227820735,1623670878
15704992,65960516471,879480632054169,1623673322
15705279,185959550568,2479480632054169,1623674040
15705419,187159550568,2463630478109362,1623674332
15705565,189159550568,2437659624490181,1623674632
15706577,190959670568,2414748821820296,1623676723
15707317,189338344741,2435488811193247,1623678375
15814742,185292462981,2488828000768000,1623917790
15816522,183744955864,2509852078582724,1623921477
15816584,182222163275,2530889500876617,1623921605
15816733,180412971687,2556345774217916,1623921911
15836401,182213031687,2531166965794410,1623964173
15836501,183012951687,2520136689863405,1623964383
15839020,183812871687,2509202274665718,1623969833
15862106,182466651868,2527770610877391,1624020692
15862107,182451678626,2527978681365864,1624020694
15862961,189674838626,2431986536385658,1624022454
15862994,181726988023,2538669795456651,1624022524
15863023,177050132255,2605931640908660,1624022582
15874244,175683351800,2626266258623172,1624048425
15898427,174453589962,2644835095318910,1624104543
15927962,172927659374,2668243604543612,1624169189
15929480,173927539374,2652950077539699,1624172449
15932659,174763792581,2640293484798122,1624179259
15940036,175967024245,2622293413152023,1624195389
15941890,177591382971,2598379622883057,1624199478
15944928,178794734971,2580943718156300,1624206164
15951052,181529225024,2542180206527482,1624219446
15957468,183129225024,2520035231246762,1624233233
15968820,180274833263,2560056415062848,1624258323
15970137,178538124216,2585034001845648,1624261172
15974335,174788304890,2640658880182070,1624269959
15994536,171931065114,2684674769228631,1624315294
15994565,167558536344,2754943585996264,1624315356
15996006,170298391813,2710751353938221,1624318615
16015514,168535217951,2739195899333678,1624363145
16020704,166192554946,2777923999190254,1624374241
16021142,163284920248,2827539681253955,1624375145
