block_number,reseve0,reserve1,timestamps
18514154,10000000000000000000000,5000000000000000000000,1630224162
18514409,9998006397524333647871,5001000000000000000000,1630224944
18516968,10080229786919131025180,4960328744095710884504,1630231296
18516969,10091661725753730130652,4954726470659626292264,1630231300
18518393,10122381725753730124042,4939734549256730935249,1630234894
18519760,10127196421103730124042,4937393131173451862596,1630238357
18521821,10143407354288476700546,4929525950972405294709,1630244034
18522117,10190963447650570757878,4906591026060431603579,1630244646
18522121,10237490010886349936263,4884358519835032750290,1630244654
18522438,10228846319433311153414,4888498414821006423632,1630245564
18523703,10212658105652950251789,4896270552018076994635,1630248683
18530137,10208837222245135094380,4898108603856887541657,1630267538
18531053,10185688150540516290584,4909274059657159506610,1630270670
18531859,10181106088274467854606,4911490153476992524199,1630272670
18532311,10179686007683599947063,4912177374962087367108,1630274202
18532912,10189173007340264914445,4907617422025585250423,1630275952
18533607,10205431788770264914445,4899822270851651711296,1630277642
18535628,10203379531934755747661,4900810762122742525422,1630283097
18539193,10200124816319232542201,4902379247001989403340,1630291894
18540402,10198538887008645440446,4903143888063875321586,1630294789
18540692,10189898381545671659361,4907314051947554989058,1630295526
18545168,10203009921829478189587,4901026724351002709254,1630305594
18546016,10186750396463052941344,4908873009937059539352,1630307536
18552925,10177507793023006975292,4913344368678232971160,1630324130
18552950,10176504678384949736124,4913830142354809193341,1630324180
18553204,10170236213988264401209,4916867913868689871446,1630324832
18554161,10161596995007904052629,4921060772746803261092,1630327063
18556732,10166665879857302349263,4918614592748870057955,1630333442
18565051,10120333888247002144615,4941200303593404633013,1630354274
18565053,10057635378695920129712,4972096045689318207784,1630354278
18565055,10058643903141383386748,4971599016614824018516,1630354282
18565112,10086945412479462751024,4957691652215827402809,1630354400
18565159,10095265919024248806362,4953617776763532998637,1630354498
18565180,10156645228417523544254,4923771013553319062343,1630354540
18565182,10154639394480696240058,4924746526771089157460,1630354544
18565305,10151512607051935398457,4926267972001855606937,1630354798
18565356,10149853212701054152199,4927075788502108839770,1630354904
18565395,10147601996143001084375,4928172135252158233629,1630355026
18568028,10157199101855773860220,4923529670968875261664,1630361327
18568064,10162789930095999187473,4920829224105185489361,1630361403
18568154,10166231295784949597677,4919168472309461159391,1630361587
18569570,10162429348510676404535,4921014359213805436654,1630364891
18569831,10159984333197055360814,4922202172063795265228,1630365509
18569891,10159626514462564890930,4922376052059979975077,1630365753
18570009,10157951508871953891017,4923190174557969642955,1630366053
18570272,10149342063361006634381,4927378966079274886677,1630366661
18570573,10145819768914351327411,4929094737074139088943,1630367345
18570971,10145486838510542653344,4929256975069986875185,1630368165
18571560,10143899882803992427093,4930030449840854158434,1630369379
18571560,10141491629288251617244,4931204684269548601194,1630369379
18571564,10125382798785996623006,4939073519148202000676,1630369387
18579403,10124258477008931115969,4939623664858217105838,1630388190
18579660,10121349325574119931345,4941047719385771723511,1630388848
18581826,10129988443904334428933,4936846495844845347815,1630394227
18582112,10138617834614334428933,4932657139809959200168,1630394945
18587815,10147247225324334428933,4928474898503620678173,1630409612
18588658,10150450399936829887951,4926924285510433816118,1630411607
18588826,10166709181366829887951,4919068660895926474824,1630411955
18591789,10164040443214824822931,4920364130734394983788,1630419172
18592413,10162942134028661460768,4920897474531793655790,1630420589
18592455,10161041470087977023379,4921820718055645252598,1630420677
18592876,10159196871434976390445,4922717058808619546691,1630421671
18592911,10142918812766296433566,4930641227758410749813,1630421777
18592952,10134290376602547851687,4934851856890714202327,1630421941
18593511,10133886078079538006258,4935049328696885786236,1630423118
18593838,10117615174338956531377,4943009636455797191506,1630423920
18594241,10112545254489894349280,4945495268930120163949,1630424890
18595574,10096276278762225622007,4953488338948513304800,1630428157
18596729,10087637243526152205224,4957743262638324396631,1630431291
18596863,10086197682693185941907,4958452989791320545484,1630431591
18600043,10074640700035080921997,4964158124940623711069,1630439793
18600190,10069145986039589663717,4966875207926469429810,1630440135
18600803,10066302155539276006852,4968282621825769258537,1630441659
18601713,10050111462801032520293,4976310590830423386818,1630444047
18602437,10062338984464510060689,4970281612581036182186,1630445801
18602438,10068875212799722770684,4967064818528455641108,1630445803
18602531,10077055269142935364161,4963044886610489883671,1630445993
18604726,10079866368851866564906,4961664930733830796003,1630451536
18604840,10083009046338394545129,4960123114357356111596,1630451790
18606467,10081574207825938014832,4960831177472935334553,1630455802
18609515,10080177994750168722337,4961520373538454315419,1630463406
18613482,10082286523719565396446,4960485872938731860478,1630473538
18614046,10090915914429565396446,4956256557914403412156,1630474826
18614381,10107141899237048806185,4948323625920559388521,1630475776
18616417,10108745734835118372795,4947540888609425609552,1630480766
18617770,10099985831641344532602,4951844893696886213306,1630483973
18617790,10097562204786745624468,4953037016768838198803,1630484013
18619893,10113801388930088753772,4945108013267447621349,1630489107
18623136,10110649039055214365738,4946654463690056983516,1630496822
18627294,10115619851240262851816,4944230968134349346007,1630506716
18627295,10119909313284876453251,4942141572563998312380,1630506718
18628644,10114986081888764841425,4944554281777520206427,1630510067
18630006,10118385432313464267513,4942898102055812287835,1630513043
18630719,10118772019321431727013,4942709825472239105679,1630514530
18630755,10126254770531713220351,4939068380998985973016,1630514606
18631010,10129315158385845869490,4937580606957686778394,1630515132
18631130,10138059876798300581866,4933334397060588895999,1630515380
18631966,10142341613768322986526,4931257963626696886996,1630517232
18631966,10143042998716619555599,4930917993195998079006,1630517232
18641992,10180768001930586424461,4912701007785660400251,1630541431
18642562,10227788509446893888653,4890183150893290656775,1630542607
18642565,10231148979743678027482,4888581763653654237546,1630542613
18642592,10235150068540389385610,4886676467344721549755,1630542667
18644082,10230079395606385933490,4889105900884098870154,1630546764
18644084,10225281765100743524838,4891406737601075715391,1630546768
18644738,10210823285060572481137,4898353788787810907729,1630548248
18646704,10208434245075942287954,4899503580764313420618,1630552429
18646994,10208023986276014659473,4899701083513169521092,1630553029
18646994,10191180395868777501832,4907823487947169402122,1630553029
18646996,10182329225294407202633,4912102537854263532952,1630553033
18651795,10195103937263833651397,4905965996376829517546,1630563232
18651992,10208329536008528633841,4899629020683329789419,1630563638
18652058,9841384137196982229138,5082866075412112210684,1630563774
18652058,9888248599453471411950,5058848218017735730350,1630563774
18652058,9844366304731828171834,5081466418836831628121,1630563774
18652058,9851573685343323118795,5077759978458381671137,1630563774
18652060,9904343664442065487096,5050786591096807770971,1630563778
18652060,9977239692169128846584,5013994272788609660441,1630563778
18652060,9977784780681125750630,5013721178913389955896,1630563778
18652354,9972837386741503266649,5016215904465151796634,1630564387
18652841,9967156029546854060020,5019083790574186410845,1630565402
18652903,9962214704575453349859,5021580780596761624891,1630565530
18653268,9957741369662523732492,5023843422716359134961,1630566288
18654986,9974016039814477917733,5015670535373516312004,1630569870
18655327,9990271984840722234032,5007533593952534546675,1630570572
18656844,9995059220551126197574,5005142376379364466605,1630573707
18656845,10004587775926234542542,5000389673130725379894,1630573709
18656851,10010879548490390933264,4997256383033512652302,1630573721
18656855,10011320897464388167475,4997036739922592561211,1630573729
18658564,10013771637616342746628,4995817448264071177690,1630577275
18658571,10038827356747618748812,4983385795897176539646,1630577289
18658571,10041934276995333784251,4981848587308979489522,1630577289
18659242,10045420041612423434253,4980125068249511081251,1630578800
18661428,10046793261608734154196,4979446414521486044911,1630583465
18662814,10051409641911251779566,4977166327480551199807,1630586465
18663125,10060450469850656315956,4972707001095333612012,1630587244
18664483,10070771049573137320157,4967626217067749307173,1630590173
18664498,10126667188037815574346,4940288230282513497963,1630590203
18664498,10124133706460446547022,4941528216927699067516,1630590203
18664501,10107839616803348363661,4949518133243400880636,1630590209
18666030,10102683532038017241695,4952051809146326326196,1630593828
18666343,10094092041581169476438,4956279383678401833768,1630594733
18666741,10092217054977477838854,4957202958761894564202,1630595553
18666743,10090940198584671378445,4957832105522295611427,1630595557
18666747,10088404539112382056842,4959081976252215032002,1630595565
18667975,10088064858224242534201,4959249458729387015697,1630598388
18670939,10162802960614736433663,4922887333685160066261,1630604827
18670939,10137903671347746159761,4935014617138448043922,1630604827
18670942,10129615108649085006863,4939064846037815412152,1630604833
18670999,10128175773080028182601,4939768858582515705250,1630604951
18671004,10125386099863689771300,4941133923199535301133,1630604961
18672133,10124051608475899423475,4941787193466013177955,1630607344
18672184,10120993560533575009141,4943284842402696932226,1630607548
18672936,10105256108746828053139,4951006447121620940931,1630609114
18672938,10008019171407845645249,4999254687190742658458,1630609118
18678067,10008908188478195699486,4998811972502489659192,1630620084
18682862,10007245493772959003732,4999645019690900103773,1630630585
18682949,10001853897420495612321,5002348236481231346112,1630630767
18687221,9810889089041367716449,5100009814801899391304,1630640610
18687223,9833394901672741793449,5088372296671704997549,1630640614
18687224,9850003705680030925145,5079818120287761667246,1630640616
18687225,9853373391898980746743,5078086118691405047748,1630640618
18687227,9861264771531545650488,5074034611821351209686,1630640622
18687228,9863299455748866998564,5072991036861004259934,1630640624
18687382,9867275322413713245093,5070953083018885754555,1630641072
18687511,9867575872590724313674,5070799093449650059997,1630641338
18687779,9870712496513735686914,5069192574234466432605,1630641890
18695823,9870972283924210764813,5069059561827914870110,1630659777
18696095,9876054390879834809938,5066458901991201324936,1630660337
18696098,9877652348877259931387,5065641733681585859831,1630660343
18696228,9879476979448588242664,5064708971641513502523,1630660612
18696344,9962848350625294798117,5022452427074742837669,1630660852
18696352,9967930231445901026709,5019899542726931300210,1630660868
18696399,9971341333492031571152,5018187432351573023995,1630660966
18696403,9973776138470214491365,5016966063276231586699,1630660974
18696863,10014961293669144116910,4996396119184165235026,1630661927
18696891,10028646341394581778379,4989598484852934145781,1630661983
18697373,10035760514448675558979,4986072050388654567163,1630663169
18697418,10042240717362701898074,4982864211657879736570,1630663263
18697440,10047253362985668015632,4980385679779037375129,1630663307
18697498,10047134449399364442523,4980444802863144032407,1630663427
18697499,10032090645288463464094,4987935792480079169908,1630663429
18698879,10026903720451316355758,4990523819498669705491,1630666658
18699040,10023469327954749660148,4992238893388632414128,1630666992
18699268,10019396438041124529413,4994274347482689222749,1630667464
18700098,10012150213173046680313,4997899795542654746835,1630669339
18700136,10011741341469176896150,4998104520043770102199,1630669415
18700160,10003673112291354936323,5002147754348941484837,1630669467
18700168,9979953057560853618846,5014072484109343388242,1630669483
18702532,9981954541836907738191,5013070126660117875115,1630674968
18702570,10000435042428032159277,5003833865939153038363,1630675045
18703848,10005392879342312821090,5001361818639960095734,1630678218
18703849,10006394530982948469038,5000862678326366688258,1630678220
18703890,10021848024868599095913,4993174543897022968878,1630678306
18704036,10027276388042051652915,4990479545438738619986,1630678606
18708333,10025822876951337609876,4991205225922881280334,1630688754
18709245,10021565640110349742492,4993331907678660198119,1630691018
18709427,10016137339751738864796,4996046214108461834525,1630691522
18710005,10011185177000788171404,4998525009632448961253,1630692982
18710049,10004654228769009850549,5001797820200281030887,1630693142
18711152,9987290059278659858952,5010520246885130896277,1630695835
18712377,9971007123712942664488,5018727188444162406551,1630698809
18715868,9957694944608574478449,5025456780911894973564,1630707292
18716223,9951351304081879053247,5028669974495152174435,1630708150
18716801,9951016958354766899693,5028839441942188511595,1630709478
18717694,9947152091501347275584,5030799226765434298800,1630711568
18717732,9941077925042947455927,5033882379491706684689,1630711648
18725549,9858124701155280720006,5076368479491706684689,1630729461
18725553,9865831766633818633350,5072414770885177619041,1630729469
18725609,9868995621663675302105,5070793506084467503476,1630729585
18727635,9865776386475222070622,5072453101420526986000,1630734193
18728586,9877939205417338273857,5066226046503966128601,1630736371
18728888,9893932340527548762606,5058061228703481857115,1630736992
18728890,9910143476674137321028,5049811970774916494256,1630736996
18731006,9916280900288036641499,5046695891832187895871,1630742006
18732035,9921025006524274280950,5044289863272019450519,1630744388
18732277,9925494788784100721287,5042025062618742003010,1630744885
18732525,9928290291780732445240,5040609640361677940567,1630745397
18733165,9931487546990305470444,5038991777727514677148,1630746977
18733539,9935521109481880377541,5036952213076386152433,1630747877
18734027,9941319463850953666744,5034023178673406708339,1630748885
18734027,9944004962456179853893,5032667757330681841359,1630748885
18734734,9953278024368786904025,5027993079811173522649,1630750473
18736439,9959857515769842927998,5024681540701904732399,1630754385
18737356,9968529607859842927998,5020323436484794553757,1630756433
18739182,9960780612327478329812,5024240752201938087876,1630760560
18741968,9949402477762109042315,5030003761890625526492,1630767623
18743914,9954657357213665617299,5027356477508329156459,1630772368
18743997,9959688642277091972813,5024824448597889440144,1630772538
18745330,9958387928955390234303,5025482740152132401267,1630776100
18745404,9955736437752782232605,5026825194194967559666,1630776252
18745406,9952492584931201440197,5028468536000209341584,1630776256
18745481,9948161637286800587743,5030664274816215962368,1630776414
18745484,9942180003579407355938,5033700041358179646487,1630776420
18753457,9925891633517536081435,5041985189386684894853,1630794993
18753702,9921608978109937505723,5044168107435772087528,1630795529
18754577,9925182435392731410379,5042357454238288558105,1630797499
18755135,9927818810536350814646,5041022450444235483962,1630798739
18755182,9932991955415083222823,5038404936366532440895,1630798931
18755491,9933546026182101689767,5038124748561757084928,1630799859
18755696,9940231799009233047847,5034746278651488437970,1630800281
18757393,9936271160918860186768,5036759187719047856916,1630804456
18759920,9938841228184812893586,5035460647456576705663,1630810439
18760454,9941957274626234568970,5033887147257279290833,1630811706
18763189,9945580315682922320630,5032058869251930095220,1630818163
18763236,9948279740445263490552,5030697535965969470444,1630818261
18764910,9940379502039779974210,5034707775189850981473,1630822228
18766940,9936168088821887136842,5036848141152915700882,1630826699
18767174,9932651171782901365514,5038636936428375059078,1630827183
18768641,9912114832726144638995,5049107609721616379265,1630830340
18768671,9906252806807450264365,5052104409968490318950,1630830400
18768696,9896033219336689474674,5057337393642060697880,1630830450
18769026,9848943528678145720286,5081590253644016044240,1630831134
18769026,9864898047356833895382,5073396403546618776113,1630831134
18769028,9869238393763270006432,5071171888842993755188,1630831138
18769043,9869566348041210520758,5071003885175518128646,1630831168
18769687,9897742889712278540795,5056611117002957620267,1630832801
18769724,9920980162798387562460,5044802790697155467882,1630832949
18771093,9921517915425125902981,5044530179404501817001,1630836173
18771991,9924253420220204520434,5043143883702517805636,1630838409
18772073,9792094083969999466603,5111413658761171296583,1630838745
18772075,9823550440949108171427,5095095156170353384560,1630838757
18772109,9827886770834872764760,5092853803473919217616,1630838909
18772119,9828357681343886983522,5092610519299389013341,1630838929
18772120,9833874591172429899813,5089762076044200274519,1630838931
18773915,9837183762495442554378,5088055044502358517651,1630844305
18774511,9843720743128274564239,5084686318117075044549,1630845917
18774585,9859979524558274564239,5076326949965240124012,1630846318
18774613,9895754314477025930602,5058030044590146712965,1630846402
18778428,9894068272497736363053,5058894573910996010217,1630857473
18779087,9889781610970099596001,5061093916895845239274,1630859091
18779580,9885952079632648450947,5063060337268172807684,1630860361
18779622,9884636252391770134765,5063736351945996266609,1630860449
18780278,9932433397556931499584,5039441245286920637573,1630862187
18780279,9904933667591210769736,5053474683461378200630,1630862189
18780280,9900568255659279646330,5055709593493557689783,1630862191
18780281,9896058862442178983547,5058020289419590119621,1630862193
18780929,9889953791984756715666,5061152001493937189144,1630863539
18783002,9888984597288682960558,5061649524938585154195,1630868675
18783695,9867812540950852330721,5072542313227472221203,1630870233
18783718,9856685756917627805746,5078285715925041292729,1630870279
18785006,9872955147855390919989,5069942402322628149438,1630873285
18785008,9877774355845043122995,5067476275603356535957,1630873293
18785013,9915597743145804138418,5048203983378881210019,1630873313
18786379,9917339797333091537649,5047319888757494581632,1630876689
18787277,9924538537560679454750,5043669802621852605068,1630878776
18787591,9932178166082252513525,5039801944394675078909,1630879680
18789892,9931666077384699596647,5040062584590149185999,1630885454
18792192,9928320748895519963308,5041765933985947649777,1630890969
18792192,9927009161661898600699,5042434072149913796494,1630890969
18792790,9922850472555453239095,5044553726653230297481,1630892329
18799172,9977198444627797431946,5017157206856265218854,1630907694
18799173,9992051317301406380891,5009721699517279534261,1630907696
18800579,9995744806941451066941,5007876127632723711366,1630911108
18800585,9999326655204052313043,5006087641279113579472,1630911120
18801070,10007909270067092414491,5001807373015197633823,1630912699
18801373,10007336311538338410062,5002094607445890655137,1630913487
18801669,9999615828640891971667,5005968235283468938267,1630914099
18802281,9999024956600379462904,5006264942916451229622,1630915489
18802675,9992231249638222718735,5009678938895603022741,1630916433
18802738,9985926302655510159711,5012851484091463006747,1630916580
18805262,9979338183345572689743,5016170806171176850996,1630922251
18805314,9976025291851595059719,5017841615256916581112,1630922359
18805407,9979245968652973532800,5016227026419661874364,1630922549
18806029,10009295935333366694179,5001212324368186702626,1630924078
18807862,10002197261039204701617,5004772422499491987717,1630927858
18807898,9996047113016586732353,5007860914279980332081,1630927934
18809748,10007450838519393153449,5002171439310641353248,1630931928
18810278,10012782830867280229022,4999515677356308033008,1630933020
18810570,10019607011306057878448,4996120802311723176904,1630933624
18811661,10021361194621914663396,4995248882435871866900,1630936132
18811807,10028589190280696341346,4991659404646299328195,1630936432
18811939,10035983630809037960119,4987992611264107629941,1630936704
18812629,10039433900760484977497,4986283519982497679545,1630938256
18812735,10048688625142595477661,4981704975610660492144,1630938472
18813618,10046118262691437382641,4982983411423211708714,1630940422
18813623,10035065723429334455929,4988488142766490238675,1630940432
18813699,10030132264563197141184,4990949182568320742282,1630940592
18813718,10035893763453874111860,4988092523043428397791,1630940630
18813756,10004317119316767018988,5003883822353216735239,1630940706
18813758,10018859923684670926235,4996642229149045615748,1630940710
18813759,10024200805709867874356,4993988006604889146690,1630940712
18813776,10085587972269405202819,4963682123075394105952,1630940784
18813795,10022972922791058576471,4994784313350216730459,1630940860
18813796,10039228336684758796223,4986721033985972172103,1630940864
18813852,10060232415209531592448,4976340765865678875167,1630941034
18813854,10069220961039884465933,4971911823801331401559,1630941038
18813976,10086719360173311043792,4963312402682585204976,1630941290
18814010,10106289542178651723792,4953730044046412152681,1630941358
18814077,10092318507365759454141,4960608244115697466177,1630941620
18814901,10108577288795759454141,4952653428064451109200,1630943452
18815404,10106043658156402322039,4953898816740195516453,1630944618
18815566,10110699904902594234667,4951624255383441493150,1630944954
18815687,10423472649087501300449,4803475363934064015908,1630945204
18815687,10116715694023923451904,4949563612422151428022,1630945204
18815689,10197230340892441912786,4910599479262861811537,1630945208
18818306,10184852872154266242174,4916585199759101742939,1630950992
18818324,10181796011629076584302,4918065738046762891410,1630951028
18818875,10177598022150998751237,4920100413862551722350,1630952290
18819876,10171757495718951585159,4922933989462359543497,1630954498
18819883,10167119789107823929157,4925186330681211076493,1630954512
18819981,10165016796496414711143,4926208345406988841385,1630954716
18820495,10157453084034260675686,4929887667454293672607,1630955909
18820934,10154260795368418368733,4931442185284905155821,1630956815
18822090,10148827562040256925974,4934090205341360817987,1630959395
18822265,10141600984681791514018,4937616658042974510795,1630959753
18824686,10141075656768294329681,4937873206062464730927,1630965390
18824687,10136865357985437802774,4939930299478420669523,1630965392
18824904,10120644396053396276937,4947871645186995028458,1630965842
18825324,10141944035342869926653,4937511463816693812769,1630966706
18827110,10155110671734512725778,4931128900290295491433,1630970827
18827208,10160084844654833739952,4928721957900496699858,1630971031
18829939,10158782830645828108319,4929355554943298213992,1630977412
18829941,10142507289173743341567,4937289504851336389571,1630977416
18830086,10140123611596786830583,4938453624707615157076,1630978102
18830088,10103713882282685653338,4956303378592715607730,1630978106
18830150,10084898206355673283514,4965578316889503627702,1630978234
18830169,10072531859696519904412,4971693049132970980447,1630978272
18830191,10071233196730183514840,4972336066870835155372,1630978316
18830211,10064501866298413201094,4975671666683076071045,1630978360
18830552,10064720698900648394301,4975563807482166500062,1630979062
18831707,10028801982208747063818,4993437689924399169799,1630981970
18831783,10033982085826796676091,4990867527371717031683,1630982126
18831880,10068205575910919772263,4973953467968713551483,1630982328
18831963,10068016737843835007867,4974047041318594671140,1630982498
18831965,10052386454472146591114,4981804373791307224618,1630982502
18831965,10035028380439381080133,4990447571403593198712,1630982502
18832359,10029764481157914743599,4993074578070527845132,1630983314
18833215,10021115197519581120134,4997397097750450773847,1630985721
18833315,10008929872045436166147,5003499462875818055580,1630985929
18833582,10005497789261269595762,5005220926117315184183,1630986479
18833900,10002716444481400611058,5006616860369369917760,1630987137
18834262,10000201722804447970253,5007879648130461001343,1630988013
18834411,9996144185755454775826,5009918514240161090030,1630988447
18835111,9999505488130758667246,5008239496372729813649,1630990277
18837314,10011505443675205632884,5002254525265862531018,1630995214
18837345,9985724954700163560981,5015207877582914507820,1630995338
18837602,9979498467612262495642,5018346421114500995175,1630995946
18837717,9982970395018607077350,5016606349581938823487,1630996184
18837756,9997426385649559911097,5009374211509633154100,1630996262
18837757,9988165811878953182912,5014032651117896199815,1630996264
18837757,10055095955809141845005,4980757002617746008668,1630996264
18838401,10116485815829080348145,4950622405813634887853,1630997726
18838403,10101891155931831558928,4957796316060273911033,1630997730
18838484,10074632834525405096207,4971250687174747055118,1630997896
18839383,10058305407406665520324,4979344691670917388617,1630999964
18839582,10055121712147924312378,4980926016869529023746,1631000377
18839905,10044486919380624550126,4986215536177742625124,1631001237
18840429,10027489100468313980972,4994693213624663755837,1631002505
18840904,9980496878384500258079,5018281015871775856024,1631003618
18843158,9971853431076649084313,5022643872298805570425,1631008889
18843304,9971553667619535935842,5022795316652197038628,1631009271
18843397,9909908621937775391310,5054133863251617076034,1631009474
18843419,9909770674265092724736,5054204430365488346581,1631009518
18843436,9899481142895646672236,5059473583356733795148,1631009552
18843566,9915626948928887749349,5051259820420429416636,1631009948
18844040,9931876484979146449697,5043020210467690425451,1631011057
18844092,9915575014226349135856,5051336018112928541563,1631011161
18844371,9929036610095067484102,5044508032141101964794,1631011779
