block_number,reseve0,reserve1,timestamps
15556519,1000000000000000000,1000000,1623349768
15556523,1001000000000000000,999004,1623349776
15556523,1000006989027851276,999999,1623349776
15561721,888093101173684157,1126394,1623361392
15649115,852769592988759604,1173192,1623550781
15659991,890580872285634604,1123526,1623574907
15660151,872362697388759913,1147060,1623575235
15706321,838161252937190379,1194007,1623676195
15731582,812458497225434180,1231894,1623731206
15737351,783552799185351752,1277476,1623744295
15737352,778377064166503248,1285996,1623744297
15788019,818522675989143205,1223103,1623859611
15788024,823217070750925131,1216150,1623859621
15872102,873784697704050131,1145968,1624043314
15995747,939916289500925131,1065564,1624318072
16045747,922008739837753855,1086322,1624428814
16132382,939895157291269700,1065710,1624622694
16167422,968001846744394700,1034857,1624705179
16253899,944961616712635634,1060165,1624895914
16285803,921747067753886493,1086946,1624967251
16364236,951747067753886493,1052784,1625141989
16401488,972917993108725953,1029943,1625223354
16423878,953120106153688338,1051401,1625271650
16498337,929615370615705328,1078065,1625435010
16528681,948615370615705328,1056536,1625500307
16555893,929119655425621890,1078772,1625561066
16630120,949119655425621890,1056107,1625723584
16653122,983292879723628278,1019510,1625784031
16806045,1013599855178694778,989116,1626154871
16834696,1043605219598472186,960761,1626225669
16915237,1070462203246357658,936727,1626420160
16935426,1090462203246357654,919598,1626467826
16944724,1117600823149094006,897333,1626490239
16986107,1088659275872530424,921260,1626585499
17013683,1119436442111823152,896006,1626650980
17034507,1151404921037223252,871202,1626700628
17053661,1185525254780796484,846202,1626745270
17057851,1221742479136111372,821191,1626755324
17066158,1254758886860827896,799647,1626775106
17070890,1218613144687130607,823437,1626785389
17076401,1186014483649377217,846138,1626797170
17098750,1151332764292969267,871703,1626846731
17101058,1117434963823259004,898226,1626852007
17108126,1097101066313624473,914924,1626868653
17114959,1065951097836558679,941741,1626884725
17120930,1085951097836558675,924448,1626898278
17125045,1065581355845909510,942173,1626907721
17168832,1030606468231967485,974243,1627017016
17185256,1062263282180520585,945294,1627056987
17196213,1046808549163097974,959292,1627081740
17225321,1016427034273786931,988052,1627147621
17257034,1047896065842060923,958467,1627222360
17274485,995337420735115350,1009231,1627264951
17281157,955357962234246566,1051592,1627282122
17302930,988628802828472346,1016305,1627336819
17307885,1017049389450930670,987989,1627351288
17321938,983586317277660572,1021703,1627386996
17478295,954397752099041681,1053044,1627779089
17558104,982195707711118629,1023328,1627961807
17701400,951804751318243675,1056101,1628301635
17717679,922358016129746239,1089919,1628338122
17760155,946408112808150659,1062303,1628436866
17854998,911397762749777169,1103233,1628654873
17863334,883805029468600319,1137780,1628674422
17865713,855778594155589807,1175154,1628680690
17887666,829444034390075784,1212577,1628735960
17892420,861844587000603712,1167123,1628746664
17943687,834651143109595339,1205263,1628870556
18043366,808602275440296067,1244207,1629113260
18062603,834862174380124155,1205186,1629156158
18101488,860968538721235379,1168749,1629247123
18175304,834541912273198279,1205870,1629416574
18197872,805070761088653240,1250146,1629471168
18219653,785900032766269128,1280733,1629521554
18353099,819170926270650116,1228866,1629828214
18423349,848093525742897400,1187080,1630001415
18482926,824910303770483072,1220542,1630147607
18540735,851725062500406828,1182228,1630295612
18650991,824371281909327619,1221574,1630561564
18734812,791836349839796883,1271917,1630750633
18755575,764998469167092406,1316673,1630800031
18839147,790465110397190001,1274377,1630999476
18855045,863855631742011185,1166408,1631037988
18938706,836253744139261737,1205023,1631239440
18948752,862248152149666409,1168801,1631265326
19048489,888693155823075109,1134123,1631507095
19132837,861453889836375248,1170092,1631703162
19164448,826690443633940266,1219444,1631779225
19182199,854443330907602612,1179951,1631826475
19290557,874982261544090399,1152335,1632094271
19304105,906035945574370757,1112955,1632123969
19327207,933328119863486621,1080506,1632178602
19363195,966637248440198361,1043381,1632262546
19378342,937423183447783219,1075995,1632298548
19406791,908220797395118673,1110696,1632368085
19453752,944402383715047903,1068267,1632476812
19528297,977030142391778551,1032696,1632643495
19535186,945462496769718345,1067280,1632659118
19617708,974658806599969629,1035403,1632851072
19662632,944840236127542034,1068178,1632964865
19718226,900156395079727471,1121362,1633091511
19772107,873158221433403531,1156139,1633209479
20134062,918089640587501864,1099719,1634035248
20234342,856492110047830651,1179047,1634277126
20259247,811881021486281809,1244028,1634339302
20599878,781260394789488494,1292933,1635175794
20634424,748945660780234089,1348887,1635258396
20751661,715467021120586694,1412195,1635536693
21056090,735985140119075726,1372941,1636214476
21233897,757070024044499629,1334816,1636606066
21426406,789590016692900221,1279999,1637040780
21780606,756674950446959024,1335846,1637835634
21887845,798157957460727872,1266615,1638077850
21962345,760500093573995706,1329523,1638250297
22005542,727737478440866870,1389558,1638345859
22041199,690637742365261991,1464427,1638429239
22127514,739603467599232007,1367746,1638626340
22154526,717656753644810817,1409699,1638684705
22238248,658840008014325584,1535926,1638877225
22329011,681287061250087883,1485468,1639078576
22424752,697359422009985403,1451333,1639287943
22469483,716917384611306959,1411856,1639384678
22494901,740131241821552535,1367703,1639444480
22542701,712555036851801954,1420793,1639550340
22559550,735110170234701638,1377327,1639587583
22573085,690510233534713376,1466556,1639617763
22778741,672405192471936848,1506163,1640068230
22813623,647082497926696023,1565282,1640144173
22883582,628205040057945106,1612460,1640298356
23009793,596461835797751540,1698532,1640578006
23055602,610827713214576893,1658702,1640678895
23096535,625562908063275340,1619746,1640766686
23453510,691477090772996836,1465765,1641588187
23687865,667592396839180684,1518364,1642115354
24007293,762279520545046396,1330255,1642814873
24135485,835952104402987564,1213341,1643092075
24218352,811236233102326691,1250419,1643270769
24251741,786281976730366430,1290223,1643343444
24296361,768285144793838725,1320537,1643442778
24346619,786890778953476150,1289406,1643554344
24364389,803156318539853094,1263370,1643593881
24397658,787164810303541378,1289113,1643667874
24480227,805362410825812942,1260071,1643846363
24548726,788973817763336580,1286324,1643996311
24563377,773867091375815920,1311510,1644028842
24643820,758499966265717788,1338161,1644210620
24664114,726043021681415245,1398162,1644254791
24672610,710845475657415768,1428144,1644273225
24697038,726003410761077165,1398414,1644327655
24748605,710859987611325429,1428294,1644438393
24797535,731495783115626054,1388119,1644546645
24827659,760521997673801266,1335293,1644614642
24911028,775762846769722113,1309137,1644797782
24987893,752349130049625698,1350001,1644966887
25193640,822037372703163685,1235869,1645448203
