block_number,reseve0,reserve1,timestamps
22022902,5000000000000000,126682000000000000000,1638386120
22022907,5085729559131898,124552834792688186284,1638386130
22022907,5085720891440814,124553047709208917465,1638386130
22023602,4959397886556761,127735139445378215030,1638388077
22025131,4837392959294119,130966468832618818562,1638391848
22025635,4690890339205467,135069030058866494020,1638393363
22026861,4572179934168573,138586465185371072475,1638396307
22030103,4720911518933850,134233007077122434990,1638404231
22031202,4884651830858222,129746378127720555799,1638406768
22031586,5034841725010619,125887294791952251544,1638407560
22031881,5215925917026603,121529453397070516235,1638408183
22032062,5086424918198101,124632918499290241667,1638408553
22034098,5220135414404122,121449857008517188362,1638413021
22034813,5379010985224134,117873133717400085099,1638414623
22035589,5195151994918840,122057274453211945670,1638416362
22035984,5042194004741801,125771096810645311855,1638417180
22039167,5187708660062891,122253519020243873420,1638424508
22046132,5230621382579769,121253519020243873420,1638441605
22048888,5219360780635244,121515906725926546543,1638448581
22051103,566199180665,13182113618423219,1638453180
