block_number,reseve0,reserve1,timestamps
15526864,60000000,90000000000000000,1623281147
15526877,55023398,98164561368000000,1623281173
15526884,49950245,108164561368000000,1623281187
15526895,45734680,118164561368000000,1623281209
15526912,10611357,510463181844022152,1623281247
15526926,2126925,2552859608282232404,1623281275
15526932,2705325,2008344950238267343,1623281287
15526955,3705325,1467517249972204115,1623281333
15526967,2141,847737277072551,1623281357
15527474,7,299218495230872551,1623282889
