block_number,reseve0,reserve1,timestamps
21673100,100000000000000,100000000000000,1637589675
21673255,104690570178210,95532427492195,1637589993
21673259,103835989490097,96321034847899,1637590001
21692176,101760396814821,98291593288200,1637632412
21692199,100214406904306,99812482962554,1637632504
21692200,101557498355469,98496377053835,1637632508
21741378,100531191828944,99504936165823,1637747672
21741521,97959061193943,102125518896910,1637747966
21741528,95862189995855,104366114740249,1637747980
21741529,94845066703489,105488710019150,1637747982
21741581,85828822992850,116603552405517,1637748090
21741583,90133474565431,111050636968197,1637748094
21741583,92733098061834,107946589010114,1637748094
21741634,178639562464470,207946589010114,1637748200
21757917,180895576532991,205360895384736,1637784994
21758283,183031392471785,202971619219574,1637785878
21771866,185030035304978,200785682893995,1637816571
21773873,183261314326551,202729368926053,1637821093
21774075,182324685529048,203773953344560,1637821509
21774802,180573013692134,205756636943332,1637823051
21775626,179053202676556,207508362995398,1637824841
21775674,178209321702650,208493941502807,1637824937
21775728,176344413883824,210705477150407,1637825049
21776223,170650433697618,217757102362529,1637826071
21776228,168251873041362,220870739284423,1637826081
21835982,170692803490398,217721597832669,1637963486
21836119,174730422908098,212705296335944,1637963816
21843546,175484207017155,211794360056615,1637979398
21963546,177205964942188,209742650116641,1638252775
22031711,175515324960399,211769061822748,1638407831
22047086,177934800038774,208898045605045,1638444495
22047659,199339636653113,186526926268412,1638445919
22047660,192725997495049,192947096878705,1638445921
22047661,192092417927549,193585410379389,1638445923
22047663,196177198503319,189566437133851,1638445927
22047668,194999067749086,190715191691229,1638445937
22048125,163369127481450,227750717308081,1638447007
22048126,170846456102682,217811494385891,1638447009
22048127,179663475828494,207152851490642,1638447011
22048128,174711550940020,213041941431121,1638447017
22048128,171392542440736,217179902460219,1638447017
22048128,169211043574672,219988249426663,1638447017
22083024,168633823726157,220743517096103,1638523229
22121451,159895850691869,232842985944744,1638612162
22121452,151084814383374,246462894044692,1638612164
22121452,156306007988659,238254005647088,1638612164
22121453,157857987561150,235918571545129,1638612166
22217525,156034234277053,238684323095811,1638830866
22277623,161274051651590,230951945739613,1638966935
22277624,159553722880745,233449592276175,1638966937
22314934,161195331585983,231079208132687,1639047979
22327995,163350000623090,228040180525460,1639076224
22344271,172682417328212,215750999100250,1639111524
22344273,146810485418839,253886498862571,1639111528
22344273,154436760387015,241385034572239,1639111528
22344273,150326826662737,248004356627075,1639111528
22344273,140280567678322,265818748715754,1639111528
22344277,142555807646718,261588714737593,1639111536
22393966,143873200178979,259200565921678,1639219227
22478645,146287215379699,254935888060227,1639405510
22566301,144391068567660,258293785660803,1639603725
22580628,145712954404161,255957549611411,1639633724
22726459,132767467276458,280989777977219,1639953873
22726690,133692120832348,279052161040308,1639954351
22726692,134549081849966,277280138773001,1639954355
22739071,135090883093945,276171390124097,1639982143
22749654,130705421188288,285465445796473,1640004949
22835826,129828930305713,287398456737626,1640193586
23166885,131246881602660,284302705986537,1640921480
23211087,124396814418202,300005300172339,1641016383
23211091,126812299420597,294307701288076,1641016391
23235540,125739512475336,296826237363908,1641070676
23249477,114682998852276,325529171414265,1641101309
23249715,115831080074266,322312212659544,1641101797
23268895,130298337498948,286620783352291,1641143684
23268896,126257317400972,295822036368800,1641143686
23268896,128552545879994,290555874725665,1641143686
23268897,128313090900170,291099735089747,1641143688
23392715,134131279372338,278508996543498,1641447246
23481680,119617975811245,312402300028236,1641649677
23481682,124111948083238,301123228372874,1641649685
23481683,122134257292148,306013916790460,1641649689
23607074,120802634340279,309397297636244,1641933600
23671762,118653574262841,315017980594420,1642078603
23801533,116644116087097,320461206010005,1642368510
23841213,117640645765216,317754665727611,1642455316
23913134,121945264924491,306570518357038,1642610007
24009590,124342619768312,300677158308845,1642819611
24016999,145629206804075,256839875204485,1642835778
24019781,143784871275849,260144285992130,1642841824
24053208,142552342107697,262400300985091,1642913936
24063537,142541404862158,262420495624262,1642936407
24071060,118676783928620,315349212387359,1642954667
24071064,123933357963448,302012255658708,1642954675
24078757,122601700173238,305302480295235,1642970733
24206779,122273611286423,306124143719644,1643246495
24296191,122015659756402,306773263675281,1643442426
24623462,122658574257982,305170111296955,1644165280
24669951,121874937384891,307138211903520,1644267483
24802612,122299761947883,306074515861429,1644558440
24831734,122616896353962,305285258317779,1644623146
24840866,103613548771521,361444888407795,1644643154
24840866,99818647204836,375227634789460,1644643154
24840870,102703027873457,364720219549510,1644643162
24840870,104562789212792,358252395027790,1644643162
24840910,144239695674453,259920183395959,1644643246
