block_number,reseve0,reserve1,timestamps
24834657,18500000000,15176650951,1644629449
24844569,18499630118,15176955307,1644651179
24859235,18499159199,15177342818,1644682948
24862618,67253831003,55177342817,1644690365
24870314,66706237506,55631658220,1644706906
24871905,66711312126,55633700273,1644710385
24871925,66761312126,55592159056,1644710425
24872178,68888697475,53880382292,1644710947
24872394,68890378494,53879071482,1644711395
24872445,68888707560,53880382282,1644711497
24872468,68897112634,53873828885,1644711547
24872501,68946999562,53834965079,1644711613
24872817,68956974631,53827200866,1644712267
24872819,68965450181,53820605584,1644712271
24872905,69134666199,53689266941,1644712471
24872905,69842645229,53146647244,1644712471
24872905,69670987340,53277985885,1644712471
24872906,69668864876,53279613885,1644712475
24872909,69667561215,53280613885,1644712487
24872925,69688070115,53264980656,1644712551
24872944,69773149411,53200225541,1644712627
24873070,69786306547,53190225541,1644712917
24873073,69794837669,53183743527,1644712923
24873244,69722949928,53238743545,1644713277
24873295,69698632324,53257374245,1644713383
24875276,69865490334,53130561657,1644717752
24875276,70333772093,52777872936,1644717752
24875276,70165686528,52904685524,1644717752
24875381,70215686528,52867125481,1644717966
24875614,70390860202,52735954833,1644718448
24875614,71019064449,52270862246,1644718448
24875614,70841824389,52402032892,1644718448
24875615,70841824388,52402032893,1644718450
24876152,70898725079,52360103029,1644719673
24876210,70951004290,52321637910,1644719807
24880166,70956915362,52318587640,1644728442
24880344,71040915362,52256910611,1644728810
24880443,69710913644,53256910611,1644729012
24880850,69885720618,53124096355,1644729854
24880850,71239620618,52117451065,1644729854
24880850,71239620617,52117451066,1644729854
24880850,71059079444,52250265322,1644729854
24884178,69460393011,53456465519,1644737376
24884437,19612132978,15093426122,1644737910
24885685,19612132978,14762698355,1644740612
24885685,19620596400,14756349503,1644740612
24885887,19620596400,14740851824,1644741028
24885887,19654459768,14715530348,1644741028
24886854,19647803923,14720530348,1644743026
24887169,19816865725,14595319990,1644743806
24888775,19866204643,14559180108,1644747141
