block_number,reseve0,reserve1,timestamps
15555891,2891550000000000000000,111111000000000000000000,1623348344
15557839,2894444438661338661338661,111222221999999999999999986,1623352748
15558294,14003026918921994004808751,538081763755889289781710575,1623353686
15628068,15003026918921994004808751,576507867402722303217411152,1623505575
15633898,14882645517309851461324044,581185103986745385009498426,1623517855
15671655,22598745429553667142813873,882508032403852667706459633,1623600635
15673199,22467357242487489995430135,887684432515592137379030225,1623604075
15682572,22428751976314448121166723,889216948059226155905494758,1623624049
15682700,22391042809945839355017145,890719000808616457142941890,1623624313
15683294,21406012856715379392365685,931830111808616457142941890,1623625665
15683317,20381106842793180871997555,978830111808616457142941890,1623625711
15683337,19431100567408279171359848,1026830111808616457142941890,1623625755
15683338,19506895369672307174626301,1022852246384032115168353947,1623625757
15683360,18617685987979016235260311,1071852246384032115168353947,1623625801
15683360,18641277632027020071919701,1070499818046531861235515058,1623625801
15683364,18800036690766832563697319,1061486751510080710382724709,1623625809
15683435,17860605890826996714734980,1117486751510080710382724709,1623625955
15683436,17881378241555298921403731,1116192485005641004304262874,1623625957
15683437,18096429154463174572827156,1102967410136272355259642478,1623625959
15683457,17209720104985987609300602,1159967410136272355259642478,1623626003
15683520,16367070270077866088455208,1219867410136272355259642478,1623626133
15683522,16407233633747064241030903,1216890226029686939735974645,1623626137
15683582,15601924761013844169809595,1279890226029686939735974645,1623626257
15683584,15623443406521588322256667,1278132675386309767126428589,1623626265
15683654,14869516200131774224820526,1343132675386309767126428589,1623626409
15683713,14947420079506020727280591,1336153345790648614548492199,1623626531
15683720,14991742949205618574902508,1332214843904016772714984199,1623626545
15683725,15134559781156035364125901,1319680796773809607580115906,1623626555
15683733,15235595971625309162419967,1310955299011779033764629744,1623626571
15683736,15280446012164374635564096,1307118989178940875421737268,1623626577
15683736,14537520654751627092411721,1374118989178940875421737268,1623626577
15683742,14597651880959185882222124,1368475575011844970510831356,1623626589
15683750,14679137788648920733871224,1360901643009512171469247701,1623626605
15683779,13943646906778348369534500,1432901643009512171469247701,1623626667
15683780,13967873153951282425445177,1430423823545284905837477007,1623626669
15683781,14135422342015003160726280,1413519068772241728161613827,1623626671
15683828,14262393008791707150596307,1400972660097699716080351207,1623626765
15683828,14191696518543277529668226,1407972660097699716080351207,1623626765
15683828,14271448024236154841937630,1400128119554232532396412100,1623626765
15683852,23114149037206923856998029,2267658472469050288475457882,1623626817
15685049,23248485256723846388712135,2254594393586877301289001661,1623629399
15685539,23339029318401028221659818,2245873804592173725310513493,1623630423
15686411,19284044828239094971657926,2719549669051840637112141114,1623632351
15686416,19370998583867947216433169,2707378442764668964535181613,1623632361
15686416,19461750780203147333288519,2694791349853189510836776377,1623632361
15686998,19515421786254173522009875,2687402349622485448416074072,1623633561
15687006,19583988191674245483423052,2678021489589714624541069847,1623633577
15687158,19642580729861536589518937,2670057019834289381227543917,1623633999
15687162,19700660409112696639099038,2662208948177902801646260972,1623634015
15687329,19758902071163774869707753,2654385249984231862279038770,1623634371
15699259,19365287570107191355534037,2708500034859145499293498554,1623660851
15700564,19467919042005737782221719,2694263906395406264250181807,1623663673
