block_number,reseve0,reserve1,timestamps
19648846,94000000,1000000,1632932231
19649026,1034000000,11000000,1632932696
19652648,1024712380,11100000,1632940635
19653704,1006629328,11300000,1632942943
19654038,1034000000,11001756,1632943631
19654419,23444,250,1632944417
19760791,46888023444,500000250,1633184348
19767522,46889319590,499986471,1633199096
19795285,46796005830,500986471,1633263155
19797708,45829247873,511586471,1633268565
19804231,45830557552,511571896,1633283625
19807150,44902939654,522171896,1633290398
19819797,44012180257,532771896,1633320160
19821793,43331046639,541171896,1633324860
19849425,43251364729,542171896,1633390617
19858458,43247392324,542221846,1633410324
19859182,43168017961,543221846,1633411817
19859323,43088934861,544221846,1633412107
19862718,43010141422,545221846,1633419525
19862738,43010270629,545220214,1633419569
19863354,42931764792,546220214,1633420992
19863705,43769655771,535794586,1633421846
19864018,43769656771,535794574,1633422496
19864018,43769655794,535794586,1633422496
19864179,43852621842,534783936,1633422826
19866499,43770151910,535794586,1633428192
19866896,43688856222,536794586,1633429012
19866959,42858946697,547220214,1633429142
19871403,42859076487,547218562,1633439013
19873699,43742959613,536193807,1633443791
19874394,43661774809,537193807,1633445225
19876116,43652052933,537313807,1633448790
19878518,42776976101,548338562,1633453871
19880108,42763757937,548508562,1633457285
19880411,42755986369,548608562,1633458039
19880426,42741242930,548798372,1633458069
19880586,42728060062,548968202,1633458401
19881860,42714872152,549138202,1633461159
19882419,42707893619,549228202,1633462342
19882727,42696279425,549378052,1633462978
19884171,42687766370,549487942,1633466086
19884834,42675389810,549647782,1633467452
19885296,42666876583,549757782,1633468532
19885661,43166876583,543408846,1633469672
19885852,43158166464,543518846,1633470066
19886197,43139193757,543758606,1633471165
19886309,43239193757,545019080,1633471397
19886765,43318913942,544019080,1633472613
19886807,46318913942,508882736,1633472809
19887244,46308943820,508992626,1633474168
19887284,46298968022,509102626,1633474248
19887453,46208475756,510102626,1633474598
19888001,46194044337,510262466,1633476133
19888086,46285025014,509262466,1633476399
19888108,46194588339,510262466,1633476531
19888169,46184661935,510372466,1633476817
19888177,46168444165,510552286,1633476849
19888236,46154037943,510712126,1633476999
19888420,46144128982,510822126,1633477621
19888421,46145034338,510812134,1633477629
19888621,46129743567,510981964,1633478197
19888704,46113564396,511161784,1633478371
19888785,46023796877,512161784,1633478537
19888878,46008586455,512331614,1633478727
19889259,45988917316,512551394,1633479793
19889263,45981769080,512631314,1633479825
19889268,45979089066,512661284,1633479865
19889269,45969255189,512771284,1633479873
19889516,45921088934,513310744,1633480533
19889600,45911289693,513420634,1633480747
19889972,45902376014,513520634,1633481829
19890007,45888135583,513680474,1633481969
19890027,45873014817,513850304,1633482009
19890202,45857904028,514020134,1633482377
19890204,45827712325,514359794,1633482381
19890461,45813518245,514519634,1633483295
19890465,45798446680,514689464,1633483303
19890713,45784270747,514849304,1633483816
19890716,45774529892,514959194,1633483822
19890724,45760354611,515119194,1633483838
19890763,45750623944,515229084,1633483920
19891058,45741781479,515328984,1633484832
19891431,45728524197,515478834,1633486064
19891659,45713508577,515648664,1633486536
19891952,45703788133,515758664,1633487138
19891969,45694081542,515868554,1633487180
19892008,45679088563,516038384,1633487336
19892139,45665854415,516188384,1633487828
19892146,45642052283,516458384,1633487870
19892340,45641171201,516468384,1633488322
19892417,45623556692,516668384,1633488484
19892487,45536564810,517658384,1633488628
19892732,45521675158,517828214,1633489130
19892834,45434285782,518827214,1633489342
19892987,45419463031,518997044,1633489656
