block_number,reseve0,reserve1,timestamps
16211751,50000000000,5000000000000000000000000,1624803544
16211776,51900000000,4817484771930635927259834,1624803598
16211798,59900004112,4175753933863516753058736,1624803642
16211819,159900004112,1567215985994565759056045,1624803684
16211828,163400073380,1533744398370014400251802,1624803702
16211847,164600073380,1522596092695362859741006,1624803744
16211867,169580073380,1478012747019831988876865,1624803784
16211895,170580073380,1469373961750629755053722,1624803840
16211904,178080073380,1407667831590459569354575,1624803862
16211920,184080073380,1361918760019427757999897,1624803894
16211939,185080073380,1354582178675549099598746,1624803932
16211950,185080387320,1354579887877669957787703,1624803954
16211967,186080387320,1347322068065897049518377,1624803988
16211975,187080387320,1340141723497774612055796,1624804008
16211975,187084204824,1340114459578204873896925,1624804008
16211982,188726872457,1328484871054881889323239,1624804022
16211994,189126872457,1325683560372445884994917,1624804046
16212024,189336582770,1324219625601927353711711,1624804106
16212032,190836582770,1313842070521346275392666,1624804126
16212048,190936582770,1313156029856205812924153,1624804158
16212081,191936582770,1306334833987968870537787,1624804224
16212094,193436582770,1296235042287168339236714,1624804250
16212116,193831528244,1293601778951155561337123,1624804298
16212125,195831528244,1280429635511232850188018,1624804316
16212139,196224698176,1277871755819551385613457,1624804344
16212144,198224698176,1265016882366383371488192,1624804354
16212158,198228887043,1264990230898354189572843,1624804382
16212159,198228746917,1264991127799531896362619,1624804384
16212159,202228746917,1240043715210923849732591,1624804384
16212168,202528746917,1238212376553718905308317,1624804406
16212168,202773746917,1236720797653255094092929,1624804406
16212189,203230712315,1233948347613578810454285,1624804448
16212197,203354520311,1233199337303718247412239,1624804464
16212201,206354520311,1215323983323093001998452,1624804472
16212228,206654520311,1213564984846004197115561,1624804530
16212229,206759188527,1212952480946422774737510,1624804532
16212232,207413301959,1209138666879706476004465,1624804538
16212245,209413301959,1197625111816425108333975,1624804564
16212327,211477309182,1185971079844186196760638,1624804732
16212341,213477309182,1174893121207631816497351,1624804760
16212357,213769716020,1173290847723170071334808,1624804796
16212358,213774716020,1173263487821142409021460,1624804798
16212361,213774575067,1173264263748411675497353,1624804804
16212390,191499125425,1310150684800434730052479,1624804862
16212410,192639964425,1302414940744058134169057,1624804902
16212473,192437631892,1303788444736961842487263,1624805032
16212476,192437395204,1303790053155004214836026,1624805038
16212487,192436509626,1303796071155004214836026,1624805064
16212499,172634701519,1453796071155004214836026,1624805088
16212612,172784701519,1452537766647910157744290,1624805322
16212614,172784483611,1452539604038237815141165,1624805326
16212632,156655598274,1602539604038237815141165,1624805362
16212723,147049661676,1707539604038237815141165,1624805548
16212731,147249661676,1705227308169117721989509,1624805564
16212736,147260039126,1705107500872920013591974,1624805578
16212758,147982891292,1696803425817722169646100,1624805622
16212763,152095681585,1651054425817722169646100,1624805632
16212787,152196130413,1649968003518204185756443,1624805680
16212788,156196130413,1607837779527899820102897,1624805682
16212790,157196130413,1597640042120561149695280,1624805686
16212800,157093930234,1598682542048134035336991,1624805710
16212806,158134860434,1588190501600457161154033,1624805722
16212809,158634860434,1583199666363267421228617,1624805728
16212825,158689634543,1582654840068739911906769,1624805760
16212825,158693634543,1582615067660743592324205,1624805760
16212833,159108657990,1578499282723033605110390,1624805776
16212843,159625805298,1573400635837518669832373,1624805796
16212908,161010319898,1559911332833231755015964,1624806020
16212927,161026926302,1559750944674385637853616,1624806096
16212972,161037309768,1559650675754180338583767,1624806190
16212987,161137309768,1558685676015159664691348,1624806220
16212987,161237309768,1557721871475976544937018,1624806220
16212991,161242500928,1557671871475976544937018,1624806228
16212992,162242500928,1548099610423775999700747,1624806234
16212992,161373542438,1556460845646943428108115,1624806234
16212998,162420184649,1546460845646943428108115,1624806246
16213016,162450184649,1546176114240703002077431,1624806282
16213016,163446775838,1536776657628674795492433,1624806282
16213016,163945055126,1532119891937481318305850,1624806282
16213038,164445055126,1527475369593351597795885,1624806326
16213042,167527958361,1499449057835099801180615,1624806334
16213043,168027958361,1495000500372055094217088,1624806336
16213051,168444958360,1491310573504022670232128,1624806352
16213061,170495115276,1473431126426008807510336,1624806376
16213090,170548165126,1472974182916787919107987,1624806434
16213103,172048165126,1460170265440728787659919,1624806460
16213122,172148165126,1459324603048355305719318,1624806502
16213135,172139446776,1459398735897701463093162,1624806528
16213144,171974374808,1460803774964096440968201,1624806546
16213150,171975412161,1460794989853020442496681,1624806558
16213153,171964914410,1460884433719227691555197,1624806564
16213155,172027026416,1460358549227701389302166,1624806568
16213159,172018218537,1460433549227701389302166,1624806576
16213165,172142544648,1459381945708802265089256,1624806588
16213223,172342544648,1457693437664119991117085,1624806708
16213225,172749003032,1454273919153499580070372,1624806712
16213248,173047934415,1451769259521467711046822,1624806762
16213252,172930129453,1452761222252559576492847,1624806770
16213280,173008304653,1452106748797528531626865,1624806826
16213296,173014279933,1452056748797528531626865,1624806858
16213298,173025421859,1451963524485984221602080,1624806862
16213343,173075421859,1451545322735276629125804,1624806956
16213351,173283042114,1449811355142285541659915,1624806972
16213357,173327042114,1449444416595434675929946,1624806984
16213424,173456659512,1448364550220637433009299,1624807122
16213445,173956659512,1444213999410242061260464,1624807168
16213501,174026659512,1443634824834759552789535,1624807280
16213559,176526659512,1423250296544185951651122,1624807400
