block_number,reseve0,reserve1,timestamps
24765837,21763296064452922798,102233780972502696770,1644475528
24766878,21389566377059226171,104025438018292489976,1644477778
24771964,21206469172622667470,104926298928862529973,1644488877
24784433,22418518375496161741,99269596913782981040,1644516384
24784664,23292423965301748980,95555868563889807057,1644516862
24784906,22463433434694780594,99092873279769670982,1644517376
24802359,22094122869367002756,100754227466969491297,1644557918
24805773,22381268961002188938,99465404238184547377,1644565475
24806870,22889968961002188938,97261398605782704042,1644567993
24813544,22527040888089792638,98833070067760648119,1644584585
24821405,23061959845159575408,96547368936335892579,1644601461
24827613,23579388899039705578,94434938294715340798,1644614546
24831807,23372673416139872315,95272664610158404895,1644623313
24832339,23070069904049039577,96526089190822413707,1644624413
24866925,23676492304710333975,94061008642808803987,1644699577
24895716,24163319193353607443,92171499460648389255,1644762435
24905018,24767701347218502011,89928911248561602111,1644783442
24908702,25105506299969985404,88722462010209183607,1644792211
24923766,25382381821852059050,87757533485967837085,1644825797
24923873,25717460158899024986,86617507322741223265,1644826019
24933873,26470448005867382306,84160736878277333085,1644847898
24943158,27788084613375945820,80181465933196942713,1644868042
24953644,27318864579481544984,81562780955539812362,1644891565
24956027,26900567082057983372,82834879330090853211,1644896919
24961268,3382686889448556,10416303100384861,1644908751
