block_number,reseve0,reserve1,timestamps
18584214,2867917124518464,22560948050000000,1630400084
18670000,2786541101053077,23221783295149325,1630602758
18677961,2738306466971878,23632060460012543,1630619868
18691492,2313853784558620,27980163240997075,1630650110
18794702,2146385282557132,30169842675092038,1630896799
18815649,1989245043305513,32560278080471021,1630945124
18834716,1861154100867263,34807929891024123,1630989079
18894841,1744739530033034,37137414137628831,1631135703
18920206,1322977984661487,49012338854322756,1631194163
18927609,1434649823868813,45207819722350126,1631212154
18943572,1323222214710394,49026193447919253,1631252144
19004232,1426301120698134,45492929519280498,1631397599
19035749,1324605275000810,48996133920907673,1631476858
19044906,1434383095615528,45256697593270008,1631499047
19155888,1585230134724664,40961862568618998,1631757905
19237362,1469303314017213,44203444516808333,1631964870
19253418,1605045008364849,40475344776370811,1632004172
19275955,1761836074717493,36883169712658500,1632059952
19289412,1592254255121577,40823203547755005,1632091496
19390959,1380779656463965,47094332825211589,1632329976
19397044,1486103458109457,43765947204216311,1632343864
19515701,1367860192180534,47560633506644382,1632614987
19602855,1463642040439037,44456957370357391,1632812869
19727509,1296691698405440,50198058019465412,1633111631
19805999,1403323421613733,46394327514549187,1633287765
20260316,1235044315833550,52734738065866629,1634341764
20324379,1089126408412533,59821240475600225,1634505395
20472500,957185509262947,68091965464973603,1634870141
20923574,791545051810718,82383915683080036,1635917017
22632928,552077849972775,118225977797741160,1639747913
22632928,733962931410984,88994281638210758,1639747913
22642239,796834875939279,81991853977108760,1639769296
22977599,860529367879620,75939859908891955,1640506048
23782621,977660618660570,66865714534109866,1642326319
24169190,1196143823874651,54682234680130600,1643164026
24406975,1118780527014268,58474870710256676,1643687993
26883304,929044823496861,70452931312336228,1649405514
