block_number,reseve0,reserve1,timestamps
18085114,6500000000,1000000,1629208964
18087949,6563735148,990319,1629215384
18092589,6638063946,979263,1629225928
18092613,6709314937,968895,1629225980
18134936,6754949714,962369,1629323689
18136053,6816413584,953718,1629325991
18204768,6530975054,995526,1629486986
18208870,6595007829,985889,1629496291
18315921,6620524769,982101,1629745689
18315941,6657234981,976702,1629745729
18485043,6681502068,973166,1630152301
18485049,6716542902,968105,1630152313
18498901,6683032009,972974,1630184552
18514438,6656553175,976856,1630225006
18514441,6630404976,980720,1630225012
18522186,6594478524,986079,1630244810
18522187,6555749045,991922,1630244814
18601948,6520769538,997259,1630444663
18830505,6490802796,1001877,1630978964
18830509,6454314327,1007558,1630978972
18867047,6411849511,1014251,1631066105
18867050,6376690996,1019860,1631066111
18867051,6343729832,1025175,1631066113
19113696,6315446483,1029780,1631658781
19113699,6283889499,1034967,1631658787
19113700,6255680877,1039648,1631658789
19182008,6217384781,1046071,1631826067
19182084,6182190759,1052044,1631826241
19182098,6147816436,1057944,1631826269
19182101,6118857705,1062966,1631826275
19297027,6092315081,1067611,1632108428
19468480,5989833448,1085932,1632508496
19474067,5835601425,1114719,1632521051
20282028,5807898835,1120052,1634400204
20321530,5772414144,1126958,1634498138
20362734,5696075034,1142107,1634603928
20362736,5644988724,1152474,1634603932
20362738,5594620090,1162881,1634603936
20362743,5542520273,1173845,1634603946
20364437,5497790902,1183424,1634608114
20364439,5609996931,1159824,1634608118
20370683,5583818148,1165278,1634624232
20370686,5594786554,1163001,1634624238
20375038,5555538230,1171242,1634635022
20375354,5521229301,1178542,1634635802
20375356,5541372355,1174271,1634635806
20375356,5508991134,1181194,1634635806
20540604,5480868535,1187273,1635034352
20654907,5437232623,1196830,1635306802
20654910,5402681387,1204507,1635306808
20654911,5366792644,1212586,1635306810
20676982,5336704878,1219443,1635360901
20695419,5307065276,1226274,1635406970
20751662,5274968510,1233758,1635536697
20751674,5240597837,1241874,1635536745
20751678,5203161798,1250836,1635536761
20768562,5159193912,1261528,1635572576
20768569,5126602740,1269572,1635572590
20769265,5100176503,1276170,1635574126
20769313,5083306413,1280418,1635574254
20770164,5055193812,1287560,1635576136
20770168,5031412701,1293664,1635576144
20770170,5011622004,1298788,1635576148
20770175,4992559239,1303762,1635576158
20790398,4978522364,1307449,1635620461
20869148,4923571685,1322085,1635795424
20869186,4894369269,1329997,1635795574
20915510,4869503391,1336809,1635899092
20915514,4844324911,1343778,1635899108
20915519,4812784145,1352611,1635899128
20915685,4786184063,1360151,1635899472
20924185,4757556640,1368360,1635918383
20924188,4729780569,1376420,1635918401
20924385,4708199869,1382748,1635918947
20924391,4690077462,1388107,1635918959
20925135,4673411688,1393072,1635920528
20988725,4661172167,1396741,1636066158
21026874,4633893614,1404988,1636149574
21027244,4609967325,1412302,1636150466
21027250,4597145117,1416253,1636150478
21027259,4578646993,1421992,1636150496
21027261,4562980323,1426889,1636150500
21028901,4549695382,1431068,1636154030
21028907,4537272502,1434998,1636154042
21117874,4516580498,1441592,1636348451
21196460,4506199531,1444923,1636521305
21261940,4491398351,1449699,1636671015
21577071,4483110804,1452387,1637374143
22083067,4470234874,1456583,1638523315
22246271,4452537074,1462390,1638894290
22252923,4439778832,1466605,1638908997
22265307,4423863944,1471897,1638936903
22311803,4412261899,1475779,1639041262
22370487,4398939252,1480262,1639168477
22378870,4385252287,1484896,1639186663
23011940,4374724966,1488480,1640582691
23015089,4365353671,1491685,1640589569
23015096,4355859814,1494946,1640589583
23451666,4058933540,1604636,1641583999
23734952,3946246643,1650595,1642221076
26337326,3646581703,1786644,1648194344
