block_number,reseve0,reserve1,timestamps
16495178,182991356426815606,1837464544949789250,1625428240
16544128,169354256823515610,1985869945246466389,1625534621
16545939,165677947505155792,2030067982555249675,1625538739
16549718,169863835253513860,1980188205925840004,1625547226
16550893,173681778646940356,1936786630284907328,1625549858
16555611,178894813087899817,1880512634950450103,1625560358
16562338,183709081666090607,1831376018516443266,1625575261
16562523,189524721486157700,1775342964095798890,1625575771
16563165,194952173434157170,1726061727019231086,1625577095
16563957,199588813655665302,1686081159837231759,1625578908
16564955,204344669531335248,1646954810370569156,1625580968
16570240,209345581761135548,1607727060358984303,1625592160
16570515,214778194780269056,1567180033132710568,1625592726
16573044,209765935602889447,1604739748094441264,1625598452
16576276,214853029897550259,1566855478107007595,1625605888
16581842,220107284254717160,1529562086723289752,1625617892
16595302,229087150182664775,1469778431391449867,1625647637
16605453,241473333215304214,1394601917930997172,1625669748
16610234,249887055458444032,1347781671184402804,1625680246
16613825,243669049571593905,1382278180179175498,1625688056
16626225,236198900830876423,1426126370214877878,1625715166
16626923,242233995000555998,1390699352890487932,1625716734
16630189,248454816164424253,1355980822746436934,1625723818
16642034,255009204245044594,1321230528161904882,1625752676
16647324,262688444643096793,1282719142802859947,1625767179
16650626,274907825659667266,1225867011011399489,1625776829
16650665,297587560352768771,1132700245160177669,1625776907
16650674,309414650038958406,1089528761449679570,1625776925
16650690,320414120114307437,1052234784116613012,1625776961
16650724,354014193843825807,952636686211097156,1625777029
16650724,358243868675502095,941422544022061462,1625777029
16650729,373154598307299203,903912988786444294,1625777039
16650738,377425463743905395,893714842917248983,1625777057
16650739,402465865430917281,838266644755443243,1625777059
16650741,431911085865193331,781278222335612360,1625777063
16650752,486986710992967923,693154957989277910,1625777091
16650761,542983069256255902,621864177183176406,1625777127
16650769,600617455274060880,562352874045562386,1625777159
16650776,669918450402729846,504335721570797887,1625777187
16651108,711863310964707227,474702845204163782,1625778077
16652122,676800763002653121,499369446238760705,1625781071
16652830,607633810947491336,556383709275854226,1625783299
16652960,557825760509339624,606212485836367082,1625783695
16653226,496352813139348957,681517391243001441,1625784339
16653300,475307591548052230,711783775157272562,1625784533
16653476,438520524633725359,771674306092667906,1625784997
16653530,417412028661169212,810815242513956854,1625785163
16653630,403212331871179758,839455176382966687,1625785367
16653749,381230159569815326,888004782399326848,1625785741
16653841,357218778704701324,947873919901906249,1625786061
16654231,342119339848102275,989834221226773312,1625787121
16654317,353276172640623039,958665043244965167,1625787297
16654328,341784814111702121,990993899887009260,1625787319
16654395,357873360693912807,946570462888971217,1625787457
16654584,344025228625754023,984787647895583894,1625788103
16654621,322943407389694408,1049268257920928177,1625788258
16654715,310034156874939346,1093089316252839927,1625788518
16654863,299172997668898036,1132892176155867306,1625788826
16655323,286064330270169653,1184962257387333296,1625790030
16655962,296948209933607927,1141656019987285144,1625791786
16656146,307183910953070913,1103725135358498763,1625792240
16656297,321097560492564918,1056036312247011589,1625792678
16656645,336253272367826612,1008574692130922126,1625793654
16658036,349709246355904297,969879110132090241,1625797474
16674446,339627042674890303,998757677883207266,1625843962
16694607,350180865867682718,968744501565832450,1625892904
16699095,359209950678055422,944465404416528148,1625902544
16704059,348254550769098692,974265820733932189,1625913166
16704151,338992038753700953,1000966455982929755,1625913358
16722125,329020589018230674,1031393488202362218,1625957041
16734023,339191481719945504,1000556443616143594,1625985670
16738284,350138234689686704,969365876827987016,1625995487
16741307,340883790707223963,995761781411741605,1626002771
16747177,353251046401226604,961001273719813445,1626016100
16756493,363922525549676063,932903428827621365,1626039969
16756777,376726846510325276,901287487687461375,1626040682
16757805,388360345195372934,874367615283664272,1626043186
16760849,400832890536692714,847239382325499068,1626050750
16761033,413618776054144231,821125458284098702,1626051130
16764865,424106681268540904,800878931341944091,1626060186
16765168,438470290545555681,774719510760308139,1626060808
16767467,421815922475322492,805399452073785128,1626066065
16775548,435635474626390330,779924196344032704,1626084746
16780691,469963015607694694,723114594975490631,1626096449
16788264,496140831477670850,685069429856216391,1626113709
16791749,539962817212712919,629624262759654361,1626121823
16791981,518575932279986251,655669089522188630,1626122299
16792847,539373367320849500,630460393201201848,1626124402
16793773,564589175549317617,602383341233733344,1626126581
16794092,549154771325417154,619364718225932876,1626127488
