block_number,reseve0,reserve1,timestamps
23472824,107999999900000000000000000,116731754526724031,1641630721
23476804,124301992512065864760467061,101462505510798657,1641639192
23478549,119339254297596821501456023,105694532913601350,1641643046
23513058,95587367354602168392711067,132036911218587194,1641721616
23522430,103628094764599716855833704,121820239344430416,1641741857
23550192,102751795417146435970649497,122862286468260116,1641802763
23550228,101350558549139784623520050,124566048140125326,1641802839
23574194,91336063064324499578125652,138265125416287734,1641859064
23619561,23257092507333331384657451,544217469327932173,1641961805
23619562,34788404203488595207733254,364187866899154016,1641961807
23619562,49043842887004015028606154,258555844203721537,1641961807
23619569,31669534965316673725725303,400829675990423253,1641961821
23619570,38510060644050623501353793,329806221290763947,1641961823
23619843,230826767608343761409010088,55161205864515937,1641962389
23619844,162485142018981285129873434,78431948537054507,1641962391
23619844,114456922278823366212905181,111442461390917597,1641962391
23619846,101334726387927343702424765,125916967530876570,1641962395
23619846,90560356523086886030311607,140942949179430205,1641962395
23627837,73398564372115561409141325,173996891794257233,1641979781
23627839,82537315107100890978683635,154782907749874286,1641979785
23635846,85776648858995635807407554,148954445523239827,1641998429
23685351,89328784412002450057717754,143048376124373859,1642109402
25130927,88116793259822014450327600,145021837083601271,1645309893
25743132,72292952270884880959683419,176860453995360129,1646781501
25800307,77046161167681093263779146,165980121268198981,1646907168
27190421,81192811268032250896442190,157527379664347039,1650079883
