block_number,reseve0,reserve1,timestamps
19878289,500000,5000000000000000000,1633453401
19906448,12795693,127956930000000000000,1633521799
19915924,1279570,12795693002846682350,1633544921
19915970,1,3162277661,1633545017
19920806,2520569,7970739041709109,1633556059
19921135,12634602,39954119660225922,1633556737
19942972,1,3162277661,1633605907
19943019,1000001,3162280823277661,1633606011
19943084,2630001,1204628674962120,1633606145
19943121,4630001,2120695760078908,1633606223
19943154,10630001,925256555277474,1633606289
19943270,1065199,92716999836347,1633606529
19943294,2625199,37687975362391,1633606577
19943364,3125199,31673485580197,1633606725
19943439,3625199,27316271429208,1633606879
19943468,9120,68716024594,1633606937
19943497,12634602,95197326948179,1633607019
19944086,135375,1020002146259,1633608341
19978705,9121,68716024643,1633685639
