block_number,sender,to,amount0,amount1
26130148,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDF3858D7aA4F4d8422FFaeA46F1e86ba6Ba179a2,12974984549895139408,9717387
26310667,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9C77531E0cE83d0246B0a1EE1cB1aea2Dba031b7,214049919625350834420,171491002
26311075,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x10fB9B4321cA5532d4287b1875B6a19526966C77,71624478776787315159,57383593
26313583,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9C77531E0cE83d0246B0a1EE1cB1aea2Dba031b7,286753207613586897244,229739968
26601406,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9C77531E0cE83d0246B0a1EE1cB1aea2Dba031b7,2622945135188900277994,2008634369
26615632,0x5629CE74DdCAD7Cc72b3Ea30444dA7172AD851D9,0x0319000133d3AdA02600f0875d2cf03D442C3367,105543179296376095920,86674229
26623028,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9C77531E0cE83d0246B0a1EE1cB1aea2Dba031b7,2763739759585740615986,2234797237
26623077,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,173854563215074290377,140581144
26664421,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,1427147039518456806235,1122447968
26670115,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,2047069530318003497500,1587620520
26696669,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,381935808317443533308,299301882
26698398,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,1954679375718807815942,1569391387
26698626,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,344943419244496358739,276951421
26813820,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9C77531E0cE83d0246B0a1EE1cB1aea2Dba031b7,2639589298265571143933,2008747314
26856703,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,2486389655302359413684,1985091058
26988967,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,3294485091112861750812,2453951030
26992908,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9C77531E0cE83d0246B0a1EE1cB1aea2Dba031b7,1091976487459654235237,806155676
27020613,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,2607895396105077876508,1855105846
27076607,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,5178393121663583634931,3852976853
27096143,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,5929385698238958689896,4391256555
27096819,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,4732328984865931851874,3495414340
27148113,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,924786042016852001834,745418619
27209096,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,2664548751227841659327,2082807085
27292180,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,5487827126029905207791,3908250746
27294535,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,4172647674859041047189,3011780138
27297815,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEFBD2d6a358D99c4f36D8980D615aE74AB9BDb57,1390882558286348212903,1003926713
27298647,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9C77531E0cE83d0246B0a1EE1cB1aea2Dba031b7,58309885210514940055,42087559
27379435,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9EfA89C6E8914e4Fca9E2b5E5A5DC639693313A1,19485727654415524446,14064625
