block_number,reseve0,reserve1,timestamps
23517737,2823164457533355969,5612300100000000000,1641731863
23517850,2374586096158503950,6675698804228987704,1641732097
23594419,2431719422793806552,6519312558885597095,1641904518
23770683,2824034709842051677,7560571552165501054,1642301171
23807747,3022097430802495430,8085527104140483808,1642381971
23807990,3133158385467603634,7799749142658647328,1642382469
23843395,3196369939421656136,7955535688077353653,1642460076
23843439,4021171860706188845,9987879826048293053,1642460164
23980690,818375756564748658,2032700663454009028,1642755266
24095745,143538995774191,356525483069629,1643007164
24519427,21402477139928918,52631934120332654,1643932558
24537005,16962818572807822,66448678608022335,1643970611
24614728,15293895123776191,73721610149830862,1644146365
24921147,13862272491533076,81358099978552157,1644820139
