block_number,reseve0,reserve1,timestamps
24273226,110600,14043674,1643390963
24275772,120838,15343674,1643396727
24276783,301973,38343812,1643399133
24297647,291630,39707915,1643446006
24297808,280676,41262322,1643446404
24298276,283526,40848801,1643447368
24298287,287542,40280057,1643447390
24298300,291613,39719488,1643447416
24298379,296760,39032732,1643447582
24306261,417495,54912968,1643465630
24306686,425097,55912968,1643466504
24319157,426262,56066294,1643493984
24319159,438724,54478368,1643493988
24395139,448724,53267857,1643662680
24395155,438783,54478368,1643662712
24421606,430898,55478368,1643720528
24427441,430821,55488368,1643732951
24427448,430898,55478483,1643732965
24430564,434506,55943060,1643739401
24435283,438769,55401143,1643749394
24503286,427987,56801143,1643897253
24504301,433931,56025382,1643899504
24509812,743741,96025382,1643911768
24509858,728612,98025382,1643911864
24509889,751683,101129382,1643911934
24509928,771982,103860382,1643912090
24509939,779414,104860382,1643912134
24510096,787892,103735396,1643912484
24510098,773033,105735396,1643912488
24510442,773037,105735990,1643913329
24510442,773041,105736584,1643913329
24510517,773869,105849874,1643913483
24511987,763179,107337074,1643916649
24514072,760002,107787161,1643921211
24549558,747119,109651440,1643998028
24551340,778924,105187041,1644002128
24551631,828924,98860137,1644002730
24551631,811152,101032705,1644002730
24553486,738297,111032705,1644006812
24553487,758393,108099139,1644006814
24553658,766844,106911368,1644007164
24553680,768639,107161751,1644007212
24582520,926438,129161751,1644070750
24582572,859670,139223651,1644070858
24582572,877229,136445083,1644070858
24582709,858412,139445083,1644071314
24582710,864733,138428808,1644071316
24583300,846445,141428808,1644072738
24583302,851371,140612963,1644072742
24586168,853215,140309981,1644080890
24589162,849113,140989981,1644088198
24590185,850495,140761572,1644090308
24614761,1022211,169181572,1644146497
24614774,959942,180189072,1644146549
24614774,971933,177972618,1644146549
24614776,973471,177692279,1644146557
24660063,967477,178796552,1644245791
24663493,949538,182184859,1644253513
24665430,946362,182798191,1644257772
24669091,944116,183234486,1644265583
24670736,935733,184881213,1644269361
24671339,926685,186692115,1644270603
24743287,921187,187809816,1644427041
24816033,914892,189106128,1644589975
24818564,963271,199106128,1644595472
24818586,1023697,211596128,1644595516
24818620,1014125,213599498,1644595584
24819613,1015318,213349292,1644597762
24823642,1021502,212061563,1644606203
24827067,1023612,211625744,1644613418
24832979,1025519,211233395,1644625733
24847794,1027238,210880972,1644658390
24896461,1012041,214057304,1644763974
24896542,995479,217629848,1644764140
24896578,958426,226070090,1644764222
24896591,946084,229028600,1644764274
24897381,944263,229471684,1644766021
24897407,930983,232754969,1644766073
24904272,937951,231030991,1644781556
24912609,937118,231237133,1644801472
24931751,930728,232829715,1644843313
24947209,923374,234689642,1644877195
24953436,917450,236209689,1644891131
24971458,911381,237787469,1644930360
24975573,906686,239022561,1644939186
24975574,887100,244315750,1644939190
25015725,893336,242615367,1645028514
25022123,887192,244300737,1645043147
25049520,893326,242628251,1645104327
25053831,887292,244283286,1645114524
25127942,881234,245967686,1645303606
25147712,886192,244595670,1645346743
25184653,879912,246346809,1645428816
25192570,886138,244621134,1645445976
25207972,892141,242980043,1645480766
25215807,897746,241467541,1645499062
25234957,891124,243267541,1645549367
25235050,820507,264267541,1645549743
25235051,827139,262154950,1645549747
25235052,843088,257210268,1645549751
25235072,938144,286210268,1645549833
25235304,937444,286424727,1645550499
25251137,931194,288353242,1645596446
25257799,924584,290420933,1645616246
25264587,918538,292338533,1645636203
25267719,916158,293100494,1645643969
25272098,922031,291239117,1645654751
25276853,927739,289452585,1645666123
25279637,934049,287503005,1645672738
25281595,940840,285433984,1645678518
25284301,946303,283791091,1645687261
25284959,944583,284309689,1645689432
25292666,952099,282071990,1645711985
25295590,946481,283751349,1645719759
25299934,940994,285411129,1645732076
25300968,926918,289758465,1645734835
25323150,920869,291667589,1645795312
25336517,914997,293545008,1645831398
25358682,910694,294936325,1645889835
25370772,916057,293214789,1645922196
25389279,942612,301714789,1645973809
25389325,955108,305714789,1645973928
25389389,919138,317714789,1645974061
25389390,931941,313362941,1645974063
25393656,938961,311027107,1645984868
25396445,944612,309171983,1645991721
25417091,944503,309207894,1646042711
25424977,938520,311185021,1646061498
25434021,929078,314357151,1646082650
25438400,923420,316289135,1646093288
25474156,4998,1711653,1646177427
25474235,3772585290,3,1646177589
25474235,46713538,243,1646177589
25482295,40127934,283,1646196118
25482371,35171598,323,1646196278
25482544,30469160,373,1646196650
25482642,29675946,383,1646196884
25482701,28923041,393,1646197006
25482863,28560763,398,1646197338
25483875,27526447,413,1646199654
25484228,26258657,433,1646200468
25535265,22613812,503,1646318180
25540975,1086103,10503,1646330563
25542410,11323,1010503,1646333829
25542417,5989716,1916,1646333843
25542589,462499,148,1646334195
25544246,2024995,647,1646337741
25544259,3589906,1146,1646337771
25544271,4122,1001146,1646337795
25544271,517037,8006,1646337795
25547960,495186037,9,1646346199
