block_number,reseve0,reserve1,timestamps
22900888,2000000000000000000,5000000,1640337897
23045364,2049940004096679578,4878549,1640656624
23262803,2059537733395240314,4855883,1641130215
23464856,2161192707765075832,4628133,1641613646
23518083,2151716838190635821,4648576,1641732579
23571191,2161035892473147319,4628590,1641851856
24168944,2182646251397878794,4582899,1643163518
24168951,2204472713911857582,4537659,1643163532
24498426,2245606636450466230,4454786,1643886329
24535314,2185092712940508546,4578528,1643966997
24544307,2225210307941914846,4496227,1643986685
24557489,2207258113737150795,4532906,1644015852
24580628,2192999060075041640,4562468,1644066476
24655721,2170758751541627029,4609353,1644236192
24697727,2197057835983530966,4554342,1644329077
24773630,2191380835353548157,4566176,1644492890
24828547,2211083407664548107,4525609,1644616474
24914157,2221420222595379871,4504614,1644804908
25010390,2189383630819827498,4570727,1645016300
25069309,2217126353904100535,4513704,1645154828
25590059,2266676481992611848,4415323,1646441259
25954858,2267417096960983203,4413886,1647313441
26424234,2264042384870397612,4420485,1648388066
26424324,2260598807956124889,4427239,1648388254
26425107,2257246406959987249,4433834,1648389887
26426066,2253979355583388070,4440280,1648392089
26426107,2250640518402091537,4446887,1648392253
26426107,2247308051360463762,4453501,1648392253
26426801,2244041635469307575,4460003,1648393748
26429116,2243709599874745928,4460665,1648399418
26429176,2243377662671514913,4461327,1648399542
26499072,2238375428354081962,4471327,1648555106
26578673,2170263105977640438,4612079,1648732553
26594945,2241357170369608220,4466213,1648769212
26621366,2144303617985572008,4668967,1648827216
26632021,2210843617985572008,4528854,1648850932
26651995,2131302203373039912,4698382,1648894981
26657974,2207270722558162563,4537145,1648907389
26723133,2205690174131592640,4540406,1649050852
26733911,2191255243787984904,4570406,1649075533
26733962,2181736652038880933,4590406,1649075639
26783991,2199603735150624496,4553230,1649184671
26866193,2223837100555381364,4503761,1649367161
26913094,2223843381676537983,4503749,1649472241
26915048,2336515577820251688,4287188,1649476512
26915499,2261690910849231145,4429450,1649477442
26932427,2244485362378749825,4463507,1649514544
27022527,2302045362378749825,4352229,1649710964
27026402,2225570954384989573,4502229,1649720010
27028759,2245570954384989573,4462250,1649725128
27091616,2285264279034847364,4384973,1649862800
27129616,2244479385689597643,4464893,1649946154
27137066,2308048461962542943,4342279,1649961850
27137876,2294365015348482492,4368254,1649963522
27143215,2263637418925716064,4427729,1649974661
27163363,2283577418925716064,4389182,1650018740
27212352,2275839627864142207,4404150,1650128395
27240253,2286004029667325917,4384627,1650189332
27252960,2293054029667325917,4371187,1650216709
27253116,2293061583322551611,4371173,1650217029
27265145,2267429229463484721,4420736,1650243392
27341850,2273134667868981806,4409674,1650411326
27363319,2301793815686866695,4354933,1650461069
27363635,2296244605038474681,4365489,1650461739
27364373,2245412099238101374,4464614,1650463391
27372247,2301277223874718738,4356550,1650480930
