block_number,reseve0,reserve1,timestamps
25806566,900000000000000000,20000000000000000000000,1646921610
25806591,898656059862475668,20030000000000000000000,1646921710
25806813,909040665595113530,19801861967141958728885,1646922230
25806890,264429507459212533,68218961967141958728885,1646922456
25807186,408563448524666931,44199299852688963791699,1646923089
25807427,307063272863501891,58853399852688963791699,1646923982
25907792,307603719152937839,58750306666746094001029,1647202001
25936283,308046683876294990,58666078029695977752849,1647268326
26114083,308556831751538896,58569373841486944591599,1647700095
26119197,308049735149357169,58666078029695977752849,1647712373
26193852,309049735149357169,58476818370417132425770,1647879103
26194006,310049971639722975,58666078029695977752849,1647879423
26297837,310567894908651954,58568535671381899334347,1648107205
26297898,388291609308557348,46873112506814089806347,1648107331
26298171,270262635998972757,67405112506814089806347,1648108013
26316370,312034369116052902,58405112506814089806347,1648148787
26317026,312571154443319744,58305112506814089806347,1648150139
26317113,313028874163551971,58220112506814089806347,1648150317
26317170,313034267079606581,58219112506814089806347,1648150435
26317254,313109787365540534,58205112506814089806347,1648150611
26317757,314038958083937670,58033411779966096218904,1648151773
26318389,314047346431498979,58031866331296331618904,1648153205
26318936,308092611604970343,59156866331296331618904,1648154335
26318992,302359814252890476,60281866331296331618904,1648154451
26319007,290354406933476337,62781866331296331618904,1648154481
26319104,294113288147545861,61981866331296331618904,1648154683
26319847,292092968593174020,62411866331296331618904,1648156341
26324707,295229145612017321,61750841906445155548202,1648166877
26324834,298389485943460137,62411866331296331461458,1648167139
26327286,598890270471565673,125265336979292052544156,1648172323
26333685,857990270471565673,179459319435842146444525,1648186161
26334850,735419833413482837,209459319435842146444525,1648188862
26334903,627836598395343734,245459319435842146444525,1648189074
26334931,536339970810261835,287459319435842146444525,1648189150
26335002,742339970810261835,207862149245672934466113,1648189296
26335024,1063990270471565673,297927247747828286435794,1648189340
26335244,1392443562055343617,389897247747828286425195,1648189796
26335541,2322216666917262991,650242431203965277570761,1648190406
26335716,2354907639157590254,641242431203965277570761,1648190768
26339152,2665480013106706340,725811431203965277382074,1648198129
26339863,2669168559395511108,724811431203965277382074,1648199723
26339928,2671016659566610880,724311431203965277382074,1648199857
26340823,2672863613002420421,723812431203965277382074,1648201703
26341664,2675829986709200707,723012431203965277382074,1648203437
26345499,2700281302330040291,716484945293758609999659,1648211796
26348173,2716989743694073695,712091975874834199887453,1648218613
26348191,2728519271592271255,709091975874834199887453,1648218649
26350251,2734900271592271255,707442492208725036799410,1648223154
26350251,2856377578911612602,677442492208725036799410,1648223154
26350251,2849460330714436545,679091975874834199887452,1648223154
26350385,2855894330714436545,677566639543355695438789,1648223430
26350385,2895206556554420837,668393606768203299693741,1648223430
26350385,2888634201231270017,669918943099681804142404,1648223430
26350553,2850454760524838787,678918943099681804142404,1648223830
26351991,2847109950485897018,679718943099681804142404,1648227124
26353747,2853900950485897018,678106358654183957600526,1648231068
26353748,2890583823817961742,669526358654183957600526,1648231072
26353749,2883659236698729969,671138943099681804142404,1648231076
26355319,2870864930696970689,674138943099681804142404,1648234706
26355348,2829025800178721935,684138943099681804142404,1648234768
26357424,2908511208012134073,703360776602777599787886,1648239816
26358608,2622534656184128411,780290146792946811766298,1648242772
26359429,2642061209124978074,774540467530491445542701,1648244610
26359473,2648456209124978074,772675848252780093101726,1648244786
26359473,2694113424812413401,759619908905113505345149,1648244786
26359473,2687536190544992558,761484528182824857786124,1648244786
26359720,2737728496643720036,747564923462227383291096,1648245580
26361365,2807728496643720036,766679143410081449269095,1648249358
26370452,2808232598599102280,766541930698542674292003,1648269729
26371502,2808611908041983901,766438717990685366000877,1648272539
26376798,2809379489589900324,766229938867813510359424,1648284922
26379624,2816163489589900324,764389652582508182273837,1648291134
26379624,2850820102502456093,755124723488945974789209,1648291134
26379624,2843910107664300239,756965009774251302874796,1648291134
26380291,2806939851499101756,766965009774251302874796,1648292512
26380981,2813717851499101756,765122987546379475394213,1648294060
26380981,2848491389765212688,755810273107895551990022,1648294060
26380981,2841586795547080975,757652295335767379470605,1648294060
26382789,2850250771032658622,755356129742577606454719,1648298048
26383165,2880250771032658622,763306547341821781349295,1648298820
26387738,2884040476806113124,762306547341821781349295,1648308849
26395546,2901837684330799783,757645199125485416463068,1648325228
26395722,2906743980189281174,756370199125485416463068,1648325614
26398366,4206443980189281174,1094567974541323354760664,1648332255
26399317,4456143980189281174,1159542956861347001135142,1648334498
26402921,4516982626952781884,1143971448811869062974808,1648342428
26403165,4782451385528010543,1211204091804446863955731,1648342932
26411382,4450305842435337156,1301873491804446863955731,1648360268
26418223,4794765842435337156,1402640351176421732549524,1648375023
26423697,4799886657558455546,1401148412435455181020031,1648386910
26425824,4811331657558455546,1397825392867610012941682,1648391551
26425824,4862714780327238236,1383098756984901575603362,1648391551
26425824,4851094553500193619,1386421776552746743681711,1648391551
26426072,4862786553500193619,1383098264471983675878549,1648392113
26426114,4903939423131662706,1371526111767196493940842,1648392279
26426116,4892120294281823082,1374849623847959561744004,1648392283
26426205,4835253790354482230,1391067623847959561744004,1648392465
26427001,4845803035735199055,1388048354387526188883834,1648394160
26427067,4865879877857566914,1382338314394267894041296,1648394416
26428439,4813801167665708836,1397338314394267894041296,1648397768
26431137,4825426167665708836,1393982042384631133532427,1648404100
26431137,4884808391960915227,1377086306802378382345459,1648404100
26431137,4872967493312860663,1380442578812015142854328,1648404100
26431705,4868484369050529021,1381717578812015142854328,1648405528
26431895,4864850280724604557,1382752840456457769944869,1648405955
26432323,4861467722203642315,1383717840456457769944869,1648407095
26433487,4775447277917948800,1408717840456457769944869,1648409655
26435723,4787315277917948800,1405236007667084930464961,1648414877
26435723,4925414432395500393,1365950786654719888864012,1648414877
26435723,4912928858999033227,1369432619444092728343920,1648414877
26436695,4944175567415255283,1360803739004718880262578,1648417179
26437654,4956149567415255283,1357525892219676316298875,1648419284
26437654,5046817967339646972,1333209171967326711819882,1648419284
26437654,5034477264375700687,1336487018752369275783585,1648419284
26445048,5059730625579781363,1329836458989824806811789,1648436084
26454199,5095159383736319902,1339148111680406404968193,1648456495
26454415,5100272137294507971,1337809709647118758297032,1648456975
26459337,5228011123060512211,1305217913300453352492809,1648467884
26459401,5328011123060512211,1330183772832450104881792,1648468016
26461611,5341252123060512211,1326896106450587570364081,1648473164
26461611,5495478096101592086,1289766471302116749012828,1648473164
26461611,5481547330507785027,1293054137683979283530539,1648473164
26461751,5007861527539585290,1415730137683979283530539,1648473452
26465223,5007858000854453744,1415731137683979283530539,1648481304
26465976,5011408447046951462,1414731137683979283530539,1648482968
26466006,5014967481592917121,1413730137683979283530539,1648483046
26467351,5027303481592917121,1410271507483080545797170,1648485978
26467351,5066203481592917121,1399475209410395152577670,1648485978
26467353,5053751228534215972,1402933839611293890311039,1648485982
26467424,5046578490073509468,1404933839611293890311039,1648486128
26469629,5052169073091317787,1403383839611293890311039,1648490950
26469649,5052530181161090395,1403283839611293890311039,1648490994
26471797,5132230181161090395,1425419624655000145947449,1648495535
26474738,5147915297076475810,1421089521906066747894814,1648501601
26474808,5296008047076475810,1381467357904467637646316,1648501745
26476216,5194873457490603087,1408442901972731699897921,1648504728
26477239,5192351735481120147,1409128985815348587592049,1648506887
26477286,5194884646526727499,1408443985815348587592049,1648506985
26488354,5207575646526727499,1405021842684455789276027,1648531621
26488354,5396810659274951901,1355898463588844540699093,1648531621
26488354,5383264633761120605,1359320606719737339015115,1648531621
26488615,5389709984543026336,1357699917368406641645262,1648532287
26490840,5383191421866931607,1359348917368406641645262,1648537133
26496690,5386682542251125545,1358470561733980981580845,1648550014
26502221,5391171013979547784,1357342944096146414654370,1648561744
26502283,5271171013979547784,1388336297690545638328322,1648561904
26502829,5283704013979547784,1385053005862485389325382,1648563028
26502829,5336842650174506790,1371303074475376037187696,1648563028
26502829,5324133394329821951,1374586366303436286190636,1648563028
26504086,5343966913580944119,1369499995151740569645283,1648565924
26512403,5336197378997964448,1371499995151740569645283,1648585190
26515093,5149044714101624208,1421499995151740569645283,1648591494
26515351,5156029817882824469,1419579995151740569645283,1648592026
26516779,4996935944639181503,1464912987307633570015613,1648594973
26517004,5004497944639181503,1462706074809679994073715,1648595439
26517004,5180798887500407087,1413074910507782442188383,1648595439
26517004,5172744433436281218,1415281823005736018130281,1648595439
26517382,5030980785748400847,1455281823005736018130281,1648596227
26518683,5008087102533024175,1461954433005736018130281,1648598909
26525126,5038030975776667141,1453291122489328687582349,1648613038
26536087,5039770107599953748,1452791122489328687582349,1648637754
26540939,5041740513666621819,1452225047338398601800707,1648648433
26542861,5035263247677709700,1454098782970436161703972,1648652570
26543882,5047887883087711457,1450473002776713367341930,1648654797
26544318,5024917267991080428,1457123562539257836313726,1648655819
26545447,5040892938128105774,1452519435700072127212550,1648658210
26546480,5052928938128105774,1449069911448860192059628,1648660480
26546480,5105940300729899677,1434069911448860192059628,1648660480
26546480,5093724568770234481,1437519435700072127212550,1648660480
26546728,5111556968096269690,1432519435700072127212550,1648660992
26546775,5123305836032616130,1429244186046869327412691,1648661090
26548973,5092760883790868293,1437842186046869327412691,1648665929
26550088,5105336883790868293,1434310942162506295692846,1648668285
26550088,5185336883790868293,1412247585717902656240413,1648668285
26550088,5172442289443266885,1415778829602265687960258,1648668285
26551510,5178826223736712050,1414038829602265687960258,1648671460
26554008,5186235116567202896,1412024829602265687960258,1648677032
26554620,5199161196567202896,1408524779284629225625210,1648678292
26554620,5492687672580812797,1333467700639118526857273,1648678292
26554620,5478351380846845344,1336967750956754989192321,1648678292
26554671,5491248380846845344,1333837084776473595241362,1648678398
