block_number,reseve0,reserve1,timestamps
26497901,6876984061500432293,15000000000000000000,1648552512
26497907,7076984061500432293,14577326502631089948,1648552524
26497911,6873439048818635098,15010307765382325936,1648552532
26497914,6067429321610183813,17010307765382325936,1648552538
26497916,6262301031610183820,16482515853585965111,1648552542
26497920,6680025848551748940,15454707185004998156,1648552554
26497920,6732060214947406916,15335608137366687360,1648552554
26497932,6512658469577585059,15853796456013711798,1648552578
26497971,6772032715587585069,15248335496534007946,1648552656
26498011,6432812601060648495,16054842191898074920,1648552740
26498017,5722128326128440165,18054842191898074920,1648552752
26498018,6004675059657741696,17207710467363835302,1648552754
26498019,6743473995321439123,15327512465917472193,1648552756
26498021,6465239575872694189,15989123517482223869,1648552760
26498042,7021231307221917366,14726487853893255623,1648552802
26498050,5502993205337845216,18801650389108994487,1648552822
26498052,6586463799676682498,15716542704004425247,1648552826
26498088,7047071211672121986,14692166210336192112,1648552898
26498097,6715999697269894143,15418609676583923160,1648552916
26498103,7093660269448492843,14600067609098176466,1648552928
26498145,6770714405253091506,15298549161501019289,1648553016
26498156,6416653076832918048,16145240317185513976,1648553038
26498157,6919750348762562656,14974674213389779566,1648553040
26498163,11837170966251786494,8764789143540532776,1648553052
26498163,10101060842594010625,10275761771167679572,1648553052
26498171,8646255974893849515,12009947171205643366,1648553068
26498171,7574439439217799662,13714521305695174659,1648553068
26498172,7919666560657109678,13118405523800317487,1648553070
26498174,8155461329757109687,12740224689912481875,1648553074
26498194,7489568949054857583,13876357629643742455,1648553118
26498203,7119437946527053995,14599943504510823550,1648553136
26498223,6556284769976102440,15857781607301013722,1648553176
26498226,7072610565056720680,14703327180578525192,1648553182
26498239,6690144251351322937,15546425397914729663,1648553208
26498241,7876112668365911609,13211445538902739244,1648553216
26498249,7382645579768451880,14097175537392790548,1648553232
26498257,6565581411281346282,15856799727910631263,1648553248
26498259,6726632411281346287,15478263347754332308,1648553252
26498260,7319122187212633711,14228738964678497387,1648553254
26498263,6785786842075659943,15350425241549235758,1648553260
26498276,7126882170587346343,14617846818361678750,1648553286
26498277,8203192522614167719,12704894442386601093,1648553288
26498280,7543414651323412343,13819460125449906687,1648553294
26498281,6998954425803472004,14897733575674573013,1648553296
26498291,6534499724849658083,15959810722124055996,1648553316
26498303,7102750333599455907,14686482092166784976,1648553340
26498307,6605998582260555729,15794185654870483955,1648553352
26498309,7113704557358696505,14670093688209741243,1648553356
26498317,6896784073367893611,15132891891970361981,1648553372
26498328,7160855185189651745,14576448307061728273,1648553394
26498340,6678667862060059035,15632007277629278024,1648553418
26498343,7145915701291746715,14612748360718275794,1648553424
26498346,6597713190245237967,15830571819033961544,1648553430
26498351,7368943175639739256,14178203573635185453,1648553440
26498366,6832834395539273792,15293982293590900346,1648553470
26498374,7379097405251864508,14164938591539179599,1648553504
26498376,6886151579464261621,15181988237410869328,1648553512
26498378,7443336608880007733,14048666733150737501,1648553520
26498379,7148512106200872049,14629816234462958727,1648553524
26498383,6665152848445743867,15693968172674601677,1648553540
26498388,6166305955013510703,16967412056201943046,1648553560
26498389,6684229232210975599,15656342222860788159,1648553564
26498389,6861385332210975605,15253288064627251447,1648553564
26498394,7236295608483469365,14465268169111750441,1648553584
26498397,7080285945662791581,14784960362828688577,1648553596
26498401,6523880716419684261,16049726407322460281,1648553612
26498408,6965058612722318885,15035968402617116695,1648553640
26498410,6352912369907910685,16489145583263769168,1648553648
26498413,6922536273878118557,15136065510366712051,1648553660
26498420,8056355275160434333,13011370101622463481,1648553688
26498421,7854502624045325698,13346755105986513434,1648553692
26498422,7413437524964336052,14143214420231837414,1648553696
26498427,6945465127031709654,15099025081453167386,1648553716
26498436,8112960518911648987,12931783077497303030,1648553746
26498440,7977037393528697150,13152794630780588536,1648553754
26498454,7168345045688535411,14641083770445361986,1648553782
26498456,7345501145688535417,14289009338252036799,1648553786
26498465,6601854249206734398,15903396887534502299,1648553804
26498467,6762905249206734403,15525784522927699622,1648553808
26498480,8110242091478965354,12952975327476404494,1648553834
26498483,7415256079329290622,14170630421885047777,1648553840
26498496,6127619395734131995,17157357723855807425,1648553870
26498496,6444528469125123099,16316053313755224005,1648553870
26498498,7971567056277442731,13198124217782766822,1648553874
26498503,7216774010722827974,14582652518471533880,1648553884
26498503,6842491229040338317,15382720643231028616,1648553884
26498506,7216494231572540947,14587761772138938608,1648553890
26498511,7327998184085160916,14366447941543153177,1648553900
26498514,7079531033665705375,14872177962188074224,1648553906
26498514,6742353985596651904,15618155704145518551,1648553906
26498526,7176873065699838400,14675230200943505214,1648553930
26498527,8102622189312443711,13002997602673807851,1648553932
26498530,7595910074465813639,13873018726735764352,1648553938
26498538,7165749363531534214,14708323458689349587,1648553954
26498538,6657678576856517564,15834144636508467410,1648553954
26498540,6893473345956517573,15294099076607361983,1648553958
26498555,7701114311136395839,13694465593989938021,1648553988
26498556,7505419771661936475,14052606272049296165,1648553990
26498560,9283604087200745819,11367497847334094216,1648554002
26498561,8961356558356884059,11777499455720241770,1648554004
26498565,8251342274938789050,12793983152765286838,1648554012
26498567,5846107678317412347,18073585921793472635,1648554016
26498570,7242794953078851579,14596753244507271137,1648554022
26498570,8639482227840290811,12242931530066616742,1648554022
26498574,8211642622896363110,12882727067618209565,1648554030
26498576,7177618937318130873,14744225765774560763,1648554034
26498584,7478039866906655966,14153600685459332126,1648554050
26498593,7177166958681739798,14748716943854387796,1648554068
26498617,8250573052639461944,12834906673497075946,1648554150
26498619,8051780197967391865,13152745110445273419,1648554158
26498622,7561087996472438172,14008887713950797743,1648554170
26498637,7906315117911748188,13398948587217101124,1648554206
26498652,7328411334154747460,14458742114281843933,1648554236
26498660,7454486283172460479,14214928031473675217,1648554252
26498702,6869853166324773897,15428276272223052662,1648554340
26498704,7731028361640453513,13714271738759603796,1648554344
26498707,7289461503362376505,14547528057078678303,1648554350
26498717,7707186320303941625,13761298435118865523,1648554370
26498723,7338627606395266412,14454494499714999221,1648554382
26498727,7950218510879411907,13345625458764456508,1648554390
26498730,6638590135476221416,15990339501745493997,1648554396
26498732,7084000871087003304,14987764562009126537,1648554400
26498744,7501725688028568424,14155553136248296108,1648554424
26498822,7007673453377839540,15156545346568442918,1648554588
26498830,16932639746167332,36622757018762988,1648554604
26815724,17932639746167332,34586302897842252,1649253485
26815724,16938298553128728,36622757018762988,1649253485
